competencia,tipo,url,bytes,data_modificacao_ftp
202201,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202201/CAGEDEXC202201.7z,109749,2026-06-08T18:55:14Z
202202,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202202/CAGEDMOV202202.7z,47209395,2026-06-08T18:57:04Z
202202,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202202/CAGEDFOR202202.7z,1777602,2026-06-08T18:57:03Z
202202,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202202/CAGEDEXC202202.7z,115755,2026-06-08T18:57:02Z
202203,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202203/CAGEDMOV202203.7z,48101588,2026-06-08T19:09:27Z
202203,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202203/CAGEDFOR202203.7z,1890410,2026-06-08T19:09:25Z
202203,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202203/CAGEDEXC202203.7z,110010,2026-06-08T19:09:25Z
202204,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202204/CAGEDMOV202204.7z,44867258,2026-06-08T19:11:51Z
202204,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202204/CAGEDFOR202204.7z,1897736,2026-06-08T19:11:49Z
202204,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202204/CAGEDEXC202204.7z,93514,2026-06-08T19:11:49Z
202205,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202205/CAGEDMOV202205.7z,46524124,2026-06-08T19:13:48Z
202205,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202205/CAGEDFOR202205.7z,513923,2026-06-08T19:13:46Z
202205,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202205/CAGEDEXC202205.7z,87117,2026-06-08T19:13:46Z
202206,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202206/CAGEDMOV202206.7z,44999866,2026-06-08T19:17:40Z
202206,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202206/CAGEDFOR202206.7z,1167215,2026-06-08T19:17:39Z
202206,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202206/CAGEDEXC202206.7z,83126,2026-06-08T19:17:38Z
