dimension,group_id,group_label,outcome,outcome_label,window_rule,scenario_role,role_label,t,path_status,mean_log_change,sd_log_change,se_log_change,n_cbo,path_index,ci_low,ci_high,power_status,treated_cbo,control_cbo
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,10,estimated,-0.1136472166954023,0.295533642644983,0.0341252856271343,75,89.25727851226227,83.48253175759656,95.43148248724026,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,11,estimated,-0.1306407279525163,0.3385515600417189,0.0390925668649308,75,87.75329908377766,81.28065374987239,94.74138241781829,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,12,estimated,-0.3822622521232659,0.3712785067946182,0.042871549168439,75,68.23160908962168,62.73250268748837,74.21276498645844,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,13,estimated,0.0606719737421173,0.27974831455732,0.0323025529430025,75,106.25503126122278,99.73624544254432,113.19988654302622,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,14,estimated,0.0008294943551308,0.2825754537885762,0.032629002862243,75,100.0829838480717,93.88276609763744,106.69267717907007,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,15,estimated,0.1150933410269172,0.3480759922449659,0.0401923535642154,75,112.19781592780124,103.69838216752314,121.39388904479225,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,16,estimated,0.104157431206252,0.29226096234112,0.0337473890562529,75,110.97751544048728,103.8744267641196,118.5663239452677,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,17,estimated,0.0708584562100442,0.3292976291049494,0.0380240149614496,75,107.34292778667242,99.63381080250956,115.64853389633215,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,18,estimated,-0.0574607969051924,0.2968069441733031,0.0342723138231613,75,94.41589036119127,88.28194859071853,100.97602618655492,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,19,estimated,0.0425682588033271,0.262828267349078,0.0303487941809266,75,104.34872811358896,98.32268839451888,110.74409413250656,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,20,estimated,0.0117535875570107,0.3136543781729973,0.0362176879341369,75,101.1822932384428,94.2487067919996,108.62596223823502,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,21,estimated,0.0025796043558002,0.3277368599781886,0.0378437928663539,75,100.25829343978978,93.09085542631996,107.9775812288543,adequate,75,266
age_pnad,age_18_24,18–24 anos,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,22,estimated,0.006645977828782,0.3144185193137466,0.036305923352799,75,100.66681113452177,93.75233339105678,108.09124954494366,adequate,75,266
