cbo_4d,vintage_2023_label,vintage_2023_mean_score,vintage_2023_pooled_sd,vintage_2023_destinations,model_consensus_label,model_consensus_mean_score,model_consensus_pooled_sd,model_consensus_destinations,all_2025_destinations
8112,Not affected,0.31,0.20211382931407737,2,Not Exposed,0.265,0.08986100377805716,2,2
8113,Not affected,0.30666666666666664,0.20146684315015434,3,Not Exposed,0.265,0.08986100377805716,2,3
8114,Not affected,0.31,0.20211382931407737,2,Not Exposed,0.265,0.08986100377805716,2,2
8115,Not affected,0.275,0.17051392904979934,2,Not Exposed,0.24,0.07,1,2
8116,Not affected,0.31,0.20211382931407737,2,Not Exposed,0.265,0.08986100377805716,2,2
8117,Not affected,0.245,0.1547578754054216,4,Not Exposed,0.23500000000000001,0.10874281585465773,4,4
8118,Not affected,0.3,0.1541103500742244,2,Minimal Exposure,0.295,0.11800423721205947,2,2
8121,Not affected,0.3,0.1541103500742244,2,Minimal Exposure,0.295,0.11800423721205947,2,2
8131,No score,,,0,No score,,,0,0
8181,Not affected,0.12,0.0541602560309064,3,Not Exposed,0.14500000000000002,0.047696960070847276,2,3
8201,No score,,,0,No score,,,0,0
8202,No score,,,0,No score,,,0,0
8211,Not affected,0.27,0.15247950681976907,2,Not Exposed,0.275,0.12196310917650467,2,2
8212,Not affected,0.32499999999999996,0.17698870020427857,2,Not Exposed,0.26,0.1,1,2
8213,Not affected,0.32499999999999996,0.17698870020427857,2,Not Exposed,0.26,0.1,1,2
8214,Not affected,0.27,0.15247950681976907,2,Not Exposed,0.275,0.12196310917650467,2,2
8221,Not affected,0.32499999999999996,0.17698870020427857,2,Not Exposed,0.26,0.1,1,2
8231,Not affected,0.14,0.06,1,Not Exposed,0.17,0.06,1,1
8232,Not affected,0.14,0.06,1,Not Exposed,0.17,0.06,1,1
8233,Not affected,0.18,0.15297058540778355,2,Not Exposed,0.2,0.09354143466934853,2,2
8281,Not affected,0.19,0.15,1,Not Exposed,0.18,0.07,1,1
8301,Not affected,0.25,0.1550806241927082,2,Not Exposed,0.265,0.12599603168354154,2,2
8311,Augmentation Potential,0.36,0.26,1,No score,,,0,1
8321,Augmentation Potential,0.36,0.26,1,No score,,,0,1
8331,Not affected,0.25,0.1550806241927082,2,Not Exposed,0.265,0.12599603168354154,2,2
8332,Augmentation Potential,0.35,0.19235384061671346,2,Minimal Exposure,0.35,0.13,1,2
8401,Not affected,0.215,0.16163229875244614,2,Not Exposed,0.17,0.08,1,2
8411,Not affected,0.255,0.1558043645088288,2,Not Exposed,0.25,0.1374772708486752,2,2
8412,Not affected,0.255,0.1558043645088288,2,Not Exposed,0.25,0.1374772708486752,2,2
8413,Not affected,0.255,0.1558043645088288,2,Not Exposed,0.25,0.1374772708486752,2,2
8414,Not affected,0.255,0.1558043645088288,2,Not Exposed,0.25,0.1374772708486752,2,2
8415,Not affected,0.255,0.1558043645088288,2,Not Exposed,0.25,0.1374772708486752,2,2
8416,Not affected,0.255,0.1558043645088288,2,Not Exposed,0.25,0.1374772708486752,2,2
8417,Not affected,0.255,0.1558043645088288,2,Not Exposed,0.25,0.1374772708486752,2,2
8418,Not affected,0.255,0.1558043645088288,2,Not Exposed,0.25,0.1374772708486752,2,2
8421,Not affected,0.21666666666666667,0.1412641340027806,3,Not Exposed,0.21333333333333335,0.1284090685617215,3,3
8422,Not affected,0.255,0.1558043645088288,2,Not Exposed,0.25,0.1374772708486752,2,2
8481,Not affected,0.14,0.05,1,Not Exposed,0.13,0.03,1,1
8482,Not affected,0.16,0.09,1,No score,,,0,1
8483,Not affected,0.14,0.07,1,Not Exposed,0.17,0.08,1,1
8484,Not affected,0.29,0.19,1,No score,,,0,1
8485,Not affected,0.14,0.05,1,Not Exposed,0.13,0.03,1,1
8486,No score,,,0,No score,,,0,0
8601,Not affected,0.265,0.19248376554920157,4,Not Exposed,0.27,0.09,1,4
8611,Augmentation Potential,0.34,0.24,1,No score,,,0,1
8612,Augmentation Potential,0.34,0.24,1,No score,,,0,1
8621,Not affected,0.27,0.16031219541881397,2,Not Exposed,0.23500000000000001,0.07794228634059948,2,2
8622,Not affected,0.31,0.19,1,Not Exposed,0.27,0.09,1,1
8623,Not affected,0.31,0.19,1,Not Exposed,0.27,0.09,1,1
8624,Not affected,0.31,0.19,1,Not Exposed,0.27,0.09,1,1
8625,Not affected,0.31,0.19,1,Not Exposed,0.27,0.09,1,1
9101,Not affected,0.20500000000000002,0.14080127840328724,2,No score,,,0,2
9102,No score,,,0,No score,,,0,0
9109,No score,,,0,No score,,,0,0
9111,Not affected,0.185,0.14585952145814823,2,Not Exposed,0.19,0.085146931829632,2,2
9112,Not affected,0.185,0.14585952145814823,2,Not Exposed,0.19,0.085146931829632,2,2
9113,Not affected,0.185,0.14585952145814823,2,Not Exposed,0.19,0.085146931829632,2,2
9131,Not affected,0.15,0.12369316876852983,4,Not Exposed,0.17250000000000001,0.06887488656977955,4,4
9141,Not affected,0.17666666666666667,0.1382831234179436,3,Not Exposed,0.19000000000000003,0.0804155872120988,3,3
9142,No score,,,0,No score,,,0,0
9143,Not affected,0.185,0.14585952145814823,2,Not Exposed,0.19,0.085146931829632,2,2
9144,Not affected,0.115,0.08291561975888499,2,Not Exposed,0.155,0.04031128874149274,2,2
9151,No score,,,0,No score,,,0,0
9152,No score,,,0,No score,,,0,0
9153,No score,,,0,No score,,,0,0
9154,No score,,,0,No score,,,0,0
9191,Not affected,0.185,0.14585952145814823,2,Not Exposed,0.19,0.085146931829632,2,2
9192,No score,,,0,No score,,,0,0
9193,Not affected,0.185,0.14585952145814823,2,Not Exposed,0.19,0.085146931829632,2,2
9501,No score,,,0,No score,,,0,0
9502,No score,,,0,No score,,,0,0
9503,No score,,,0,No score,,,0,0
9511,Not affected,0.14,0.06,1,Not Exposed,0.17,0.05,1,1
9513,No score,,,0,No score,,,0,0
9531,Not affected,0.18,0.07,1,Not Exposed,0.19,0.06,1,1
9541,Not affected,0.14,0.06,1,Not Exposed,0.17,0.05,1,1
9542,Not affected,0.14,0.06,1,Not Exposed,0.17,0.05,1,1
9543,Not affected,0.13,0.08,1,Not Exposed,0.15,0.05,1,1
9911,No score,,,0,No score,,,0,0
9912,No score,,,0,No score,,,0,0
9913,No score,,,0,No score,,,0,0
9914,No score,,,0,No score,,,0,0
9921,Not affected,0.265,0.14773286702694155,2,Not Exposed,0.265,0.13009611831257686,2,2
9922,No score,,,0,No score,,,0,0
9999,No score,,,0,No score,,,0,0
