cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient,gradient_v_a,gradient_v_b,gradient_v_c,gradient_v_d,employment_weight_fallback,matched_pre_admissions,variant_b_mean,variant_b_pooled_sd,variant_c_task_sd,between_destination_sd
7256,matched_official_mte,8281,3122; 8211,3122; 8211,2,2,0.30999999999999994,0.15652475842498528,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,539.0,0.30999999999999994,0.15652475842498528,0.15132745950421558,0.03999999999999995
7257,matched_official_mte,8281,3122; 8211,3122; 8211,2,2,0.30999999999999994,0.15652475842498528,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,16894.0,0.30999999999999994,0.15652475842498528,0.15132745950421558,0.03999999999999995
7301,matched_official_mte,7241,7412,7412,1,1,0.17,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,4476.0,0.17,0.05,0.05,0.0
7311,matched_official_mte,8283; 8282,3122; 8212,3122; 8212,2,2,0.31499999999999995,0.1665082580534671,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,84791.0,0.315,0.1665082580534671,0.16278820596099708,0.03499999999999995
7312,matched_official_mte,8283,3122; 8212,3122; 8212,2,2,0.31499999999999995,0.1665082580534671,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,3598.0,0.31499999999999995,0.1665082580534671,0.16278820596099708,0.03499999999999995
7313,matched_official_mte,7244,7422,7422,1,1,0.24,0.14,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,19540.0,0.23999999999999996,0.14,0.14,0.0
7321,matched_official_mte,7245,7413; 7422,7413; 7422,2,2,0.195,0.12257650672131264,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,118437.0,0.19499999999999998,0.12257650672131264,0.1140175425099138,0.045
7401,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7411,matched_official_mte,7311,3214; 7311,3214; 7311,2,2,0.195,0.06837397165588671,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,7125.0,0.195,0.06837397165588671,0.06670832032063168,0.015
7421,matched_official_mte,7312,7312,7312,1,1,0.14,0.02,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,429.0,0.14,0.02,0.02,0.0
7501,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7502,matched_official_mte,8131,8181,8181,1,1,0.16999999999999998,0.060000000000000005,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,365.0,0.16999999999999998,0.060000000000000005,0.060000000000000005,0.0
7510,matched_official_mte,7313,7313,7313,1,1,0.18,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,2623.0,0.18,0.05,0.05,0.0
7511,matched_official_mte,7313,7313,7313,1,1,0.18,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,4260.0,0.18,0.05,0.05,0.0
7521,matched_official_mte,7322,7315; 7549,7315; 7549,2,2,0.165,0.049749371855331,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,131.0,0.165,0.049749371855330994,0.04301162633521314,0.024999999999999994
7522,matched_official_mte,7322; 7323,7315; 7549; 7316,7315; 7549; 7316,3,3,0.17,0.061913918736689035,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,4374.0,0.165960219478738,0.05234251332333496,0.058022983951764036,0.021602468994692862
7523,matched_official_mte,7321,7314,7314,1,1,0.18,0.07,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,29662.0,0.18,0.07,0.07,0.0
7524,matched_official_mte,7324,7316,7316,1,1,0.18,0.08,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1545.0,0.17999999999999997,0.08,0.08,0.0
7601,matched_official_mte,8269,3122; 8159,3122; 8159,2,2,0.25499999999999995,0.13238202294873724,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,6508.0,0.25499999999999995,0.13238202294873724,0.09219544457292887,0.09499999999999996
7602,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7603,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7604,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,4014.0,0.16999999999999996,0.060000000000000005,0.060000000000000005,0.0
7605,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7606,matched_official_mte,3119,3119,3119,1,1,0.26,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1308.0,0.26,0.05,0.05,0.0
