cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient,gradient_v_a,gradient_v_b,gradient_v_c,gradient_v_d,employment_weight_fallback,matched_pre_admissions,variant_b_mean,variant_b_pooled_sd,variant_c_task_sd,between_destination_sd
8201,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
8202,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
8211,matched_official_mte,8223,3122; 8122,3122; 8122,2,2,0.27499999999999997,0.12196310917650466,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,331.0,0.27499999999999997,0.12196310917650466,0.09617692030835673,0.07499999999999996
8212,matched_official_mte,8121,3135; 8121,3135; 8121,2,2,0.28500000000000003,0.11863810517704672,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Not Exposed,False,11648.0,0.28500000000000003,0.11863810517704672,0.11597413504743202,0.024999999999999994
8213,matched_official_mte,8122,3135; 8121,3135; 8121,2,2,0.28500000000000003,0.11863810517704672,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Not Exposed,False,6307.0,0.28500000000000003,0.11863810517704672,0.11597413504743202,0.024999999999999994
8214,matched_official_mte,8223,3122; 8122,3122; 8122,2,2,0.27499999999999997,0.12196310917650466,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,47958.0,0.27499999999999997,0.12196310917650466,0.09617692030835673,0.07499999999999996
8221,matched_official_mte,8122,3135; 8121,3135; 8121,2,2,0.28500000000000003,0.11863810517704672,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Not Exposed,False,1854.0,0.285,0.11863810517704672,0.11597413504743202,0.024999999999999994
8231,matched_official_mte,8139,8181,8181,1,1,0.16999999999999998,0.060000000000000005,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1920.0,0.16999999999999998,0.060000000000000005,0.060000000000000005,0.0
8232,matched_official_mte,8139; 8131,8181,8181,1,1,0.16999999999999998,0.060000000000000005,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,5146.0,0.16999999999999998,0.060000000000000005,0.060000000000000005,0.0
8233,matched_official_mte,8212; 8131,8114; 8181,8114; 8181,2,2,0.2,0.09354143466934856,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,32150.0,0.2228709175738725,0.10708392869907106,0.08860022573334676,0.030000000000000027
8281,matched_official_mte,7321,7314,7314,1,1,0.18,0.07,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,31144.0,0.18,0.07,0.07,0.0
8301,matched_official_mte,8253,3122; 8143,3122; 8143,2,2,0.26499999999999996,0.1259960316835415,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,655.0,0.26499999999999996,0.12599603168354148,0.09300537618869138,0.08499999999999995
8311,matched_official_mte,8142,3139; 8171,8171,2,1,0.28,0.14,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,1410.0,0.28,0.14,0.14,0.0
8321,matched_official_mte,8143; 8142,3139; 8171,8171,2,1,0.28,0.14,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,7579.0,0.28,0.14,0.14,0.0
8331,matched_official_mte,8253,3122; 8143,3122; 8143,2,2,0.26499999999999996,0.1259960316835415,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,8623.0,0.26499999999999996,0.12599603168354148,0.09300537618869138,0.08499999999999995
8332,matched_official_mte,8286,3122; 8219,3122; 8219,2,2,0.33499999999999996,0.1520690632574555,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,2818.0,0.33499999999999996,0.1520690632574555,0.15132745950421558,0.014999999999999958
8401,matched_official_mte,7415; 7412,7515; 7512,7515; 7512,2,2,0.24,0.14456832294800961,Not Exposed,Not Exposed,Minimal Exposure,Not Exposed,Minimal Exposure,False,8464.0,0.2952622873345936,0.15945189737304635,0.12649110640673517,0.06999999999999999
8411,matched_official_mte,8273,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,6666.0,0.24999999999999997,0.13747727084867517,0.09433981132056604,0.09999999999999996
8412,matched_official_mte,8275,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,943.0,0.24999999999999997,0.13747727084867517,0.09433981132056604,0.09999999999999996
8413,matched_official_mte,8276,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,6387.0,0.24999999999999992,0.13747727084867517,0.09433981132056604,0.09999999999999996
8414,matched_official_mte,8271; 8275,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,43264.0,0.24999999999999994,0.13747727084867517,0.09433981132056604,0.09999999999999996
8415,matched_official_mte,8272,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,19824.0,0.24999999999999994,0.13747727084867517,0.09433981132056604,0.09999999999999996
8416,matched_official_mte,8277,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,785.0,0.24999999999999997,0.13747727084867517,0.09433981132056604,0.09999999999999996
8417,matched_official_mte,8278,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,7272.0,0.24999999999999994,0.1374772708486752,0.09433981132056604,0.09999999999999996
8418,matched_official_mte,8274,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,6928.0,0.24999999999999994,0.13747727084867517,0.09433981132056604,0.09999999999999996
8421,matched_official_mte,7416; 8279,7516; 3122; 8160,7516; 3122; 8160,3,3,0.2133333333333333,0.12840906856172146,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,2531.0,0.16433820624259188,0.09523695519861135,0.08445906306213286,0.09672412085697936
8422,matched_official_mte,8279,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,117.0,0.24999999999999994,0.13747727084867517,0.09433981132056604,0.09999999999999996
8481,matched_official_mte,7411,7511,7511,1,1,0.13,0.03,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,8228.0,0.13,0.03,0.03,0.0
8482,matched_official_mte,7413,7513,7513,1,1,0.22,0.17,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,3592.0,0.22,0.17,0.17,0.0
8483,matched_official_mte,7412,7512,7512,1,1,0.17,0.08,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,142364.0,0.17,0.08,0.08,0.0
8484,matched_official_mte,7415,7515,7515,1,1,0.31,0.16,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,1350.0,0.31,0.16,0.16,0.0
8485,matched_official_mte,7411,7511,7511,1,1,0.13,0.03,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,436397.0,0.13,0.03,0.03,0.0
8486,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
8601,matched_official_mte,7242; 8163; 8161,7421; 7422; 3132; 3131,7421; 7422; 3132; 3131,4,4,0.26,0.12010412149464314,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,5449.0,0.27167003119838506,0.11439147986393297,0.11905880899790658,0.01581138830084191
8611,matched_official_mte,8161,3131,3131,1,1,0.28,0.11,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,2591.0,0.28,0.11,0.11,0.0
8612,matched_official_mte,8161,3131,3131,1,1,0.28,0.11,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,772.0,0.28,0.11,0.11,0.0
8621,matched_official_mte,8162; 8163,8182; 3132,8182; 3132,2,2,0.23500000000000001,0.07794228634059948,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,129348.0,0.26124648235767084,0.08844939528132564,0.0696419413859206,0.035
8622,matched_official_mte,8163,3132,3132,1,1,0.27,0.09,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,6187.0,0.27,0.09,0.09,0.0
8623,matched_official_mte,8163,3132,3132,1,1,0.27,0.09,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,11241.0,0.27,0.09,0.09,0.0
8624,matched_official_mte,8163,3132,3132,1,1,0.27,0.09,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1289.0,0.27,0.09,0.09,0.0
8625,matched_official_mte,8163,3132,3132,1,1,0.27,0.09,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,3780.0,0.27,0.09,0.09,0.0
9101,matched_official_mte,7242,7421; 7422,7421; 7422,2,2,0.245,0.13518505834595776,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,15093.0,0.245,0.13518505834595776,0.13509256086106297,0.0050000000000000044
9102,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9109,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9111,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,11697.0,0.19000000000000003,0.085146931829632,0.08276472678623424,0.01999999999999999
9112,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,32369.0,0.19000000000000003,0.08514693182963201,0.08276472678623424,0.01999999999999999
9113,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,206857.0,0.19,0.085146931829632,0.08276472678623424,0.01999999999999999
9131,matched_official_mte,7233; 7231,7127; 7233; 7231; 7234,7127; 7233; 7231; 7234,4,4,0.17250000000000001,0.06887488656977955,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,35044.0,0.18428518433968724,0.08061579816167307,0.06264982043070834,0.028613807855648987
9141,matched_official_mte,7232; 7233,7232; 7127; 7233,7232; 7127; 7233,3,3,0.19000000000000003,0.0804155872120988,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,4239.0,0.19,0.07072877466728349,0.07874007874011811,0.016329931618554512
9142,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9143,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,3029.0,0.19,0.085146931829632,0.08276472678623424,0.01999999999999999
9144,matched_official_mte,7231,7231; 7234,7231; 7234,2,2,0.155,0.04031128874149274,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,209291.0,0.155,0.04031128874149274,0.03162277660168379,0.024999999999999994
9151,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9152,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9153,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9154,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9191,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,18900.0,0.19,0.085146931829632,0.08276472678623424,0.01999999999999999
9192,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9193,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,5022.0,0.19,0.085146931829632,0.08276472678623424,0.01999999999999999
9501,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9502,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9503,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9511,matched_official_mte,7241,7412,7412,1,1,0.17,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,94479.0,0.17,0.05,0.05,0.0
9513,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9531,matched_official_mte,7137,7411,7411,1,1,0.19,0.06,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,20634.0,0.19,0.06,0.06,0.0
9541,matched_official_mte,7241,7412,7412,1,1,0.17,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,14373.0,0.17,0.05,0.05,0.0
9542,matched_official_mte,7241,7412,7412,1,1,0.17,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,2098.0,0.17,0.05,0.05,0.0
9543,matched_official_mte,7433,7531,7531,1,1,0.15,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1168.0,0.15,0.05,0.05,0.0
9911,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9912,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9913,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9914,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9921,matched_official_mte,8231,3122; 8141,3122; 8141,2,2,0.26499999999999996,0.13009611831257684,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,28414.0,0.26499999999999996,0.13009611831257684,0.09848857801796106,0.08499999999999995
9922,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
9999,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
