cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient
2627,matched_official_mte,2453,2652,2652,1,1,0.28,0.09,Not Exposed
2628,matched_official_mte,2454,2653,2653,1,1,0.19000000000000003,0.10000000000000002,Not Exposed
2629,no_score,,,,0,0,,,No score
2631,matched_official_mte,2460,2636,2636,1,1,0.17,0.12000000000000001,Not Exposed
2711,no_score,,,,0,0,,,No score
3001,no_score,,,,0,0,,,No score
3003,matched_official_mte,3114,3114; 3522,3114; 3522,2,2,0.41500000000000004,0.08986100377805714,Exposed: Gradient 2
3010,no_score,,,,0,0,,,No score
3011,matched_official_mte,3116,3116; 3133,3116; 3133,2,2,0.305,0.0736545993132812,Not Exposed
3012,no_score,,,,0,0,,,No score
3020,no_score,,,,0,0,,,No score
3030,no_score,,,,0,0,,,No score
3110,no_score,,,,0,0,,,No score
3111,matched_official_mte,3116,3116; 3133,3116; 3133,2,2,0.305,0.0736545993132812,Not Exposed
3112,matched_official_mte,3116,3116; 3133,3116; 3133,2,2,0.305,0.0736545993132812,Not Exposed
3113,matched_official_mte,3116,3116; 3133,3116; 3133,2,2,0.305,0.0736545993132812,Not Exposed
3114,no_score,,,,0,0,,,No score
3115,matched_official_mte,3111; 3116,3111; 3116; 3133,3111; 3116; 3133,3,3,0.29000000000000004,0.08225975119502045,Not Exposed
3116,matched_official_mte,3116,3116; 3133,3116; 3133,2,2,0.305,0.0736545993132812,Not Exposed
3117,matched_official_mte,8264,3122; 8154; 8157,3122; 8154; 8157,3,3,0.24,0.14106735979665883,Not Exposed
3120,no_score,,,,0,0,,,No score
3121,matched_official_mte,3112,3112,3112,1,1,0.28,0.07,Not Exposed
3122,matched_official_mte,3112,3112,3112,1,1,0.28,0.07,Not Exposed
3123,matched_official_mte,3112; 2148,3112; 2165,3112; 2165,2,2,0.36,0.12668859459319926,Minimal Exposure
3131,matched_official_mte,3113,3113,3113,1,1,0.27,0.05000000000000001,Not Exposed
3132,matched_official_mte,3114,3114; 3522,3114; 3522,2,2,0.41500000000000004,0.08986100377805714,Exposed: Gradient 2
3133,matched_official_mte,3114,3114; 3522,3114; 3522,2,2,0.41500000000000004,0.08986100377805714,Exposed: Gradient 2
3134,matched_official_mte,3114,3114; 3522,3114; 3522,2,2,0.41500000000000004,0.08986100377805714,Exposed: Gradient 2
3135,no_score,,,,0,0,,,No score
3141,matched_official_mte,3115,3115,3115,1,1,0.26,0.08,Not Exposed
3142,no_score,,,,0,0,,,No score
3143,matched_official_mte,3115,3115,3115,1,1,0.26,0.08,Not Exposed
3144,no_score,,,,0,0,,,No score
3146,no_score,,,,0,0,,,No score
3147,matched_official_mte,3117,3117,3117,1,1,0.28,0.06,Not Exposed
3148,no_score,,,,0,0,,,No score
3161,matched_official_mte,3111,3111,3111,1,1,0.26,0.09000000000000001,Not Exposed
3163,matched_official_mte,3117,3117,3117,1,1,0.28,0.06,Not Exposed
3171,matched_official_mte,3121,3512; 3513; 3514,3512; 3513; 3514,3,3,0.4766666666666666,0.14372040758206733,Exposed: Gradient 2
3172,matched_official_mte,3122,3511,3511,1,1,0.43,0.13,Exposed: Gradient 2
3180,matched_official_mte,3118,3118,3118,1,1,0.35,0.11,Minimal Exposure
3181,matched_official_mte,3118,3118,3118,1,1,0.35,0.11,Minimal Exposure
3182,matched_official_mte,3118,3118,3118,1,1,0.35,0.11,Minimal Exposure
3183,matched_official_mte,3118,3118,3118,1,1,0.35,0.11,Minimal Exposure
3184,matched_official_mte,3118,3118,3118,1,1,0.35,0.11,Minimal Exposure
3185,no_score,,,,0,0,,,No score
3186,no_score,,,,0,0,,,No score
3187,no_score,,,,0,0,,,No score
3188,matched_official_mte,7435,7532,7532,1,1,0.17,0.04,Not Exposed
3191,no_score,,,,0,0,,,No score
3192,no_score,,,,0,0,,,No score
3201,no_score,,,,0,0,,,No score
3211,matched_official_mte,3212,3142; 3143,3142; 3143,2,2,0.23500000000000001,0.08440971508067066,Not Exposed
3212,no_score,,,,0,0,,,No score
3213,matched_official_mte,3212,3142; 3143,3142; 3143,2,2,0.23500000000000001,0.08440971508067066,Not Exposed
