cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient
7102,matched_official_mte,7129,3123; 7111; 7119,3123; 7111; 7119,3,3,0.17,0.09660917830792959,Not Exposed
7111,matched_official_mte,7111; 7113; 7112,3121; 8111; 7113; 7542,3121; 8111; 7113; 7542,4,4,0.1725,0.10231690964840562,Not Exposed
7112,matched_official_mte,8111,3121; 8111,3121; 8111,2,2,0.22999999999999998,0.11335784048754632,Not Exposed
7113,matched_official_mte,8113,8113,8113,1,1,0.19,0.12,Not Exposed
7114,matched_official_mte,9311,9311,9311,1,1,0.11,0.02,Not Exposed
7121,matched_official_mte,8112,8112,8112,1,1,0.21000000000000002,0.1,Not Exposed
7122,matched_official_mte,7113,7113,7113,1,1,0.11,0.02,Not Exposed
7151,matched_official_mte,8332,8342,8342,1,1,0.13,0.02,Not Exposed
7152,matched_official_mte,7122,7112; 7113,7112; 7113,2,2,0.1,0.018708286933869705,Not Exposed
7153,matched_official_mte,7123,7114,7114,1,1,0.1,0.03,Not Exposed
7154,matched_official_mte,8212,8114,8114,1,1,0.23000000000000004,0.11000000000000001,Not Exposed
7155,matched_official_mte,7124; 7129,7115; 3123; 7111; 7119,7115; 3123; 7111; 7119,4,4,0.16,0.08602325267042626,Not Exposed
7156,matched_official_mte,7137,7411,7411,1,1,0.19,0.06,Not Exposed
7157,matched_official_mte,7134,7124,7124,1,1,0.13,0.02,Not Exposed
7161,matched_official_mte,7123,7114,7114,1,1,0.1,0.03,Not Exposed
7162,matched_official_mte,7131,7121,7121,1,1,0.13,0.08,Not Exposed
7163,matched_official_mte,7135,7125,7125,1,1,0.14,0.0,Not Exposed
7164,matched_official_mte,7133,7123,7123,1,1,0.11,0.01,Not Exposed
7165,matched_official_mte,7132,7122,7122,1,1,0.1,0.02,Not Exposed
7166,matched_official_mte,7122; 7141,7112; 7113; 7131,7112; 7113; 7131,3,3,0.11,0.03109126351029605,Not Exposed
7170,matched_official_mte,9313,9313,9313,1,1,0.09000000000000001,0.02,Not Exposed
7201,no_score,,,,0,0,,,No score
7202,matched_official_mte,8281,3122; 8211,3122; 8211,2,2,0.30999999999999994,0.15652475842498528,Minimal Exposure
7211,matched_official_mte,7222,7222,7222,1,1,0.2,0.1,Not Exposed
7212,matched_official_mte,7223,7223; 7319,7223,2,1,0.18000000000000002,0.05000000000000001,Not Exposed
7213,matched_official_mte,7224,7224,7224,1,1,0.17,0.05,Not Exposed
7214,matched_official_mte,8211,3122; 7211; 7223,3122; 7211; 7223,3,3,0.21999999999999997,0.12396235987858033,Not Exposed
7221,matched_official_mte,7221,7221,7221,1,1,0.17,0.05,Not Exposed
7222,matched_official_mte,8122,3135; 8121,3135; 8121,2,2,0.28500000000000003,0.11863810517704672,Minimal Exposure
7223,matched_official_mte,7211,7211,7211,1,1,0.13,0.01,Not Exposed
7224,matched_official_mte,8124,3135; 8121,3135; 8121,2,2,0.28500000000000003,0.11863810517704672,Minimal Exposure
7231,matched_official_mte,8123,3135; 8121,3135; 8121,2,2,0.28500000000000003,0.11863810517704672,Minimal Exposure
7232,matched_official_mte,8223,3122; 8122,3122; 8122,2,2,0.27499999999999997,0.12196310917650466,Not Exposed
7233,matched_official_mte,7142,7132,7132,1,1,0.12,0.0,Not Exposed
7241,matched_official_mte,7136,7126,7126,1,1,0.18,0.1,Not Exposed
7242,matched_official_mte,7214,7214,7214,1,1,0.11,0.02,Not Exposed
7243,matched_official_mte,7212,7212,7212,1,1,0.13,0.05,Not Exposed
7244,matched_official_mte,7213,7213,7213,1,1,0.21,0.09,Not Exposed
7245,matched_official_mte,8282,3122; 8212,3122; 8212,2,2,0.31499999999999995,0.1665082580534671,Minimal Exposure
7246,no_score,,,,0,0,,,No score
7250,matched_official_mte,7223,7223; 7319,7223,2,1,0.18000000000000002,0.05000000000000001,Not Exposed
7251,matched_official_mte,8281,3122; 8211,3122; 8211,2,2,0.30999999999999994,0.15652475842498528,Minimal Exposure
7252,matched_official_mte,8281,3122; 8211,3122; 8211,2,2,0.30999999999999994,0.15652475842498528,Minimal Exposure
7253,matched_official_mte,8281,3122; 8211,3122; 8211,2,2,0.30999999999999994,0.15652475842498528,Minimal Exposure
7254,matched_official_mte,8281,3122; 8211,3122; 8211,2,2,0.30999999999999994,0.15652475842498528,Minimal Exposure
7255,no_score,,,,0,0,,,No score
7256,matched_official_mte,8281,3122; 8211,3122; 8211,2,2,0.30999999999999994,0.15652475842498528,Minimal Exposure
7257,matched_official_mte,8281,3122; 8211,3122; 8211,2,2,0.30999999999999994,0.15652475842498528,Minimal Exposure
7301,matched_official_mte,7241,7412,7412,1,1,0.17,0.05,Not Exposed
7311,matched_official_mte,8283; 8282,3122; 8212,3122; 8212,2,2,0.31499999999999995,0.1665082580534671,Minimal Exposure
7312,matched_official_mte,8283,3122; 8212,3122; 8212,2,2,0.31499999999999995,0.1665082580534671,Minimal Exposure
7313,matched_official_mte,7244,7422,7422,1,1,0.24,0.14,Not Exposed
7321,matched_official_mte,7245,7413; 7422,7413; 7422,2,2,0.195,0.12257650672131264,Not Exposed
7401,no_score,,,,0,0,,,No score
7411,matched_official_mte,7311,3214; 7311,3214; 7311,2,2,0.195,0.06837397165588671,Not Exposed
7421,matched_official_mte,7312,7312,7312,1,1,0.14,0.02,Not Exposed
7501,no_score,,,,0,0,,,No score
7502,matched_official_mte,8131,8181,8181,1,1,0.16999999999999998,0.060000000000000005,Not Exposed
7510,matched_official_mte,7313,7313,7313,1,1,0.18,0.05,Not Exposed
7511,matched_official_mte,7313,7313,7313,1,1,0.18,0.05,Not Exposed
7521,matched_official_mte,7322,7315; 7549,7315; 7549,2,2,0.165,0.049749371855331,Not Exposed
7522,matched_official_mte,7322; 7323,7315; 7549; 7316,7315; 7549; 7316,3,3,0.17,0.061913918736689035,Not Exposed
7523,matched_official_mte,7321,7314,7314,1,1,0.18,0.07,Not Exposed
7524,matched_official_mte,7324,7316,7316,1,1,0.18,0.08,Not Exposed
7601,matched_official_mte,8269,3122; 8159,3122; 8159,2,2,0.25499999999999995,0.13238202294873724,Not Exposed
7602,no_score,,,,0,0,,,No score
7603,no_score,,,,0,0,,,No score
7604,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed
7605,no_score,,,,0,0,,,No score
7606,matched_official_mte,3119,3119,3119,1,1,0.26,0.05,Not Exposed
7610,no_score,,,,0,0,,,No score
7611,matched_official_mte,7431,7318,7318,1,1,0.13,0.03,Not Exposed
7612,matched_official_mte,8261; 7431,3122; 8151; 7318,3122; 8151; 7318,3,3,0.20999999999999996,0.12622730819174321,Not Exposed
7613,matched_official_mte,8262,3122; 8152,3122; 8152,2,2,0.25499999999999995,0.1338842783899588,Not Exposed
7614,matched_official_mte,8264,3122; 8154; 8157,3122; 8154; 8157,3,3,0.24,0.14106735979665883,Not Exposed
7618,matched_official_mte,3152,2263; 3113; 3114; 3115; 3117; 3257; 7543,2263; 3113; 3114; 3115; 3117; 3257; 7543,7,7,0.2885714285714286,0.08724817991201411,Not Exposed
7620,no_score,,,,0,0,,,No score
7621,matched_official_mte,7441,7535,7535,1,1,0.11,0.030000000000000002,Not Exposed
7622,matched_official_mte,7441,7535,7535,1,1,0.11,0.030000000000000002,Not Exposed
7623,matched_official_mte,7441,7535,7535,1,1,0.11,0.030000000000000002,Not Exposed
7630,matched_official_mte,7433,7531,7531,1,1,0.15,0.05,Not Exposed
7631,matched_official_mte,7435,7532,7532,1,1,0.17,0.04,Not Exposed
7632,matched_official_mte,8263,3122; 8153,3122; 8153,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
7633,matched_official_mte,8263,3122; 8153,3122; 8153,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
7640,no_score,,,,0,0,,,No score
7641,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed
7642,matched_official_mte,8266,3122; 8156,3122; 8156,2,2,0.25499999999999995,0.13294735800308327,Not Exposed
7643,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed
7650,matched_official_mte,7433,7531,7531,1,1,0.15,0.05,Not Exposed
7651,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed
7652,matched_official_mte,7437; 7436,7534; 7533,7534; 7533,2,2,0.15000000000000002,0.07176350047203663,Not Exposed
7653,matched_official_mte,8269,3122; 8159,3122; 8159,2,2,0.25499999999999995,0.13238202294873724,Not Exposed
7654,no_score,,,,0,0,,,No score
7661,matched_official_mte,7343; 7341,7321; 7322,7321; 7322,2,2,0.315,0.18567444627627142,Exposed: Gradient 1
7662,matched_official_mte,8251,3122; 7322,3122; 7322,2,2,0.29999999999999993,0.13038404810405296,Minimal Exposure
7663,matched_official_mte,7345,7323,7323,1,1,0.22,0.09,Not Exposed
7664,matched_official_mte,7344,8132,8132,1,1,0.27,0.06,Not Exposed
7681,matched_official_mte,7432,7318; 8152,7318; 8152,2,2,0.14500000000000002,0.03354101966249685,Not Exposed
7682,matched_official_mte,7436,7533,7533,1,1,0.12,0.02,Not Exposed
7683,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed
7686,matched_official_mte,7341; 7346,7321; 7322,7321; 7322,2,2,0.315,0.18567444627627142,Exposed: Gradient 1
7687,matched_official_mte,7345,7323,7323,1,1,0.22,0.09,Not Exposed
7701,matched_official_mte,7422,7522,7522,1,1,0.16,0.06,Not Exposed
7711,matched_official_mte,7422,7522,7522,1,1,0.16,0.06,Not Exposed
7721,matched_official_mte,7421,7521,7521,1,1,0.22,0.15,Not Exposed
7731,matched_official_mte,8141,8172,8172,1,1,0.14,0.05,Not Exposed
7732,matched_official_mte,8141,8172,8172,1,1,0.14,0.05,Not Exposed
7733,matched_official_mte,7423,7523,7523,1,1,0.22,0.16,Not Exposed
7734,matched_official_mte,8240,3122; 7521; 7523,3122; 7521; 7523,3,3,0.2633333333333333,0.1594434765746853,Minimal Exposure
7735,no_score,,,,0,0,,,No score
7741,no_score,,,,0,0,,,No score
7751,matched_official_mte,7422,7522,7522,1,1,0.16,0.06,Not Exposed
7764,matched_official_mte,7424,7317,7317,1,1,0.14,0.01,Not Exposed
7771,matched_official_mte,7124,7115,7115,1,1,0.13,0.02,Not Exposed
7772,matched_official_mte,7124,7115,7115,1,1,0.13,0.02,Not Exposed
7801,no_score,,,,0,0,,,No score
7811,no_score,,,,0,0,,,No score
7813,no_score,,,,0,0,,,No score
7817,matched_official_mte,7216,7541,7541,1,1,0.16,0.09000000000000001,Not Exposed
7821,matched_official_mte,8333,8343,8343,1,1,0.18,0.03,Not Exposed
7822,matched_official_mte,8333; 8334,8343; 8344,8343; 8344,2,2,0.19,0.0744983221287567,Not Exposed
7823,matched_official_mte,8322,8322,8322,1,1,0.28,0.23,Exposed: Gradient 1
7824,no_score,,,,0,0,,,No score
7825,matched_official_mte,8324,8332,8332,1,1,0.24,0.22,Minimal Exposure
7826,matched_official_mte,8311,8311,8311,1,1,0.2,0.08,Not Exposed
7827,matched_official_mte,8340,8350,8350,1,1,0.14,0.02,Not Exposed
7828,matched_official_mte,9332,9332,9332,1,1,0.13,0.08,Not Exposed
7831,no_score,,,,0,0,,,No score
7832,matched_official_mte,9333,9333; 9334,9333; 9334,2,2,0.17,0.07968688725254613,Not Exposed
7841,matched_official_mte,8290,3122; 8183; 8189; 8219,3122; 8183; 8219,4,3,0.29666666666666663,0.13560563737871995,Minimal Exposure
7842,matched_official_mte,9321,9329,9329,1,1,0.12,0.02,Not Exposed
7911,no_score,,,,0,0,,,No score
8101,matched_official_mte,8159,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed
8102,matched_official_mte,8232,3122; 8142,3122; 8142,2,2,0.25999999999999995,0.13341664064126332,Not Exposed
8103,no_score,,,,0,0,,,No score
8110,matched_official_mte,8159,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed
8111,matched_official_mte,8151; 8159,8131; 3133,8131; 3133,2,2,0.265,0.08986100377805716,Not Exposed
8112,matched_official_mte,8152; 8159,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed
8113,matched_official_mte,8153; 8155,3133; 8131; 3134,3133; 8131; 3134,3,3,0.2733333333333334,0.09775252199076788,Not Exposed
8114,matched_official_mte,8154,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed
8115,matched_official_mte,8155,3134; 8131,3134; 8131,2,2,0.265,0.09552486587271401,Not Exposed
8116,matched_official_mte,8159,3133; 8131,3133; 8131,2,2,0.265,0.08986100377805716,Not Exposed
8117,matched_official_mte,8231; 8229; 8232,3122; 8141; 8131; 8142,3122; 8141; 8131; 8142,4,4,0.235,0.1087428158546577,Not Exposed
8118,matched_official_mte,8221,3122; 8131,3122; 8131,2,2,0.29499999999999993,0.11800423721205945,Minimal Exposure
8121,matched_official_mte,8222,3122; 8131,3122; 8131,2,2,0.29499999999999993,0.11800423721205945,Minimal Exposure
8131,no_score,,,,0,0,,,No score
8181,matched_official_mte,5132,3258; 5321; 5329,3258; 5321; 5329,3,3,0.17,0.11135528725660045,Not Exposed
8201,no_score,,,,0,0,,,No score
8202,no_score,,,,0,0,,,No score
8211,matched_official_mte,8223,3122; 8122,3122; 8122,2,2,0.27499999999999997,0.12196310917650466,Not Exposed
8212,matched_official_mte,8121,3135; 8121,3135; 8121,2,2,0.28500000000000003,0.11863810517704672,Minimal Exposure
8213,matched_official_mte,8122,3135; 8121,3135; 8121,2,2,0.28500000000000003,0.11863810517704672,Minimal Exposure
8214,matched_official_mte,8223,3122; 8122,3122; 8122,2,2,0.27499999999999997,0.12196310917650466,Not Exposed
8221,matched_official_mte,8122,3135; 8121,3135; 8121,2,2,0.28500000000000003,0.11863810517704672,Minimal Exposure
8231,matched_official_mte,8139,8181,8181,1,1,0.16999999999999998,0.060000000000000005,Not Exposed
8232,matched_official_mte,8139; 8131,8181,8181,1,1,0.16999999999999998,0.060000000000000005,Not Exposed
8233,matched_official_mte,8212; 8131,8114; 8181,8114; 8181,2,2,0.2,0.09354143466934856,Not Exposed
8281,matched_official_mte,7321,7314,7314,1,1,0.18,0.07,Not Exposed
8301,matched_official_mte,8253,3122; 8143,3122; 8143,2,2,0.26499999999999996,0.1259960316835415,Not Exposed
8311,matched_official_mte,8142,3139; 8171,8171,2,1,0.28,0.14,Minimal Exposure
8321,matched_official_mte,8143; 8142,3139; 8171,8171,2,1,0.28,0.14,Minimal Exposure
8331,matched_official_mte,8253,3122; 8143,3122; 8143,2,2,0.26499999999999996,0.1259960316835415,Not Exposed
8332,matched_official_mte,8286,3122; 8219,3122; 8219,2,2,0.33499999999999996,0.1520690632574555,Minimal Exposure
8401,matched_official_mte,7415; 7412,7515; 7512,7515; 7512,2,2,0.24,0.14456832294800961,Not Exposed
8411,matched_official_mte,8273,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
8412,matched_official_mte,8275,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
8413,matched_official_mte,8276,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
8414,matched_official_mte,8271; 8275,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
8415,matched_official_mte,8272,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
8416,matched_official_mte,8277,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
8417,matched_official_mte,8278,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
8418,matched_official_mte,8274,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
8421,matched_official_mte,7416; 8279,7516; 3122; 8160,7516; 3122; 8160,3,3,0.2133333333333333,0.12840906856172146,Not Exposed
8422,matched_official_mte,8279,3122; 8160,3122; 8160,2,2,0.24999999999999994,0.13747727084867517,Not Exposed
8481,matched_official_mte,7411,7511,7511,1,1,0.13,0.03,Not Exposed
8482,matched_official_mte,7413,7513,7513,1,1,0.22,0.17,Not Exposed
8483,matched_official_mte,7412,7512,7512,1,1,0.17,0.08,Not Exposed
8484,matched_official_mte,7415,7515,7515,1,1,0.31,0.16,Minimal Exposure
8485,matched_official_mte,7411,7511,7511,1,1,0.13,0.03,Not Exposed
8486,no_score,,,,0,0,,,No score
8601,matched_official_mte,7242; 8163; 8161,7421; 7422; 3132; 3131,7421; 7422; 3132; 3131,4,4,0.26,0.12010412149464314,Not Exposed
8611,matched_official_mte,8161,3131,3131,1,1,0.28,0.11,Not Exposed
8612,matched_official_mte,8161,3131,3131,1,1,0.28,0.11,Not Exposed
8621,matched_official_mte,8162; 8163,8182; 3132,8182; 3132,2,2,0.23500000000000001,0.07794228634059948,Not Exposed
8622,matched_official_mte,8163,3132,3132,1,1,0.27,0.09,Not Exposed
8623,matched_official_mte,8163,3132,3132,1,1,0.27,0.09,Not Exposed
8624,matched_official_mte,8163,3132,3132,1,1,0.27,0.09,Not Exposed
8625,matched_official_mte,8163,3132,3132,1,1,0.27,0.09,Not Exposed
9101,matched_official_mte,7242,7421; 7422,7421; 7422,2,2,0.245,0.13518505834595776,Not Exposed
9102,no_score,,,,0,0,,,No score
9109,no_score,,,,0,0,,,No score
9111,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed
9112,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed
9113,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed
9131,matched_official_mte,7233; 7231,7127; 7233; 7231; 7234,7127; 7233; 7231; 7234,4,4,0.17250000000000001,0.06887488656977955,Not Exposed
9141,matched_official_mte,7232; 7233,7232; 7127; 7233,7232; 7127; 7233,3,3,0.19000000000000003,0.0804155872120988,Not Exposed
9142,no_score,,,,0,0,,,No score
9143,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed
9144,matched_official_mte,7231,7231; 7234,7231; 7234,2,2,0.155,0.04031128874149274,Not Exposed
9151,no_score,,,,0,0,,,No score
9152,no_score,,,,0,0,,,No score
9153,no_score,,,,0,0,,,No score
9154,no_score,,,,0,0,,,No score
9191,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed
9192,no_score,,,,0,0,,,No score
9193,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed
9501,no_score,,,,0,0,,,No score
9502,no_score,,,,0,0,,,No score
9503,no_score,,,,0,0,,,No score
9511,matched_official_mte,7241,7412,7412,1,1,0.17,0.05,Not Exposed
9513,no_score,,,,0,0,,,No score
9531,matched_official_mte,7137,7411,7411,1,1,0.19,0.06,Not Exposed
9541,matched_official_mte,7241,7412,7412,1,1,0.17,0.05,Not Exposed
9542,matched_official_mte,7241,7412,7412,1,1,0.17,0.05,Not Exposed
9543,matched_official_mte,7433,7531,7531,1,1,0.15,0.05,Not Exposed
9911,no_score,,,,0,0,,,No score
9912,no_score,,,,0,0,,,No score
9913,no_score,,,,0,0,,,No score
9914,no_score,,,,0,0,,,No score
9921,matched_official_mte,8231,3122; 8141,3122; 8141,2,2,0.26499999999999996,0.13009611831257684,Not Exposed
9922,no_score,,,,0,0,,,No score
9999,no_score,,,,0,0,,,No score
