case_id,variant_id,dimension,group_id,outcome,main_terminal_change_pct,main_support_status,main_baseline_value,main_baseline_support,terminal_months,alternative_normalization_change_pct,alternative_support_status,same_month_change_pct,same_month_support_status,matched_months,raw_wage_mean_change_pct,raw_wage_support_status,cell_mean_winsorized_change_pct,cell_mean_winsorized_support_status,primary_reference_change_pct,composition_delta_pp,normalization_delta_pp,same_month_delta_pp,raw_wage_delta_pp,cell_mean_winsorization_delta_pp
customer_service,customer_extended,sex,women,admissions,-0.7100857086,adequate,20068,20068,6,-2.82566606,adequate,-7.793404608,adequate,6,-0.7100857086,adequate,-0.7100857086,adequate,-2.746993634,2.036907925,-2.115580352,-7.083318899,,
customer_service,customer_extended,sex,women,real_admission_wage,8.986990053,adequate,1386.550058,20042,6,9.419376281,adequate,10.38788313,adequate,6,1.331185194,adequate,1.331185194,adequate,5.732359017,3.254631036,0.4323862275,1.400893079,-7.655804859,-7.655804859
customer_service,primary,age,age_22_25,admissions,-15.04151839,adequate,1405,1405,6,-29.89977292,adequate,-32.35132644,adequate,6,-15.04151839,adequate,-15.04151839,adequate,-15.04151839,0,-14.85825454,-17.30980806,,
customer_service,primary,age,age_22_25,real_admission_wage,7.864218462,adequate,1574.9373,1401,6,11.80544499,adequate,12.81651621,adequate,6,-18.55940378,adequate,-18.55940378,adequate,7.864218462,0,3.941226528,4.952297745,-26.42362225,-26.42362225
customer_service,primary,age,age_26_30,admissions,-9.942244224,adequate,1212,1212,6,-22.92755261,adequate,-24.82421732,adequate,6,-9.942244224,adequate,-9.942244224,adequate,-9.942244224,0,-12.98530838,-14.88197309,,
customer_service,primary,age,age_26_30,real_admission_wage,9.280331723,adequate,1599.487981,1209,6,12.45578614,adequate,13.1353625,adequate,6,12.31384129,adequate,12.31384129,adequate,9.280331723,0,3.175454416,3.855030776,3.033509571,3.033509571
customer_service,primary,age,age_31_34,admissions,-9.693053312,adequate,619,619,6,-18.01114696,adequate,-19.78954336,adequate,6,-9.693053312,adequate,-9.693053312,adequate,-9.693053312,0,-8.318093652,-10.09649005,,
customer_service,primary,age,age_31_34,real_admission_wage,8.034800332,adequate,1605.560645,618,6,10.32455508,adequate,11.25158493,adequate,6,11.00503135,adequate,11.00503135,adequate,8.034800332,0,2.289754752,3.216784594,2.970231021,2.970231021
customer_service,primary,age,age_35_40,admissions,0.1666666667,adequate,600,600,6,-11.37000442,adequate,-12.6355508,adequate,6,0.1666666667,adequate,0.1666666667,adequate,0.1666666667,0,-11.53667109,-12.80221746,,
customer_service,primary,age,age_35_40,real_admission_wage,5.633553167,adequate,1625.533596,599,6,8.197834659,adequate,8.961572319,adequate,6,12.271065,adequate,12.271065,adequate,5.633553167,0,2.564281492,3.328019152,6.637511833,6.637511833
