dimension,group_id,group_label,outcome,coefficient,standard_error,adjusted_ci_low,adjusted_ci_high,nominal_p_value,bh_adjusted_p_value,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_discovery_alpha,adjusted_interval_method,family_id,family_size
age_canaries,age_31_34,Age 31-34,ln_salario_real_adm,-0.0582144436084453,0.0117136154035101,-0.08674337263208033,-0.02968551458481027,1.0656299764821853e-06,4.0126470358115014e-05,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_31_34,Age 31-34,asinh_saldo,-0.3206970014965687,0.3036997465203745,-1.0603575148386817,0.4189635118455443,0.2917328961584298,0.3993343892206753,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_35_40,Age 35-40,admissoes,-0.0530084180624059,0.0331055183740798,-0.13363809143393812,0.02762125530912632,0.1102649665983488,0.2171885705725052,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_35_40,Age 35-40,desligamentos,-0.0475635628696187,0.0265073439505891,-0.11212314657806342,0.016996020838826023,0.0736475493267554,0.162274261228444,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_35_40,Age 35-40,n_movimentacoes,-0.049133084027122,0.0281198574848898,-0.1176200020883687,0.019353834034124696,0.081495403668222,0.1708774593043364,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_35_40,Age 35-40,ln_salario_real_adm,-0.0499673856015511,0.0110313915332633,-0.07683473400280473,-0.02310003720029746,8.19926171535812e-06,0.0001184337803329,True,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_35_40,Age 35-40,asinh_saldo,-0.4531949816293073,0.2859226513398605,-1.1495593924965095,0.2431694292378948,0.113889928127284,0.2209804575604018,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_41_49,Age 41-49,admissoes,-0.0160675010706727,0.0400435712929788,-0.11359359003838,0.0814585878970346,0.6884878003107413,0.7458617836699697,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_41_49,Age 41-49,desligamentos,-0.0144848640146224,0.0295043517042707,-0.08634269128463312,0.05737296325538832,0.6237856624417644,0.6930951804908493,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_41_49,Age 41-49,n_movimentacoes,-0.014085907098148,0.03353600157423,-0.09576281471510166,0.06759100051880566,0.6747336258680479,0.7411102268096736,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
