group,occupations,admissions,top1_share_pct,top3_share_pct,top5_share_pct,top10_share_pct,largest_codes
treated,75,27946025,31.819133490362223,54.10446029444259,66.82572924056284,80.37231055221629,4110;4211;4221
control,266,53230734,14.005099009155126,33.912151201972904,41.513951319927315,53.94068208790809,5143;7842;7170
