side,cbo_families,score_min,score_max,score_mean,pooled_sd_mean,isco_targets_mean
control,266,0.09,0.32,0.20212388113139992,0.08031666639567678,1.650375939849624
excluded_minimal,95,0.22,0.41,0.3291875939849624,0.12279055305891488,2.0842105263157893
no_score,193,,,,,0.0
treated,75,0.28,0.5933333333333334,0.4712438095238095,0.12604909364086622,2.8933333333333335
