outcome,estimator,coefficient,standard_error,p_value,n_obs,n_clusters,dropped_cbos
admissoes,ppml,-0.12318723308770145,0.03954191871517823,0.001994953198513283,21854,338,4110;4211;4221
desligamentos,ppml,-0.08380326126338274,0.04732838633999531,0.07751844774093342,21854,338,4110;4211;4221
n_movimentacoes,ppml,-0.10344445146485287,0.04068257917133144,0.011446077523279863,21854,338,4110;4211;4221
ln_salario_real_adm,ols,-0.05203109608514309,0.010616694399905277,1.4851908733959363e-06,21817,338,4110;4211;4221
asinh_saldo,ols,-0.6272366167739568,0.38873315093615407,0.10756311784380346,21854,338,4110;4211;4221
