major_group,classified,no_score,classified_pct,no_score_pct
1,12,37,2.7522935779816513,19.17098445595855
2,82,39,18.807339449541285,20.207253886010363
3,80,43,18.34862385321101,22.27979274611399
4,16,6,3.669724770642202,3.1088082901554404
5,31,13,7.110091743119266,6.7357512953367875
6,35,12,8.027522935779816,6.217616580310881
7,113,20,25.91743119266055,10.362694300518134
8,51,5,11.697247706422019,2.5906735751295336
9,16,18,3.669724770642202,9.32642487046632
