dimension,groups,min_coefficient,max_coefficient,unweighted_mean,bh_significant
age_canaries,6,-0.0582144436084453,-0.0370457094692212,-0.04712448610488503,6
age_pnad,5,-0.054909790269004,-0.0417124426426873,-0.047721045704880304,5
education,3,-0.0427046387160907,-0.0079895442795224,-0.0286170044905356,2
income,3,-0.0492978122253503,0.0117350148761343,-0.026997293271117065,1
race_aggregate,1,-0.0512943750493145,-0.0512943750493145,-0.0512943750493145,1
race_color,6,-0.0706451573513059,-0.0264279526902771,-0.05097131030445692,5
sex,2,-0.0501069649358208,-0.0490658945333244,-0.0495864297345726,2
