group,occupations,admissions,mean_monthly_admissions,monthly_growth_mean_pct,monthly_growth_sd_pct,seasonal_range_pct,mean_real_admission_wage,share_higher_education_pct,mean_age
treated,75,9443185,410573.26086956525,0.3837760117255042,8.267269785914316,27.32131161255445,2300.5816575250733,19.661417201929222,28.9064278630568
control,265,17351605,754417.6086956522,0.4419992199009363,13.994967307413333,44.68519770937616,1962.510240124806,3.9969040327969663,33.83015536603098
