group_id,coefficient,standard_error,bh_adjusted_p_value,treated_pre,did_pp,weight
fundamental_or_less,-0.0079895442795224,0.0144242778780743,0.6614248426394522,0.03474399792019324,2.759382159237926,0.03474399792019324
high_school,-0.0427046387160907,0.0121831589479073,0.0030570403648211,0.6662515877852653,-0.07397095089206607,0.6662515877852653
higher_education,-0.0351568304759937,0.0093201515837656,0.0013791765877203,0.2990044142945415,-2.6854112083458537,0.2990044142945415
