family,family_label,event_time,periodo,is_reference,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,n_obs,n_clusters,effect_percent,bh_adjusted_p_value
contract_end,Contract termination,-23,2021-01,False,0.16527893408512553,0.12466612228657481,-0.07993764057804822,0.4104955087482993,0.1858076790978478,339,15926,340,17.972213753711102,0.3716153581956956
contract_end,Contract termination,-22,2021-02,False,0.0478622216815838,0.10207640371951188,-0.15292068240598083,0.24864512576914843,0.6394523334982767,339,15926,340,4.902611231352343,0.8018889721878035
contract_end,Contract termination,-21,2021-03,False,-0.1850986514895825,0.08325451649373726,-0.3488591582365824,-0.021338144742582527,0.02685531570959876,339,15926,340,-16.89777017794059,0.08328165321178942
contract_end,Contract termination,-20,2021-04,False,-0.24160621556229997,0.0851824668436977,-0.40915897454484473,-0.07405345657975523,0.004837675173450018,339,15926,340,-21.463461866690732,0.02840847548664266
contract_end,Contract termination,-19,2021-05,False,-0.08560099950795384,0.056671090870700595,-0.19707226797168131,0.025870268955773615,0.1318504874779669,339,15926,340,-8.203957517923826,0.28654121688125095
contract_end,Contract termination,-18,2021-06,False,-0.08259214059459255,0.06451861445969721,-0.20949938170900248,0.04431510051981738,0.20137509180756474,339,15926,340,-7.927340234791372,0.3859689259644991
contract_end,Contract termination,-17,2021-07,False,-0.09892938766435187,0.05932847162241032,-0.2156276880879904,0.01776891275928666,0.09634129519591594,339,15926,340,-9.419333311022582,0.2215849789506067
contract_end,Contract termination,-16,2021-08,False,-0.11446453016147388,0.06894200260885872,-0.2500725158763266,0.021143455553378862,0.09777839279892642,339,15926,340,-10.815642859541828,0.22303170588846027
contract_end,Contract termination,-15,2021-09,False,-0.19624563423307992,0.08857055813896962,-0.37046272292151594,-0.02202854554464387,0.02737607253091645,339,15926,340,-17.818965487015365,0.08395328909481045
contract_end,Contract termination,-14,2021-10,False,-0.17959619598199822,0.09648223241357566,-0.36937544085116414,0.010183048887167673,0.06354694079387979,339,15926,340,-16.439243501346233,0.15800860954153895
contract_end,Contract termination,-13,2021-11,False,-0.22769917758649524,0.08151383363778064,-0.38803578472321143,-0.06736257044977906,0.005512363827958167,339,15926,340,-20.36362121173566,0.02944386068216882
contract_end,Contract termination,-12,2021-12,False,0.01938872583690497,0.11635851513741476,-0.20948689804188958,0.2482643497156995,0.8677611615626593,339,15926,340,1.9577907869839946,0.9541915561406134
contract_end,Contract termination,-11,2022-01,False,0.11956991042273743,0.12029078552541039,-0.11704043606960837,0.35618025691508326,0.3209283142964803,339,15926,340,12.701203120068428,0.5120012413053674
contract_end,Contract termination,-10,2022-02,False,0.05876040383250942,0.06984161306054104,-0.07861710346083306,0.19613791112585188,0.4007516798351334,339,15926,340,6.052111350308051,0.5629030680946936
contract_end,Contract termination,-9,2022-03,False,-0.17578928460046417,0.07687409947581493,-0.32699959745869484,-0.024578971742233502,0.022828401805441878,339,15926,340,-16.120528832047146,0.07875798622877447
contract_end,Contract termination,-8,2022-04,False,-0.20832677355203877,0.07550255655992291,-0.3568392800642482,-0.05981426703982934,0.006108924869731025,339,15926,340,-18.805832770704,0.030108272572245767
contract_end,Contract termination,-7,2022-05,False,-0.08780203541290109,0.06989741209085897,-0.2252892986434069,0.049685227817604746,0.2099244967727103,339,15926,340,-8.405781710732414,0.3942597656018281
contract_end,Contract termination,-6,2022-06,False,-0.11244476671408891,0.06116033972206243,-0.23274632688778868,0.007856793459610864,0.06685984970682157,339,15926,340,-10.63532952106412,0.16046363929637178
contract_end,Contract termination,-5,2022-07,False,-0.0686067476445629,0.054623842306767444,-0.17605110590105877,0.038837610611932985,0.2099861795053215,339,15926,340,-6.630621482872471,0.3942597656018281
contract_end,Contract termination,-4,2022-08,False,-0.11411315712175499,0.05803655140439856,-0.22827026796807834,4.3953724568362995e-05,0.0500877764695733,339,15926,340,-10.784300374748403,0.13041722929813426
contract_end,Contract termination,-3,2022-09,False,-0.1302655356991733,0.06908925323888435,-0.2661631614096367,0.005632090011290114,0.060221680264124444,339,15926,340,-12.213770380946244,0.15197586831556853
contract_end,Contract termination,-2,2022-10,False,-0.05911775713228998,0.040751295035557675,-0.13927500272894697,0.021039488464367012,0.1477890630331391,339,15926,340,-5.740423475274722,0.3137675492088184
contract_end,Contract termination,-1,2022-11,True,0.0,,,,,339,15926,340,0.0,
contract_end,Contract termination,0,2022-12,False,-0.020646719726682587,0.08947403156695453,-0.19664092841569408,0.15534748896232892,0.8176431293813828,339,15926,340,-2.043503557323624,0.9368390195043811
contract_end,Contract termination,1,2023-01,False,0.1508249755828117,0.11216911288859445,-0.06981015079353872,0.3714601019591621,0.1796465444804689,339,15926,340,16.279312308186448,0.36894452001914285
contract_end,Contract termination,2,2023-02,False,0.06607378251927913,0.07656214973652045,-0.08452292942529659,0.21667049446385483,0.3887429485171383,339,15926,340,6.830553653205705,0.5559225585011925
contract_end,Contract termination,3,2023-03,False,-0.2177085189498322,0.06661203221712592,-0.3487334844499874,-0.08668355344967701,0.0011927587677358353,339,15926,340,-19.564013684218523,0.010619400641777115
contract_end,Contract termination,4,2023-04,False,-0.2209892049456285,0.06903229038413805,-0.3567747854920351,-0.08520362439922186,0.0014978367262972192,339,15926,340,-19.827466508793695,0.01257171113331071
contract_end,Contract termination,5,2023-05,False,-0.18788088537506223,0.08276106421355972,-0.3506707781678821,-0.025090992582242344,0.023825127745650043,339,15926,340,-17.128658675870152,0.07970089952614473
contract_end,Contract termination,6,2023-06,False,-0.13823038419633898,0.06741849691765518,-0.270841654843581,-0.005619113549096971,0.041100586888116686,339,15926,340,-12.910197251040719,0.11399509187361336
contract_end,Contract termination,7,2023-07,False,-0.03315946930795017,0.056449321693639955,-0.14419452080296763,0.07787558218706728,0.5573126050860284,339,15926,340,-3.261572081365928,0.7430834734480378
contract_end,Contract termination,8,2023-08,False,-0.1162596839976068,0.06174503872011026,-0.23771133918413365,0.005191971188920036,0.060570092444610646,339,15926,340,-10.975598884593692,0.15197586831556853
contract_end,Contract termination,9,2023-09,False,-0.07233975776577098,0.07390732486136416,-0.2177144651250118,0.07303494959346984,0.3283816780803841,339,15926,340,-6.978520558494313,0.512052786159243
contract_end,Contract termination,10,2023-10,False,-0.07856065879969097,0.07524685479509569,-0.22657020340247225,0.06944888580309029,0.2972112137728615,339,15926,340,-7.555401755290049,0.49491990242434036
contract_end,Contract termination,11,2023-11,False,-0.21540419675987454,0.07444315557591095,-0.3618328758799314,-0.06897551763981771,0.0040557520818309545,339,15926,340,-19.378449538401096,0.02544062669512144
contract_end,Contract termination,12,2023-12,False,-0.11246365265665788,0.08845801246804275,-0.2864593655341546,0.061532060220838805,0.20446548559948563,339,15926,340,-10.637017241161336,0.38918947603764165
contract_end,Contract termination,13,2024-01,False,0.1388546322126916,0.11557641672057266,-0.08848261466912977,0.36619187909451295,0.2304309721398543,339,15926,340,14.895706651678314,0.4211850881496675
contract_end,Contract termination,14,2024-02,False,-0.02325148768477936,0.07758052530610245,-0.17585133058677355,0.12934835521721483,0.7645837352893294,339,15926,340,-2.29832548047806,0.8979791954887444
contract_end,Contract termination,15,2024-03,False,-0.1923480544232752,0.08624870872842104,-0.3619980967570518,-0.02269801208949862,0.026391342736625134,339,15926,340,-17.49803332306413,0.08328165321178942
contract_end,Contract termination,16,2024-04,False,-0.2416126199187161,0.07162128147731055,-0.38249071089262954,-0.10073452894480264,0.0008281610780078719,339,15926,340,-21.463964841062015,0.009480433757308972
contract_end,Contract termination,17,2024-05,False,-0.2079121153602561,0.0900206691188024,-0.3849815527127393,-0.030842678007772906,0.02151053475986453,339,15926,340,-18.772157962852447,0.0757743714615898
contract_end,Contract termination,18,2024-06,False,-0.11748865702449279,0.07970220768007702,-0.2742618204302988,0.03928450638131323,0.1413839058112687,339,15926,340,-11.084940269730472,0.3048590469055481
