model_id,outcome,arm,python_coefficient,python_standard_error,python_n_obs,python_n_clusters,r_coefficient,r_standard_error,r_n_obs,r_n_clusters,coefficient_absolute_difference,standard_error_absolute_difference,coefficient_matches_6_decimals,standard_error_matches_6_decimals,same_n,same_clusters
pnadc_principal_informal,informal,A,0.0085395999062958,0.0113247724598234,10009479,115,0.0085395999062958,0.0113247724597915,10009479,115,0.0,3.1899829999737506e-14,True,True,True,True
pnadc_principal_conta_propria,conta_propria,A,0.021259441234948,0.0209482054668008,10009479,115,0.0212594412349479,0.0209482054667764,10009479,115,1.0061396160665481e-16,2.440062041308977e-14,True,True,True,True
pnadc_principal_ocupados_total,ocupados_total,B,0.0615630962315573,0.0429666641932486,5621,101,0.0615630962315571,0.0429666629283217,5621,101,2.0122792321330962e-16,1.264926899335883e-09,True,True,True,True
pnadc_principal_ocupados_formais,ocupados_formais,B,0.0420097879874134,0.0482480021702387,5621,101,0.0420097879874134,0.0482480022002637,5621,101,0.0,3.0024996378053004e-11,True,True,True,True
pnadc_principal_ocupados_informais,ocupados_informais,B,0.0817233420824088,0.0575995023305363,5621,101,0.0817233420824087,0.0575994898070279,5621,101,1.1102230246251565e-16,1.252350839697769e-08,True,True,True,True
pnadc_principal_ln_renda,ln_renda,A,-0.0092822829986313,0.0217575074015286,9631074,115,-0.0092822829986313,0.0217575074015317,9631074,115,0.0,3.0982161280945775e-15,True,True,True,True
