outcome,target,M,lb,ub,excludes_zero,internal_grid_lower,internal_grid_upper,ci_open_at_internal_grid,method,Delta
asinh_saldo,average_post_event_time_0_to_23,1.9,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,1.95,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
asinh_saldo,average_post_event_time_0_to_23,2,-14.1352277323636,14.1352277323636,FALSE,-14.1352277323636,14.1352277323636,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0,-0.0392581346253284,0.0080466984014648,FALSE,-0.243595506153435,0.243595506153435,FALSE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.05,-0.0831492168151365,0.0524254592822709,FALSE,-0.243595506153435,0.243595506153435,FALSE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.1,-0.14410905318987,0.113385295657004,FALSE,-0.243595506153435,0.243595506153435,FALSE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.15,-0.207019604328595,0.176295846795729,FALSE,-0.243595506153435,0.243595506153435,FALSE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.2,-0.243595506153435,0.239206397934454,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.25,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.3,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.35,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
