outcome,target,target_estimate,target_standard_error,original_ci_low,original_ci_high,largest_evaluated_M_excluding_zero,threshold_status,open_interval_count,first_open_interval_M,robustness_threshold_precedes_open_grid,grid_min,grid_max,grid_step,num_pre_periods,num_post_periods,method,Delta,plot_path
asinh_saldo,average_post_event_time_0_to_23,-3.30789177430868,0.7067613866181798,-4.6931186377439,-1.92266491087346,0.05,finite_within_grid,36.0,0.25,True,0,2,0.05,22,24,C-LF,DeltaRM,honest_did_asinh_saldo.png
ln_salario_real_adm,average_post_event_time_0_to_23,-0.0153632686656125,0.012179775307669997,-0.0392351896084394,0.0085086522772144,,not_robust_at_M_0,37.0,0.2,True,0,2,0.05,22,24,C-LF,DeltaRM,honest_did_ln_salario_real_adm.png
