outcome,target,M,lb,ub,excludes_zero,internal_grid_lower,internal_grid_upper,ci_open_at_internal_grid,method,Delta,grid_stage,grid_points,ci_open_below,ci_open_above,identified_set_empty,observed_pre_period_curvature,interval_uninformative
asinh_saldo,average_post_event_time_0_to_23,1.7,-14.1352277323901,14.1352277323901,FALSE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaRM,,,,,,,
asinh_saldo,average_post_event_time_0_to_23,1.75,-14.1352277323901,14.1352277323901,FALSE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaRM,,,,,,,
asinh_saldo,average_post_event_time_0_to_23,1.8,-14.1352277323901,14.1352277323901,FALSE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaRM,,,,,,,
asinh_saldo,average_post_event_time_0_to_23,1.85,-14.1352277323901,14.1352277323901,FALSE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaRM,,,,,,,
asinh_saldo,average_post_event_time_0_to_23,1.9,-14.1352277323901,14.1352277323901,FALSE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaRM,,,,,,,
asinh_saldo,average_post_event_time_0_to_23,1.95,-14.1352277323901,14.1352277323901,FALSE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaRM,,,,,,,
asinh_saldo,average_post_event_time_0_to_23,2,-14.1352277323901,14.1352277323901,FALSE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaRM,,,,,,,
asinh_saldo,average_post_event_time_0_to_23,0,-14.1352277323901,-8.80506894163469,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,1e-05,-14.1352277323901,-8.80506894163469,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,2e-05,-14.1352277323901,-8.80506894163469,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,5e-05,-14.1352277323901,-8.80506894163469,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,1e-04,-14.1352277323901,-8.80506894163469,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,2e-04,-14.1352277323901,-8.80506894163469,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,5e-04,-14.1352277323901,-8.77562055052555,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,0.001,-14.1352277323901,-8.7461721594164,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,0.002,-14.1352277323901,-8.65782698608896,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,0.005,-14.1352277323901,-8.39279146610665,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,0.01,-14.1352277323901,-7.98640366880043,TRUE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,refined,201,TRUE,FALSE,FALSE,2.92329744481946,FALSE
asinh_saldo,average_post_event_time_0_to_23,2.92329744481946,-14.1352277323901,14.1352277323901,FALSE,-14.1352277323901,14.1352277323901,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,2.92329744481946,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,0,-0.0392581346252297,0.00804669840144459,FALSE,-0.243595506152823,0.243595506152823,FALSE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.05,-0.0831492168149275,0.0524254592821391,FALSE,-0.243595506152823,0.243595506152823,FALSE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.1,-0.144109053189508,0.113385295656719,FALSE,-0.243595506152823,0.243595506152823,FALSE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.15,-0.207019604328075,0.176295846795286,FALSE,-0.243595506152823,0.243595506152823,FALSE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.2,-0.243595506152823,0.239206397933853,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.25,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.3,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.35,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.4,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.45,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.5,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.55,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.6,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.65,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.7,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.75,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.8,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.85,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.9,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0.95,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
