cbo_4d,outcome,trend_scale,pre_observations,pre_slope,slope_status
3517,admissoes,log1p,23,0.005179929161726613,estimated
3532,admissoes,log1p,23,0.007052784448455112,estimated
3541,admissoes,log1p,23,0.008397700246743309,estimated
3543,admissoes,log1p,23,0.0035363155133791633,estimated
3544,admissoes,log1p,23,0.006801845713575894,estimated
3545,admissoes,log1p,23,0.008843446788506088,estimated
3547,admissoes,log1p,23,0.009910141759633484,estimated
3548,admissoes,log1p,23,0.06475529825582156,estimated
3711,admissoes,log1p,23,0.025977108546493162,estimated
3713,admissoes,log1p,23,-0.012507978334383723,estimated
3751,admissoes,log1p,23,-0.023518751127382945,estimated
3762,admissoes,log1p,23,0.02160058725039379,estimated
3764,admissoes,log1p,23,0.016237087062019703,estimated
3911,admissoes,log1p,23,0.001905329241564156,estimated
3912,admissoes,log1p,23,0.004951422228000385,estimated
4102,admissoes,log1p,23,0.010158335641628168,estimated
4110,admissoes,log1p,23,0.004549400975208515,estimated
4121,admissoes,log1p,23,-0.008827172238770902,estimated
4122,admissoes,log1p,23,-0.0009927221545207345,estimated
4131,admissoes,log1p,23,-6.232153501432073e-05,estimated
4132,admissoes,log1p,23,0.001649359172800934,estimated
4142,admissoes,log1p,23,0.0067987515651094215,estimated
4151,admissoes,log1p,23,0.012115429632541941,estimated
4152,admissoes,log1p,23,-0.019168645068692466,estimated
4211,admissoes,log1p,23,0.01721835157754512,estimated
4212,admissoes,log1p,23,-0.003355136523960758,estimated
4221,admissoes,log1p,23,0.010791013082989038,estimated
4222,admissoes,log1p,23,-0.0017947738381924388,estimated
4223,admissoes,log1p,23,-0.006563332623382428,estimated
4241,admissoes,log1p,23,0.023327163741654822,estimated
5111,admissoes,log1p,23,-0.0025542089587183413,estimated
5121,admissoes,log1p,23,0.00033281227395994683,estimated
5131,admissoes,log1p,23,0.0102369605368142,estimated
5132,admissoes,log1p,23,0.013458141852742344,estimated
5142,admissoes,log1p,23,0.0054704249022210095,estimated
5143,admissoes,log1p,23,0.012949999625887155,estimated
5151,admissoes,log1p,23,0.03274423202643467,estimated
5152,admissoes,log1p,23,-0.004726088657471158,estimated
5161,admissoes,log1p,23,0.016800279584432046,estimated
5162,admissoes,log1p,23,0.03268271748330463,estimated
5163,admissoes,log1p,23,0.007219846352238918,estimated
5164,admissoes,log1p,23,0.009404692896134064,estimated
5165,admissoes,log1p,23,-0.01115834275577303,estimated
5166,admissoes,log1p,23,0.0053704135276966,estimated
5171,admissoes,log1p,23,0.016324473800521433,estimated
5172,admissoes,log1p,23,0.042633857346717895,estimated
5173,admissoes,log1p,23,0.003970366543628533,estimated
5199,admissoes,log1p,23,0.011939166451027786,estimated
5231,admissoes,log1p,23,0.00653157314418083,estimated
5241,admissoes,log1p,23,0.0008605655901633007,estimated
5242,admissoes,log1p,23,0.001923618272863406,estimated
5243,admissoes,log1p,23,-0.008821377902933965,estimated
6110,admissoes,log1p,23,-0.012663920232404154,estimated
6120,admissoes,log1p,23,-0.008346742587817332,estimated
6122,admissoes,log1p,7,0.00992165263387878,estimated
6125,admissoes,log1p,23,-0.029742759280611483,estimated
6130,admissoes,log1p,23,0.010497004604087413,estimated
6131,admissoes,log1p,23,-0.002047294577864556,estimated
6133,admissoes,log1p,23,0.014382672918183419,estimated
6201,admissoes,log1p,23,-0.0005267066686528989,estimated
6210,admissoes,log1p,23,-0.001396529579389763,estimated
6220,admissoes,log1p,23,-0.004020726279537241,estimated
6221,admissoes,log1p,23,0.005496190788089206,estimated
6222,admissoes,log1p,23,-0.025250226386305696,estimated
6225,admissoes,log1p,23,-0.0020957629936261797,estimated
6226,admissoes,log1p,23,-0.005221833861661915,estimated
6227,admissoes,log1p,23,-0.010395874409610728,estimated
6228,admissoes,log1p,23,0.022796087768953213,estimated
6230,admissoes,log1p,23,0.0054191203525205305,estimated
6231,admissoes,log1p,23,-0.0009106672434224928,estimated
6232,admissoes,log1p,23,-0.0006896097347768971,estimated
6233,admissoes,log1p,23,0.004768215933198466,estimated
6234,admissoes,log1p,23,0.013040826759718717,estimated
6310,admissoes,log1p,23,0.006667102544767549,estimated
6311,admissoes,log1p,23,-0.0062940472817480855,estimated
6312,admissoes,log1p,23,-0.007440360934703738,estimated
6313,admissoes,log1p,23,-0.0013934579520340354,estimated
6314,admissoes,log1p,23,0.021209479572567615,estimated
6320,admissoes,log1p,23,0.027535783155739547,estimated
6321,admissoes,log1p,23,0.004064778756548146,estimated
6322,admissoes,log1p,23,0.002737642946217859,estimated
6323,admissoes,log1p,23,0.08200305694225153,estimated
6324,admissoes,log1p,23,0.024229130553545523,estimated
6325,admissoes,log1p,23,-0.04676819659528227,estimated
6326,admissoes,log1p,23,-0.0056790883570693685,estimated
6410,admissoes,log1p,23,-0.010525971426353692,estimated
6420,admissoes,log1p,23,0.012268243828507124,estimated
7101,admissoes,log1p,23,-0.010002864825041492,estimated
7102,admissoes,log1p,23,0.006506656924557494,estimated
7111,admissoes,log1p,23,-0.008278853175399377,estimated
7112,admissoes,log1p,23,0.0022287220560152847,estimated
7113,admissoes,log1p,23,0.008220755928285247,estimated
7114,admissoes,log1p,23,0.014272961218949026,estimated
7121,admissoes,log1p,23,-0.0030348079585197163,estimated
7122,admissoes,log1p,23,-0.012588009369499943,estimated
7151,admissoes,log1p,23,0.008522426681164869,estimated
7152,admissoes,log1p,23,0.007951267475805133,estimated
7153,admissoes,log1p,23,0.00863692906992305,estimated
7154,admissoes,log1p,23,0.005059601104798708,estimated
7155,admissoes,log1p,23,0.005460160803393018,estimated
7156,admissoes,log1p,23,0.005834987522953232,estimated
7157,admissoes,log1p,23,-0.0018475872026905101,estimated
7161,admissoes,log1p,23,-0.007959554866670479,estimated
7162,admissoes,log1p,23,0.013435415775636419,estimated
7163,admissoes,log1p,23,-0.0009566189471179484,estimated
7164,admissoes,log1p,23,-0.001884175870654207,estimated
7165,admissoes,log1p,23,-0.0005942771156983612,estimated
7166,admissoes,log1p,23,0.0074544485625472464,estimated
7170,admissoes,log1p,23,0.009589884206550577,estimated
7211,admissoes,log1p,23,-0.02218089137218606,estimated
7212,admissoes,log1p,23,-0.017454020711531494,estimated
7213,admissoes,log1p,23,-0.008710559308116208,estimated
7214,admissoes,log1p,23,-0.013593756744597436,estimated
7221,admissoes,log1p,23,-0.011669714477845712,estimated
7223,admissoes,log1p,23,-0.016134055645917137,estimated
7232,admissoes,log1p,23,-0.006527053524496075,estimated
7233,admissoes,log1p,23,0.00046079129697059167,estimated
7241,admissoes,log1p,23,0.0050159327246075205,estimated
7242,admissoes,log1p,23,0.002666555396347547,estimated
7243,admissoes,log1p,23,-0.0018502994939010129,estimated
7244,admissoes,log1p,23,0.003467508009957198,estimated
7250,admissoes,log1p,23,-0.007980398432702816,estimated
7301,admissoes,log1p,23,0.0013660930648212734,estimated
7313,admissoes,log1p,23,-0.013758706306946106,estimated
7321,admissoes,log1p,23,0.004217145501582944,estimated
7411,admissoes,log1p,23,-0.008059662691052726,estimated
7421,admissoes,log1p,23,0.01132440976560118,estimated
7502,admissoes,log1p,23,-0.0007835514194397634,estimated
7510,admissoes,log1p,23,-0.01210391635622077,estimated
7511,admissoes,log1p,23,-0.005887877212115238,estimated
7521,admissoes,log1p,23,-0.026079836359099506,estimated
7522,admissoes,log1p,23,-0.007033571157110757,estimated
7523,admissoes,log1p,23,-0.026292356353443243,estimated
7524,admissoes,log1p,23,-0.02822212092166325,estimated
7601,admissoes,log1p,23,-0.01276408047810799,estimated
7604,admissoes,log1p,23,-0.00721987493311525,estimated
7606,admissoes,log1p,23,-0.008966466271158368,estimated
7611,admissoes,log1p,23,0.013647545706471146,estimated
7612,admissoes,log1p,23,-0.014097571785547141,estimated
7613,admissoes,log1p,23,-0.014386839254854662,estimated
7614,admissoes,log1p,23,-0.011925561533760775,estimated
7618,admissoes,log1p,23,-0.010683405192674258,estimated
7621,admissoes,log1p,23,-0.013479252215558356,estimated
7622,admissoes,log1p,23,-0.018641955114932655,estimated
7623,admissoes,log1p,23,-0.028309251258247493,estimated
7630,admissoes,log1p,23,-0.008030605897170867,estimated
7631,admissoes,log1p,23,-0.00358420251729324,estimated
7632,admissoes,log1p,23,-0.011892357183105343,estimated
7633,admissoes,log1p,23,-0.0024905430004514336,estimated
7641,admissoes,log1p,23,0.004754684577582508,estimated
7642,admissoes,log1p,23,0.006732099941210449,estimated
7643,admissoes,log1p,23,0.007004520600370111,estimated
7650,admissoes,log1p,23,-0.01961346607992999,estimated
7651,admissoes,log1p,23,-0.009790464615370057,estimated
7652,admissoes,log1p,23,-0.005072796028933121,estimated
7653,admissoes,log1p,23,-0.014360855436203095,estimated
7661,admissoes,log1p,23,-0.003975314191897869,estimated
7663,admissoes,log1p,23,0.004461264600857685,estimated
7664,admissoes,log1p,23,-0.004511969439201415,estimated
7681,admissoes,log1p,23,0.004186686280659852,estimated
7682,admissoes,log1p,23,0.02108770450446382,estimated
7683,admissoes,log1p,23,-0.0005620012355291156,estimated
7686,admissoes,log1p,23,-0.0019259466756556395,estimated
7687,admissoes,log1p,23,0.012270204960597792,estimated
7701,admissoes,log1p,23,-0.0054514024936876656,estimated
7711,admissoes,log1p,23,-0.005661817812926379,estimated
7721,admissoes,log1p,23,-0.01781865446889323,estimated
7731,admissoes,log1p,23,-0.011406536157851628,estimated
7732,admissoes,log1p,23,-0.023067750811140982,estimated
7733,admissoes,log1p,23,-0.016255328515755733,estimated
7751,admissoes,log1p,23,-0.021453555952464773,estimated
7764,admissoes,log1p,23,-0.0077625992497341,estimated
7771,admissoes,log1p,23,-0.0539589532010547,estimated
7772,admissoes,log1p,23,-0.020701301544918456,estimated
7817,admissoes,log1p,23,0.004974223016755848,estimated
7821,admissoes,log1p,23,0.0026636145275699898,estimated
7822,admissoes,log1p,23,0.0038029448671629434,estimated
7823,admissoes,log1p,23,0.003203118234271356,estimated
7826,admissoes,log1p,23,-0.0028311754756283323,estimated
7827,admissoes,log1p,23,0.003739964346410076,estimated
7828,admissoes,log1p,23,-0.010314349742828554,estimated
7832,admissoes,log1p,23,0.008216548983876103,estimated
7842,admissoes,log1p,23,0.0021712802887869954,estimated
8101,admissoes,log1p,23,0.012638564026243205,estimated
8102,admissoes,log1p,23,-0.006711429007937195,estimated
8110,admissoes,log1p,23,-0.032962831082639754,estimated
8111,admissoes,log1p,23,-0.004371182066245824,estimated
8112,admissoes,log1p,23,-0.0038845788636596885,estimated
8113,admissoes,log1p,23,-0.017118819711767642,estimated
8114,admissoes,log1p,23,0.0020044709991370144,estimated
8115,admissoes,log1p,23,0.0034709011478826837,estimated
8116,admissoes,log1p,23,-0.00022211970911352195,estimated
8117,admissoes,log1p,23,-0.007243481548001664,estimated
8181,admissoes,log1p,23,0.0059365334120268015,estimated
8211,admissoes,log1p,23,0.002641390925808899,estimated
8214,admissoes,log1p,23,-0.011442981718346781,estimated
8231,admissoes,log1p,23,0.0016380096624128394,estimated
8232,admissoes,log1p,23,-0.011733755722354303,estimated
8233,admissoes,log1p,23,-0.007328283944242213,estimated
8281,admissoes,log1p,23,-0.02158767111972645,estimated
8301,admissoes,log1p,23,-0.010418012669123294,estimated
8331,admissoes,log1p,23,-0.0012751318430722202,estimated
8401,admissoes,log1p,23,0.005405013216320195,estimated
8411,admissoes,log1p,23,-0.014250604486949524,estimated
8412,admissoes,log1p,23,0.01649091023639329,estimated
8413,admissoes,log1p,23,0.003222995577156666,estimated
8414,admissoes,log1p,23,0.012203783511696636,estimated
8415,admissoes,log1p,23,-0.000717634645555761,estimated
8416,admissoes,log1p,23,-0.02312424587868204,estimated
8417,admissoes,log1p,23,-0.005546523136079198,estimated
8418,admissoes,log1p,23,0.00985389730986809,estimated
8421,admissoes,log1p,23,-0.05284678357664736,estimated
8422,admissoes,log1p,23,-0.018776000546963996,estimated
8481,admissoes,log1p,23,0.0061998352993966836,estimated
8482,admissoes,log1p,23,0.0007532096803630945,estimated
8483,admissoes,log1p,23,0.007826539482899958,estimated
8485,admissoes,log1p,23,0.004715333173469655,estimated
8601,admissoes,log1p,23,-0.00047872687783892347,estimated
8611,admissoes,log1p,23,-0.010604914725707593,estimated
8612,admissoes,log1p,23,0.019506999377382605,estimated
8621,admissoes,log1p,23,-0.006533958899425454,estimated
8622,admissoes,log1p,23,-0.002890901074615973,estimated
8623,admissoes,log1p,23,0.004270994520753953,estimated
8624,admissoes,log1p,23,0.012284636971303822,estimated
8625,admissoes,log1p,23,0.002886090341837858,estimated
9101,admissoes,log1p,23,0.0038100726183239422,estimated
9111,admissoes,log1p,23,-0.0008567395142549854,estimated
9112,admissoes,log1p,23,0.0019621320665039505,estimated
9113,admissoes,log1p,23,-0.0013843860594594855,estimated
9131,admissoes,log1p,23,0.003955350042226002,estimated
9141,admissoes,log1p,23,0.0139993262631359,estimated
9143,admissoes,log1p,23,0.004106424541589172,estimated
9144,admissoes,log1p,23,0.004623864897804404,estimated
9191,admissoes,log1p,23,0.003676839222154958,estimated
9193,admissoes,log1p,23,-0.022589255833540132,estimated
9511,admissoes,log1p,23,-0.0014626326199878685,estimated
9531,admissoes,log1p,23,0.0009136989064275678,estimated
9541,admissoes,log1p,23,-9.416222851072502e-05,estimated
9542,admissoes,log1p,23,-0.02012942806694892,estimated
9543,admissoes,log1p,23,0.01199869359918479,estimated
9921,admissoes,log1p,23,-3.306596641790277e-05,estimated
1111,desligamentos,log1p,23,0.00183064768611264,estimated
1113,desligamentos,log1p,23,-0.025576159594225475,estimated
1414,desligamentos,log1p,23,0.0027080447942595975,estimated
1423,desligamentos,log1p,23,0.011605923787014224,estimated
1424,desligamentos,log1p,23,-0.0027464453209874104,estimated
1426,desligamentos,log1p,23,0.004471988401528981,estimated
2035,desligamentos,log1p,23,0.033432513442296044,estimated
2111,desligamentos,log1p,23,0.00910229931758954,estimated
2112,desligamentos,log1p,23,0.01644191521417951,estimated
2123,desligamentos,log1p,23,0.011225444238137657,estimated
2124,desligamentos,log1p,23,0.0009423758760212796,estimated
2131,desligamentos,log1p,23,0.003374883647069111,estimated
2133,desligamentos,log1p,23,0.013602363518196681,estimated
2142,desligamentos,log1p,23,0.003494916724416434,estimated
2143,desligamentos,log1p,23,0.0042883085146440654,estimated
2144,desligamentos,log1p,23,0.011081832138504378,estimated
2146,desligamentos,log1p,23,0.01137250641668872,estimated
2147,desligamentos,log1p,23,0.017892033953156944,estimated
2148,desligamentos,log1p,23,0.016201962501789072,estimated
2152,desligamentos,log1p,23,-0.003700797055072456,estimated
2153,desligamentos,log1p,23,0.018548126274432582,estimated
2221,desligamentos,log1p,23,0.00028484621972711395,estimated
2232,desligamentos,log1p,23,0.013537157523924804,estimated
2233,desligamentos,log1p,23,0.009896783623043807,estimated
2236,desligamentos,log1p,23,-0.008280940933428267,estimated
2237,desligamentos,log1p,23,0.01086778878648637,estimated
2238,desligamentos,log1p,23,0.016993909976384475,estimated
2239,desligamentos,log1p,23,0.022048355893419778,estimated
2251,desligamentos,log1p,23,-0.002592728550736535,estimated
2252,desligamentos,log1p,23,0.009326479252034559,estimated
2253,desligamentos,log1p,23,0.01994613007186397,estimated
2312,desligamentos,log1p,23,-0.007019219215048854,estimated
2313,desligamentos,log1p,23,-0.0054539412352467296,estimated
2392,desligamentos,log1p,23,0.015928917306246702,estimated
2394,desligamentos,log1p,23,0.008785836181395968,estimated
2511,desligamentos,log1p,23,0.00929193065217215,estimated
2512,desligamentos,log1p,23,0.009113911929892804,estimated
2513,desligamentos,log1p,23,0.0072882952398750315,estimated
2515,desligamentos,log1p,23,0.019571602437474717,estimated
2516,desligamentos,log1p,23,0.009889385475960973,estimated
2521,desligamentos,log1p,23,0.010330204282268307,estimated
2522,desligamentos,log1p,23,0.005804080539643572,estimated
2523,desligamentos,log1p,23,0.015038701360227901,estimated
2531,desligamentos,log1p,23,0.004694586210422063,estimated
2611,desligamentos,log1p,23,-0.0010934842890478514,estimated
2612,desligamentos,log1p,23,0.008577000024624009,estimated
2613,desligamentos,log1p,23,0.02253749707692273,estimated
2614,desligamentos,log1p,23,0.030968428563998958,estimated
2615,desligamentos,log1p,23,0.007274208302277686,estimated
2616,desligamentos,log1p,23,-0.002978623679958271,estimated
2617,desligamentos,log1p,23,0.0006360215516241114,estimated
2624,desligamentos,log1p,23,0.01476583871621035,estimated
2626,desligamentos,log1p,23,-0.0023412590626499257,estimated
2627,desligamentos,log1p,23,0.012938717311412766,estimated
2628,desligamentos,log1p,23,0.009726787910069918,estimated
2631,desligamentos,log1p,23,-0.006154200026160407,estimated
3003,desligamentos,log1p,23,0.012407341795309992,estimated
3011,desligamentos,log1p,23,0.009906933641162427,estimated
3111,desligamentos,log1p,23,0.011052765699921228,estimated
3112,desligamentos,log1p,23,0.0020141052620079695,estimated
3113,desligamentos,log1p,23,-0.006811321366460124,estimated
3115,desligamentos,log1p,23,0.017033995296639157,estimated
3116,desligamentos,log1p,23,-0.010624479619636466,estimated
3117,desligamentos,log1p,23,-3.878581396110066e-05,estimated
3121,desligamentos,log1p,23,0.010045743179422093,estimated
3122,desligamentos,log1p,23,0.004394929282846015,estimated
3131,desligamentos,log1p,23,0.004354221716489197,estimated
3132,desligamentos,log1p,23,0.00866251114048259,estimated
3133,desligamentos,log1p,23,0.010393203941729883,estimated
3134,desligamentos,log1p,23,0.0035600020944684123,estimated
3141,desligamentos,log1p,23,0.007169705987525642,estimated
3143,desligamentos,log1p,23,0.014945083668993017,estimated
3147,desligamentos,log1p,23,-0.008653348351799598,estimated
