outcome,row_position,column_position,row_event_time,column_event_time,covariance
ln_salario_real_adm,1,42,-22,20,0.00010332088575784987
ln_salario_real_adm,1,43,-22,21,8.392070430418553e-05
ln_salario_real_adm,1,44,-22,22,3.317315057136146e-05
ln_salario_real_adm,1,45,-22,23,0.00014252819709339965
ln_salario_real_adm,2,0,-21,-23,0.0001304738864731771
ln_salario_real_adm,2,1,-21,-22,0.0005555189225732828
ln_salario_real_adm,2,2,-21,-21,0.0007654989790480003
ln_salario_real_adm,2,3,-21,-20,0.0005108798457209589
ln_salario_real_adm,2,4,-21,-19,0.0004560345768617962
ln_salario_real_adm,2,5,-21,-18,3.3061233848902056e-05
ln_salario_real_adm,2,6,-21,-17,5.5489459341539086e-05
ln_salario_real_adm,2,7,-21,-16,0.000654838658658664
ln_salario_real_adm,2,8,-21,-15,0.00014986525125772304
ln_salario_real_adm,2,9,-21,-14,6.524938591964956e-05
ln_salario_real_adm,2,10,-21,-13,8.890605979583433e-05
ln_salario_real_adm,2,11,-21,-12,0.0005368164091022527
ln_salario_real_adm,2,12,-21,-11,0.00010144495642070793
ln_salario_real_adm,2,13,-21,-10,3.843503331379467e-05
ln_salario_real_adm,2,14,-21,-9,0.00015061672880176238
ln_salario_real_adm,2,15,-21,-8,3.9783242489326045e-05
ln_salario_real_adm,2,16,-21,-7,0.00010444953101722927
ln_salario_real_adm,2,17,-21,-6,9.331729272563771e-06
ln_salario_real_adm,2,18,-21,-5,0.00016631266138046936
ln_salario_real_adm,2,19,-21,-4,0.00013955781794180972
ln_salario_real_adm,2,20,-21,-3,3.9581473628541523e-05
ln_salario_real_adm,2,21,-21,-2,0.00011871988635036975
ln_salario_real_adm,2,22,-21,0,7.790138445185535e-05
ln_salario_real_adm,2,23,-21,1,5.141855191089166e-05
ln_salario_real_adm,2,24,-21,2,3.1763566975392045e-05
ln_salario_real_adm,2,25,-21,3,0.0001495252336190137
ln_salario_real_adm,2,26,-21,4,0.00010772062419774063
ln_salario_real_adm,2,27,-21,5,5.155663340668284e-05
ln_salario_real_adm,2,28,-21,6,0.00013253028912484712
ln_salario_real_adm,2,29,-21,7,0.00018168920263140245
ln_salario_real_adm,2,30,-21,8,0.0001229805116333887
ln_salario_real_adm,2,31,-21,9,4.58485528930926e-05
ln_salario_real_adm,2,32,-21,10,7.760793770188533e-05
ln_salario_real_adm,2,33,-21,11,-3.8186587460954865e-06
ln_salario_real_adm,2,34,-21,12,9.195411442951508e-05
ln_salario_real_adm,2,35,-21,13,1.3060252505352917e-05
ln_salario_real_adm,2,36,-21,14,7.633440584409426e-05
ln_salario_real_adm,2,37,-21,15,7.346903601859946e-05
ln_salario_real_adm,2,38,-21,16,0.00010260234372636609
ln_salario_real_adm,2,39,-21,17,4.563878129768917e-05
ln_salario_real_adm,2,40,-21,18,0.00011387340136771218
ln_salario_real_adm,2,41,-21,19,9.323591515701343e-05
ln_salario_real_adm,2,42,-21,20,0.00017337614342339416
ln_salario_real_adm,2,43,-21,21,0.00013707170313135696
ln_salario_real_adm,2,44,-21,22,6.214566500290979e-05
ln_salario_real_adm,2,45,-21,23,6.417018220751603e-05
ln_salario_real_adm,3,0,-20,-23,9.889848073067777e-05
ln_salario_real_adm,3,1,-20,-22,0.0004920302490423733
ln_salario_real_adm,3,2,-20,-21,0.0005108798457209585
ln_salario_real_adm,3,3,-20,-20,0.0009099785629878771
ln_salario_real_adm,3,4,-20,-19,0.0007057460828785582
ln_salario_real_adm,3,5,-20,-18,0.00020951896885481092
ln_salario_real_adm,3,6,-20,-17,7.150076359539089e-05
ln_salario_real_adm,3,7,-20,-16,0.0009815339530798576
ln_salario_real_adm,3,8,-20,-15,0.0001380141367455239
ln_salario_real_adm,3,9,-20,-14,0.00017608179220932388
ln_salario_real_adm,3,10,-20,-13,5.657491520003261e-05
ln_salario_real_adm,3,11,-20,-12,0.000674951500224738
ln_salario_real_adm,3,12,-20,-11,8.169067262385302e-05
ln_salario_real_adm,3,13,-20,-10,0.00010920580353253701
ln_salario_real_adm,3,14,-20,-9,0.00011869985507776613
ln_salario_real_adm,3,15,-20,-8,0.00010714504878695606
ln_salario_real_adm,3,16,-20,-7,7.787419417048201e-05
ln_salario_real_adm,3,17,-20,-6,0.00010166495267622824
ln_salario_real_adm,3,18,-20,-5,0.000125303023899371
ln_salario_real_adm,3,19,-20,-4,0.0001627517699057205
ln_salario_real_adm,3,20,-20,-3,-9.550787203259435e-06
ln_salario_real_adm,3,21,-20,-2,6.991732798558615e-05
ln_salario_real_adm,3,22,-20,0,8.794333344442033e-05
ln_salario_real_adm,3,23,-20,1,9.756839446575968e-05
ln_salario_real_adm,3,24,-20,2,0.00021787483778745295
ln_salario_real_adm,3,25,-20,3,4.162974592673221e-05
ln_salario_real_adm,3,26,-20,4,7.485814172543166e-05
ln_salario_real_adm,3,27,-20,5,0.00013258547136100893
ln_salario_real_adm,3,28,-20,6,8.008992205395731e-05
ln_salario_real_adm,3,29,-20,7,7.880377326156898e-05
