outcome,arm,estimator,coefficient,standard_error,ci_low,ci_high,nominal_p_value,bh_adjusted_p_value,n_obs,minimum_clusters,pretrend_status_full,pretrend_status_without_2020,result_status,family_id
informal,A,ols,0.0085395999062958,0.0113247724598234,-0.0138946871129434,0.0309738869255352,0.4523657099318918,0.5428388519182702,10009479,115,fail,fail,estimated,E
conta_propria,A,ols,0.021259441234948,0.0209482054668008,-0.0202387924512,0.062757674921096,0.3123228810040777,0.5428388519182702,10009479,115,fail,fail,estimated,E
ocupados_total,B,ppml,0.0615630962315573,0.0429666641932486,-0.0236815417738132,0.146807734236928,0.1550307887313031,0.4771821264063509,5621,101,fail,fail,estimated,E
ocupados_formais,B,ppml,0.0420097879874134,0.0482480021702387,-0.0537128741440023,0.1377324501188291,0.3860005418417764,0.5428388519182702,5621,101,fail,fail,estimated,E
ocupados_informais,B,ppml,0.0817233420824088,0.0575995023305363,-0.0325524300225056,0.1959991141873234,0.1590607088021169,0.4771821264063509,5621,101,fail,fail,estimated,E
ln_renda,A,ols,-0.0092822829986313,0.0217575074015286,-0.0523837375842122,0.0338191715869494,0.6704575041076377,0.6704575041076377,9631074,115,fail,fail,estimated,E
