path,component,role,source_id,bytes,schema,encoding,sha256
derived/painel_casos_ocupacionais.parquet,caged,analytical_input,novo_caged,100700,"[{""name"":""case_id"",""type"":""string""},{""name"":""age_group"",""type"":""string""},{""name"":""periodo_num"",""type"":""int64""},{""name"":""case_label_pt"",""type"":""string""},{""name"":""admissions"",""type"":""int64""},{""name"":""wage_sum"",""type"":""double""},{""name"":""wage_count"",""type"":""int64""},{""name"":""n_cbo_observed"",""type"":""int64""},{""name"":""indice"",""type"":""double""},{""name"":""nominal_admission_wage"",""type"":""double""},{""name"":""real_admission_wage"",""type"":""double""},{""name"":""period"",""type"":""string""},{""name"":""dictionary_sha256"",""type"":""string""},{""name"":""is_descriptive"",""type"":""bool""},{""name"":""has_counterfactual"",""type"":""bool""}]",binary,8fa583bcf046ed1d37b02631163a0ad41c5037e84863f9ca3141ec54932a3291
derived/painel_cbo_cnae.parquet,caged,analytical_input,novo_caged,292526192,"[{""name"":""cbo_4d"",""type"":""string""},{""name"":""subclasse"",""type"":""string""},{""name"":""secao"",""type"":""string""},{""name"":""divisao"",""type"":""string""},{""name"":""cnae_status"",""type"":""string""},{""name"":""ano"",""type"":""int32""},{""name"":""mes"",""type"":""int32""},{""name"":""periodo_num"",""type"":""int32""},{""name"":""admissoes"",""type"":""int64""},{""name"":""desligamentos"",""type"":""int64""},{""name"":""saldo"",""type"":""int64""},{""name"":""n_movimentacoes"",""type"":""int64""},{""name"":""salario_medio_adm"",""type"":""double""},{""name"":""salario_medio_desl"",""type"":""double""},{""name"":""idade_media_adm"",""type"":""double""},{""name"":""idade_media_desl"",""type"":""double""},{""name"":""pct_mulher_adm"",""type"":""double""},{""name"":""pct_mulher_desl"",""type"":""double""},{""name"":""pct_superior_adm"",""type"":""double""},{""name"":""pct_superior_desl"",""type"":""double""},{""name"":""pct_negra_adm"",""type"":""double""},{""name"":""pct_negra_desl"",""type"":""double""},{""name"":""indice"",""type"":""double""},{""name"":""cbo_ilo_gradient"",""type"":""string""},{""name"":""treated_main"",""type"":""decimal128(2, 1)""},{""name"":""included_main"",""type"":""bool""},{""name"":""periodo"",""type"":""string""},{""name"":""post"",""type"":""int8""},{""name"":""salario_real_adm"",""type"":""double""},{""name"":""salario_real_desl"",""type"":""double""},{""name"":""ln_admissoes"",""type"":""double""},{""name"":""ln_desligamentos"",""type"":""double""},{""name"":""ln_salario_real_adm"",""type"":""double""},{""name"":""ln_salario_real_desl"",""type"":""double""},{""name"":""asinh_saldo"",""type"":""double""}]",binary,0302d24e0b8aca493f0ce2c5ba6f68c05ae3df50c377fdd52ba1c72d808f83bc
derived/painel_cbo_divisao.parquet,caged,analytical_input,novo_caged,59756983,"[{""name"":""cbo_4d"",""type"":""string""},{""name"":""secao"",""type"":""string""},{""name"":""divisao"",""type"":""string""},{""name"":""periodo_num"",""type"":""int32""},{""name"":""ano"",""type"":""int32""},{""name"":""mes"",""type"":""int32""},{""name"":""periodo"",""type"":""string""},{""name"":""post"",""type"":""int8""},{""name"":""cbo_ilo_gradient"",""type"":""string""},{""name"":""treated_main"",""type"":""decimal128(2, 1)""},{""name"":""included_main"",""type"":""bool""},{""name"":""indice"",""type"":""double""},{""name"":""admissoes"",""type"":""double""},{""name"":""desligamentos"",""type"":""double""},{""name"":""saldo"",""type"":""double""},{""name"":""n_movimentacoes"",""type"":""double""},{""name"":""salario_medio_adm"",""type"":""double""},{""name"":""salario_medio_desl"",""type"":""double""},{""name"":""salario_real_adm"",""type"":""double""},{""name"":""salario_real_desl"",""type"":""double""},{""name"":""ln_salario_real_adm"",""type"":""double""},{""name"":""ln_salario_real_desl"",""type"":""double""},{""name"":""asinh_saldo"",""type"":""double""}]",binary,de44a341310a0f6ac3f9b1d88a29a8e95ceef01dd27dc3a714bb9ae1b4e86fbf
derived/painel_desligamentos_tipo.parquet,caged,analytical_input,novo_caged,490624,"[{""name"":""cbo_4d"",""type"":""string""},{""name"":""periodo_num"",""type"":""int32""},{""name"":""periodo"",""type"":""string""},{""name"":""post"",""type"":""int8""},{""name"":""treated_main"",""type"":""double""},{""name"":""desligamentos"",""type"":""int64""},{""name"":""family"",""type"":""string""},{""name"":""family_label"",""type"":""string""},{""name"":""separation_count"",""type"":""int64""},{""name"":""post_treat"",""type"":""int8""}]",binary,9bfb6a7087b1f4fdd0e05032303f5f65d674d077c8000009c55bfe0b5903e1e4
derived/painel_employer_size.parquet,caged,analytical_input,novo_caged,15219641,"[{""name"":""cbo_4d"",""type"":""string""},{""name"":""periodo_num"",""type"":""int32""},{""name"":""periodo"",""type"":""string""},{""name"":""post"",""type"":""int8""},{""name"":""treated_main"",""type"":""double""},{""name"":""indice"",""type"":""double""},{""name"":""subgroup"",""type"":""string""},{""name"":""admissoes"",""type"":""double""},{""name"":""desligamentos"",""type"":""double""},{""name"":""salario_soma_adm"",""type"":""double""},{""name"":""saldo"",""type"":""double""},{""name"":""n_movimentacoes"",""type"":""double""},{""name"":""asinh_saldo"",""type"":""double""},{""name"":""salario_medio_adm"",""type"":""double""},{""name"":""ln_salario_real_adm"",""type"":""double""},{""name"":""size_code"",""type"":""string""},{""name"":""size_label"",""type"":""string""},{""name"":""group_indicator"",""type"":""int8""},{""name"":""treatment"",""type"":""int8""},{""name"":""post_treat"",""type"":""int8""},{""name"":""post_group"",""type"":""int8""},{""name"":""treat_group"",""type"":""int8""},{""name"":""post_treat_group"",""type"":""int8""}]",binary,f4644185a11459c210198195617301af7bf67b71febdc8331e1a918c01a4706d
derived/painel_heterogeneity_ddd.parquet,caged,analytical_input,novo_caged,36666022,"[{""name"":""cbo_4d"",""type"":""string""},{""name"":""periodo_num"",""type"":""int32""},{""name"":""periodo"",""type"":""string""},{""name"":""post"",""type"":""int8""},{""name"":""treated_main"",""type"":""double""},{""name"":""indice"",""type"":""double""},{""name"":""admissoes"",""type"":""int64""},{""name"":""desligamentos"",""type"":""int64""},{""name"":""salario_soma_adm"",""type"":""double""},{""name"":""subgroup"",""type"":""string""},{""name"":""dimension"",""type"":""string""},{""name"":""group_id"",""type"":""string""},{""name"":""group_label"",""type"":""string""},{""name"":""group_indicator"",""type"":""int8""},{""name"":""dimension_kind"",""type"":""string""},{""name"":""saldo"",""type"":""int64""},{""name"":""n_movimentacoes"",""type"":""int64""},{""name"":""asinh_saldo"",""type"":""double""},{""name"":""salario_medio_adm"",""type"":""double""},{""name"":""salario_real_adm"",""type"":""double""},{""name"":""ln_salario_real_adm"",""type"":""double""},{""name"":""ano"",""type"":""double""},{""name"":""mes"",""type"":""double""},{""name"":""salario_medio_desl"",""type"":""double""},{""name"":""idade_media_adm"",""type"":""double""},{""name"":""idade_media_desl"",""type"":""double""},{""name"":""pct_mulher_adm"",""type"":""double""},{""name"":""pct_mulher_desl"",""type"":""double""},{""name"":""pct_superior_adm"",""type"":""double""},{""name"":""pct_superior_desl"",""type"":""double""},{""name"":""pct_negra_adm"",""type"":""double""},{""name"":""pct_negra_desl"",""type"":""double""},{""name"":""cbo_ilo_gradient"",""type"":""string""},{""name"":""included_main"",""type"":""bool""},{""name"":""salario_real_desl"",""type"":""double""},{""name"":""ln_admissoes"",""type"":""double""},{""name"":""ln_desligamentos"",""type"":""double""},{""name"":""ln_salario_real_desl"",""type"":""double""},{""name"":""median_pre_wage_sm"",""type"":""double""},{""name"":""income_group"",""type"":""string""},{""name"":""treatment"",""type"":""int8""},{""name"":""post_treat"",""type"":""int8""},{""name"":""post_group"",""type"":""int8""},{""name"":""treat_group"",""type"":""int8""},{""name"":""post_treat_group"",""type"":""int8""}]",binary,b8bf00bb27dea79403075b8bf567f42b817a923335c1062980076cc341849b6c
derived/painel_heterogeneity_ddd_alternative_partitions.parquet,caged,analytical_input,novo_caged,12104137,"[{""name"":""cbo_4d"",""type"":""string""},{""name"":""periodo_num"",""type"":""int32""},{""name"":""periodo"",""type"":""string""},{""name"":""post"",""type"":""int8""},{""name"":""treated_main"",""type"":""double""},{""name"":""indice"",""type"":""double""},{""name"":""admissoes"",""type"":""int64""},{""name"":""desligamentos"",""type"":""int64""},{""name"":""salario_soma_adm"",""type"":""double""},{""name"":""subgroup"",""type"":""string""},{""name"":""dimension"",""type"":""string""},{""name"":""group_id"",""type"":""string""},{""name"":""group_label"",""type"":""string""},{""name"":""group_indicator"",""type"":""int8""},{""name"":""dimension_kind"",""type"":""string""},{""name"":""saldo"",""type"":""int64""},{""name"":""n_movimentacoes"",""type"":""int64""},{""name"":""asinh_saldo"",""type"":""double""},{""name"":""salario_medio_adm"",""type"":""double""},{""name"":""salario_real_adm"",""type"":""double""},{""name"":""ln_salario_real_adm"",""type"":""double""},{""name"":""treatment"",""type"":""int8""},{""name"":""post_treat"",""type"":""int8""},{""name"":""post_group"",""type"":""int8""},{""name"":""treat_group"",""type"":""int8""},{""name"":""post_treat_group"",""type"":""int8""},{""name"":""family_id"",""type"":""string""}]",binary,d82dbf0b7d2d36a5ee340ccfdcb2e4e69d03654292bec146f676c25a910a5009
derived/painel_hourly_wage.parquet,caged,analytical_input,novo_caged,5109710,"[{""name"":""cbo_4d"",""type"":""string""},{""name"":""ano"",""type"":""int32""},{""name"":""mes"",""type"":""int32""},{""name"":""periodo_num"",""type"":""int32""},{""name"":""admissoes"",""type"":""int64""},{""name"":""desligamentos"",""type"":""int64""},{""name"":""saldo"",""type"":""int64""},{""name"":""n_movimentacoes"",""type"":""int64""},{""name"":""salario_medio_adm"",""type"":""double""},{""name"":""salario_medio_desl"",""type"":""double""},{""name"":""idade_media_adm"",""type"":""double""},{""name"":""idade_media_desl"",""type"":""double""},{""name"":""pct_mulher_adm"",""type"":""double""},{""name"":""pct_mulher_desl"",""type"":""double""},{""name"":""pct_superior_adm"",""type"":""double""},{""name"":""pct_superior_desl"",""type"":""double""},{""name"":""pct_negra_adm"",""type"":""double""},{""name"":""pct_negra_desl"",""type"":""double""},{""name"":""indice"",""type"":""double""},{""name"":""cbo_ilo_gradient"",""type"":""string""},{""name"":""treated_main"",""type"":""double""},{""name"":""included_main"",""type"":""bool""},{""name"":""periodo"",""type"":""string""},{""name"":""post"",""type"":""int8""},{""name"":""salario_real_adm"",""type"":""double""},{""name"":""salario_real_desl"",""type"":""double""},{""name"":""ln_admissoes"",""type"":""double""},{""name"":""ln_desligamentos"",""type"":""double""},{""name"":""ln_salario_real_adm"",""type"":""double""},{""name"":""ln_salario_real_desl"",""type"":""double""},{""name"":""asinh_saldo"",""type"":""double""},{""name"":""valid_hours_admissions"",""type"":""double""},{""name"":""weekly_hours_sum"",""type"":""double""},{""name"":""hourly_wage_sum"",""type"":""double""},{""name"":""partial_known"",""type"":""double""},{""name"":""partial_yes"",""type"":""double""},{""name"":""intermittent_known"",""type"":""double""},{""name"":""intermittent_yes"",""type"":""double""},{""name"":""total_admissions"",""type"":""double""},{""name"":""weekly_hours_adm"",""type"":""double""},{""name"":""salario_hora_adm"",""type"":""double""},{""name"":""salario_hora_real_adm"",""type"":""double""},{""name"":""ln_salario_hora_real_adm"",""type"":""double""},{""name"":""ln_horas_semanais_adm"",""type"":""double""},{""name"":""pct_parcial_adm"",""type"":""double""},{""name"":""pct_intermitente_adm"",""type"":""double""},{""name"":""post_treat"",""type"":""int8""}]",binary,fbf1b9df50f2569d7f59e8033eb1c921ca2cdd0e52b8d5e2704d194d0e5b3479
derived/painel_nacional.parquet,caged,analytical_input,novo_caged,5272216,"[{""name"":""cbo_4d"",""type"":""string""},{""name"":""ano"",""type"":""int32""},{""name"":""mes"",""type"":""int32""},{""name"":""periodo_num"",""type"":""int32""},{""name"":""admissoes"",""type"":""int64""},{""name"":""desligamentos"",""type"":""int64""},{""name"":""saldo"",""type"":""int64""},{""name"":""n_movimentacoes"",""type"":""int64""},{""name"":""salario_medio_adm"",""type"":""double""},{""name"":""salario_medio_desl"",""type"":""double""},{""name"":""idade_media_adm"",""type"":""double""},{""name"":""idade_media_desl"",""type"":""double""},{""name"":""pct_mulher_adm"",""type"":""double""},{""name"":""pct_mulher_desl"",""type"":""double""},{""name"":""pct_superior_adm"",""type"":""double""},{""name"":""pct_superior_desl"",""type"":""double""},{""name"":""pct_negra_adm"",""type"":""double""},{""name"":""pct_negra_desl"",""type"":""double""},{""name"":""indice"",""type"":""double""},{""name"":""cbo_ilo_gradient"",""type"":""string""},{""name"":""treated_main"",""type"":""double""},{""name"":""included_main"",""type"":""bool""},{""name"":""periodo"",""type"":""string""},{""name"":""post"",""type"":""int8""},{""name"":""salario_real_adm"",""type"":""double""},{""name"":""salario_real_desl"",""type"":""double""},{""name"":""ln_admissoes"",""type"":""double""},{""name"":""ln_desligamentos"",""type"":""double""},{""name"":""ln_salario_real_adm"",""type"":""double""},{""name"":""ln_salario_real_desl"",""type"":""double""},{""name"":""asinh_saldo"",""type"":""double""}]",binary,1258d705968f1fa692b76feba8ba796961e2073ae233ee6b61e59aa3747f5cd9
derived/painel_stock_proxy.parquet,caged,analytical_input,novo_caged,638281,"[{""name"":""cbo_4d"",""type"":""string""},{""name"":""periodo_num"",""type"":""int64""},{""name"":""admissoes"",""type"":""int64""},{""name"":""desligamentos"",""type"":""int64""},{""name"":""treated_main"",""type"":""double""},{""name"":""saldo"",""type"":""int64""},{""name"":""gross_flow"",""type"":""int64""},{""name"":""cumulative_net_flow"",""type"":""int64""},{""name"":""base_cumulative_net_flow"",""type"":""int64""},{""name"":""pre_gross_flow"",""type"":""int64""},{""name"":""valid_pre_flow_scale"",""type"":""bool""},{""name"":""cumulative_net_flow_change"",""type"":""int64""},{""name"":""stock_proxy_index"",""type"":""double""},{""name"":""post"",""type"":""int8""},{""name"":""post_treat"",""type"":""int8""},{""name"":""periodo"",""type"":""string""}]",binary,6d842d13e38c7e868e673d9877baa224f59176c62191c2e34b121749407aefac
