outcome,estimator,coefficient,standard_error,ci_low,ci_high,nominal_p_value,bh_adjusted_p_value,n_obs,minimum_clusters,pretrend_status,result_status,family_id
estoque_3112,ppml,-0.0429245820227773,0.0155740676764456,-0.073558562282559,-0.0122906017629957,0.0061647927671468,0.0184943783014406,2040,340,fail,estimated,D
ln_taxa_rotatividade,ols,-0.017838973055256,0.0261963706149642,-0.0693668793780496,0.0336889332675374,0.4963546071027143,0.4963546071027143,1359,340,pass,estimated,D
ln_tempo_emprego_medio,ols,-0.0263555606240621,0.0185331824499114,-0.0628100795793239,0.0100989583311996,0.1559241107970135,0.2338861661955202,2040,340,fail,estimated,D
