dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect
age_canaries,micro,age_22_25,Age 22-25,asinh_saldo,ols,-0.1279724764441231,0.2481535026064243,0.6063999240408351,15935,341,fail,2.4169895540361104e-05,fail,0.6972233531779402,estimated,,A,-0.6160819128651888,0.3601369599769425,340.0,adequate,75,265,0.685495566307031,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,admissoes,ppml,-0.0753225441457009,0.0312277043656172,0.0163925868576113,15935,341,fail,1.0705776856027585e-29,fail,0.0877387766892691,estimated,,A,-0.13674636858713943,-0.013898719704262381,340.0,adequate,75,266,0.051976494914377294,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,desligamentos,ppml,-0.0680411381754881,0.0267158509405139,0.0113103219320549,15935,341,fail,5.207136307889326e-09,fail,0.0750620683573011,estimated,,A,-0.12059030153251518,-0.01549197481846102,340.0,adequate,75,266,0.03770107310684967,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,n_movimentacoes,ppml,-0.0709793881536033,0.0263162270076065,0.0073415488535193,15935,341,fail,1.811920302176745e-16,fail,0.0739392668026774,estimated,,A,-0.12274250492807953,-0.019216271379127063,340.0,adequate,75,266,0.026511148637708582,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,ln_salario_real_adm,ols,-0.040319565533128,0.0105050448828657,0.0001478919526263,15708,340,fail,6.848720646747159e-05,fail,0.0295157018645579,estimated,,A,-0.06098284658824619,-0.019656284478009815,339.0,adequate,75,266,0.0011309384612599412,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_26_30,Age 26-30,asinh_saldo,ols,-0.3820253680105089,0.2915864324574942,0.1910255860623873,15935,341,fail,1.3833301882589132e-05,fail,0.8192544858077048,estimated,,A,-0.9555658891797314,0.1915151531587136,340.0,adequate,75,266,0.28875960683849244,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,admissoes,ppml,-0.0597147336621077,0.0316077873956221,0.0597102368203599,15935,341,fail,4.869828305972391e-26,fail,0.0888066752354621,estimated,,A,-0.12188616839967467,0.0024567010754592764,340.0,adequate,75,266,0.14113328702994157,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,desligamentos,ppml,-0.0525727525308174,0.025119967821157,0.0371018533987428,15935,341,fail,9.320968132652553e-16,fail,0.0705782026529237,estimated,,A,-0.10198286847645799,-0.003162636585176813,340.0,adequate,75,266,0.09481419263732842,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,n_movimentacoes,ppml,-0.0551366511791231,0.0261194380650079,0.0355068326908465,15935,341,fail,3.205118811622413e-29,fail,0.0733863596505081,estimated,,A,-0.10651269084666024,-0.003760611511585965,340.0,adequate,75,266,0.09481419263732842,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,ln_salario_real_adm,ols,-0.0582144436084453,0.0117136154035101,1.0656299764821853e-06,15561,340,fail,0.0053862703010335,fail,0.0329113853259219,estimated,,A,-0.08125496651464192,-0.03517392070224867,339.0,adequate,75,266,4.0126470358115014e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_31_34,Age 31-34,asinh_saldo,ols,-0.3206970014965687,0.3036997465203745,0.2917328961584298,15935,341,fail,2.0680270316362436e-08,fail,0.8532886032403082,estimated,,A,-0.9180639963537383,0.2766699933606009,340.0,adequate,75,266,0.3993343892206753,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,admissoes,ppml,-0.0530084180624059,0.0331055183740798,0.1102649665983488,15926,340,fail,5.20283660625768e-19,fail,0.0930155578863576,estimated,,A,-0.11812652448332595,0.012109688358514142,339.0,adequate,75,265,0.2171885705725052,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,desligamentos,ppml,-0.0475635628696187,0.0265073439505891,0.0736475493267554,15926,340,fail,2.3122840264658335e-20,fail,0.0744768699220872,estimated,,A,-0.09970314953326873,0.004576023794031325,339.0,adequate,75,265,0.16227426122844407,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,n_movimentacoes,ppml,-0.049133084027122,0.0281198574848898,0.081495403668222,15926,340,fail,1.295129519671275e-25,fail,0.0790074996587209,estimated,,A,-0.10444446298066351,0.0061782949264195045,339.0,adequate,75,265,0.17087745930433645,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,ln_salario_real_adm,ols,-0.0499673856015511,0.0110313915332633,8.19926171535812e-06,15663,340,fail,0.0005900275991103,warning,0.0309945618774155,estimated,,A,-0.0716659833917101,-0.028268787811392103,339.0,adequate,75,265,0.00011843378033295061,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_35_40,Age 35-40,asinh_saldo,ols,-0.4531949816293073,0.2859226513398605,0.113889928127284,15935,341,fail,7.133060755304344e-09,fail,0.8033412691050353,estimated,,A,-1.0155950394147626,0.109205076156148,340.0,adequate,75,265,0.2209804575604018,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_41_49,Age 41-49,admissoes,ppml,-0.0160675010706727,0.0400435712929788,0.6884878003107413,15935,341,fail,4.793107875953617e-16,fail,0.11250823686495,estimated,,A,-0.09483183367452223,0.06269683153317683,340.0,adequate,75,266,0.7458617836699697,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_41_49,Age 41-49,desligamentos,ppml,-0.0144848640146224,0.0295043517042707,0.6237856624417644,15935,341,fail,5.840784708124108e-21,fail,0.0828967667694742,estimated,,A,-0.07251891282344083,0.043549184794196026,340.0,adequate,75,266,0.6930951804908493,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_41_49,Age 41-49,n_movimentacoes,ppml,-0.014085907098148,0.03353600157423,0.6747336258680479,15935,341,fail,1.0534114422047564e-27,fail,0.0942242733798915,estimated,,A,-0.08005007305302177,0.05187825885672577,340.0,adequate,75,266,0.7411102268096736,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_41_49,Age 41-49,ln_salario_real_adm,ols,-0.0454624943296302,0.0136207683449489,0.0009384570133919,15646,340,warning,0.1849472538348389,warning,0.0382698543526879,estimated,,A,-0.072254361250389,-0.018670627408871394,339.0,adequate,75,266,0.0046922850669595,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_41_49,Age 41-49,asinh_saldo,ols,-0.4563481394945126,0.2541342687693238,0.0734305347014931,15935,341,fail,1.3104678269570178e-06,fail,0.7140271854626833,estimated,,A,-0.956221538021602,0.04352525903257687,340.0,adequate,75,266,0.16227426122844407,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_50_plus,Age 50+,admissoes,ppml,-0.0296061301892429,0.0592220858126535,0.6174568693955707,15935,341,fail,1.4725145322256524e-18,fail,0.1663930624343364,estimated,,A,-0.14609394368402584,0.08688168330554005,340.0,adequate,75,266,0.6919775260467602,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_50_plus,Age 50+,desligamentos,ppml,-0.0631095965410156,0.0353702441998758,0.0752735915797095,15935,341,fail,1.4415484010031867e-25,fail,0.0993778447805055,estimated,,A,-0.13268165488854056,0.006462461806509376,340.0,adequate,75,266,0.16309278175603728,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_50_plus,Age 50+,n_movimentacoes,ppml,-0.0460708061358524,0.045023109993995,0.3069076133895683,15935,341,fail,1.473775821414788e-16,fail,0.1264989749925043,estimated,,A,-0.13462972073617213,0.04248810846446733,340.0,adequate,75,266,0.4156040597983737,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_50_plus,Age 50+,ln_salario_real_adm,ols,-0.0370457094692212,0.0108699159927596,0.0007331907787671,15318,339,fail,0.2284063130062928,fail,0.0305411298295458,estimated,,A,-0.05842691369331821,-0.015664505245124187,338.0,adequate,75,266,0.003971450051655125,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
age_canaries,micro,age_50_plus,Age 50+,asinh_saldo,ols,0.3816693109790686,0.1724796312628436,0.0275727266622078,15935,341,fail,8.145720904240467e-10,fail,0.4846066068013711,estimated,,A,0.04240778645670512,0.7209308355014321,340.0,adequate,75,266,0.07867804973195304,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_white,White,admissoes,ppml,-0.024075244020011,0.0349550963643234,0.491451720404199,15935,341,fail,1.17375375820803e-29,fail,0.0982114265638445,estimated,,A,-0.0928307208004231,0.04468023276040109,340.0,adequate,75,266,0.5915622560420913,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
