outcome,estimator,event_time,periodo,is_reference,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,n_obs,n_clusters,effect_percent
admissoes,ppml,-23,2021-01,False,-0.0990969222388592,0.09399308532073487,-0.2839781003060726,0.08578425582835421,0.2924941575045712,340,15935,341,-9.434507433344354
admissoes,ppml,-22,2021-02,False,-0.14702630391434046,0.09196151045544979,-0.32791144383530113,0.03385883600662018,0.11079814270399146,340,15935,341,-13.6728730295861
admissoes,ppml,-21,2021-03,False,-0.1355537948462466,0.08757435344103695,-0.3078095472497879,0.03670195755729466,0.12258364663413035,340,15935,341,-12.67678137262586
admissoes,ppml,-20,2021-04,False,-0.09659649524951036,0.09084070717207411,-0.27527705351741627,0.08208406301839558,0.28837276892450125,340,15935,341,-9.207771681462155
admissoes,ppml,-19,2021-05,False,-0.11157967374615983,0.07766730285956966,-0.26434859713006587,0.041189249637746214,0.15174085256069203,340,15935,341,-10.557987323779479
admissoes,ppml,-18,2021-06,False,-0.07194232305433002,0.06892432719486556,-0.20751411289178687,0.06362946678312684,0.2973254633267559,340,15935,341,-6.941543246107654
admissoes,ppml,-17,2021-07,False,-0.07854343371328722,0.0679180314131379,-0.21213587422972718,0.055049006803152764,0.24831129394060758,340,15935,341,-7.553809375383322
admissoes,ppml,-16,2021-08,False,-0.07853020314340298,0.07244860539309934,-0.2210341274341835,0.06397372114737754,0.2791578431857651,340,15935,341,-7.552586251506437
admissoes,ppml,-15,2021-09,False,-0.09503405222771676,0.066056045888816,-0.22496403102044532,0.03489592656501182,0.15115877675941025,340,15935,341,-9.065803117878492
admissoes,ppml,-14,2021-10,False,-0.03675034990869259,0.05582872643701225,-0.14656354178813866,0.0730628419707535,0.5108104222927141,340,15935,341,-3.6083252782628117
admissoes,ppml,-13,2021-11,False,0.05086358302035045,0.028496842672204013,-0.005188730045607368,0.10691589608630826,0.07517142448454361,340,15935,341,5.217934836369094
admissoes,ppml,-12,2021-12,False,0.1105281886339396,0.036822178793701116,0.03810022469222142,0.18295615257565778,0.002883599326193087,340,15935,341,11.686783158685483
admissoes,ppml,-11,2022-01,False,-0.10055184115048488,0.08045553665518013,-0.2588051248689863,0.0577014425680166,0.21223896475147752,340,15935,341,-9.566177073668975
admissoes,ppml,-10,2022-02,False,-0.10082791085205285,0.08462553355673838,-0.26728343558717776,0.06562761388307208,0.23430421162922732,340,15935,341,-9.591139666309605
admissoes,ppml,-9,2022-03,False,-0.09052380342238472,0.07459663214018163,-0.23725282272058332,0.05620521587581387,0.2257769984449438,340,15935,341,-8.654740965566802
admissoes,ppml,-8,2022-04,False,-0.052030467108453174,0.07104490596413578,-0.1917733627215017,0.08771242850459536,0.4644532397578083,340,15935,341,-5.070005602205398
