outcome,static_coefficient,static_standard_error,static_p_value,static_n_obs,cell_weighted_horizon_average,unweighted_horizon_average,complete_horizon_average,first_horizon,last_horizon,static_minus_cell_weighted_average,last_minus_first_horizon,effect_grows_over_horizons
admissoes,-0.0537723981585714,0.0385602106882426,0.1640757055204185,22049,-0.053729970549968004,-0.05451575499747714,-0.05267563978077953,-0.05229624276091285,-0.06003786615680395,-4.2427608603394507e-05,-0.007741623395891094,True
desligamentos,-0.042014072599854,0.0347015248522746,0.2268409951592573,22049,-0.04201120728299222,-0.040553856616566394,-0.04396508714651671,-0.03819536072799156,-0.030321450550484172,-2.8653168617776004e-06,0.007873910177507389,False
n_movimentacoes,-0.0480931611194387,0.0353367232298032,0.1744161382010118,22049,-0.048035033269190376,-0.04769724661888114,-0.04848750038010466,-0.045499886712635856,-0.045327993519823334,-5.812785024832123e-05,0.00017189319281252224,False
ln_salario_real_adm,-0.0507404538197659,0.0103323620988367,1.411223007563578e-06,22012,-0.050740724154596704,-0.05124510680071647,-0.05006469491909207,-0.051434636053839695,-0.054782304235749,2.703348308055742e-07,-0.003347668181909305,True
asinh_saldo,-0.5512668862460224,0.3783166056230572,0.1459958387457991,22049,-0.5512606374292867,-0.6224733977294252,-0.4559487749026143,-0.7439923824831426,-1.1214965600459708,-6.2488167357210855e-06,-0.37750417756282817,True
