cbo_6d,year,positive_wage_records,wage_p01,wage_p99
720105,2024,59,1165.6699999999998,8260.000000000005
720105,2025,105,1616.22,12702.092799999988
720105,2026,47,1919.92,13961.699999999993
720110,2021,1532,434.0700000000005,721048.6800000009
720110,2022,2033,1500.0,11408.000000000038
720110,2023,1983,1590.4301,10000.0
720110,2024,1955,1701.8464,10000.0
720110,2025,2490,2000.0,10000.0
720110,2026,927,2200.0,10687.6
720115,2021,83,1385.2452,12623.465999999975
720115,2022,88,1212.0,15129.999999999996
720115,2023,82,1193.0254,17474.999999999993
720115,2024,105,1754.096,14630.447999999997
720115,2025,100,1715.208,13450.156000000014
720115,2026,44,1863.7300000000002,15769.949999999999
720120,2021,29,1486.2,6657.295999999998
720120,2022,28,1643.2936,7793.6033
720120,2023,25,1568.6164,5928.708
720120,2024,21,1832.2500000000002,11000.0
720120,2025,20,1617.0451,10000.0
720120,2026,20,1639.0,8334.999999999995
720125,2021,277,1130.4,9505.28
720125,2022,310,1224.42,12410.000000000025
720125,2023,275,1471.8,12995.26999999998
720125,2024,227,1568.2318,14139.84460000003
720125,2025,212,1642.7633,11911.53799999999
720125,2026,92,1797.12,11864.780000000022
720130,2021,77,1100.0,5727.759999999995
720130,2022,80,1057.5975,6531.625999999999
720130,2023,101,1320.0,5093.0
720130,2024,85,1380.0,8641.0
720130,2025,109,1518.0,12104.000000000002
720130,2026,43,1561.26,9079.999999999998
720135,2021,1040,1100.0,8609.9999999999
720135,2022,1108,1212.0,9908.650000000083
720135,2023,1138,1389.66,10554.947099999916
720135,2024,1086,1480.0,9593.650500000042
720135,2025,1112,1611.0,11492.347300000007
720135,2026,536,1709.8,13350.0
720140,2021,943,1118.0,10229.671200000026
720140,2022,987,1320.0,11069.999999999993
720140,2023,1177,1350.0,12707.027200000006
720140,2024,1102,1412.0,12007.49
720140,2025,1344,1585.7749999999999,12676.424999999952
720140,2026,463,1924.0,14000.0
720145,2021,505,1509.6184,7194.309999999987
720145,2022,326,1693.37,7954.0575
720145,2023,361,1808.0,7728.27
720145,2024,443,1794.64,8000.0
720145,2025,391,1870.0,8946.80000000001
720145,2026,168,1821.82,8816.800000000012
720150,2021,544,1200.0,8000.0
720150,2022,470,1344.4589,11350.7364
720150,2023,456,1504.5675,11500.72
720150,2024,495,1521.1312,10727.24
720150,2025,539,1604.317,17183.69780000001
720150,2026,221,1621.0,11800.000000000011
720155,2021,340,577.55,5961.000000000002
720155,2022,352,913.0200000000001,5125.5160000000005
720155,2023,415,774.5791999999998,6043.481600000001
720155,2024,325,1412.0,6758.042399999997
720155,2025,330,1518.0,8419.99999999996
720155,2026,123,1033.2154,7000.0
720160,2021,56,1600.0,8725.000000000002
720160,2022,99,1212.0,20069.999999998297
720160,2023,86,1275.7025,11720.000000000027
720160,2024,89,1863.36,94920.00000000047
720160,2025,77,70.364,21793.55999999998
720160,2026,59,1724.8200000000002,22630.000000000004
720205,2021,160,1100.0,13031.537199999999
720205,2022,287,991.8,35788.85559999997
720205,2023,200,623.4369999999999,20390.689799999986
720205,2024,182,1427.3426,33379.99999999999
720205,2025,207,1519.32,32878.26579999997
720205,2026,127,1622.3,14682.409999999994
720210,2021,472,1352.1938,11732.000000000016
720210,2022,400,1599.3635000000002,12509.99999999999
