case_id,case_label_pt,age_group,periodo_num,period,dictionary_sha256,outcome,observed_value,baseline_period,baseline_value,normalized_value,is_descriptive,has_counterfactual,analysis_type
customer_service,Atendimento ao cliente,age_22_25,202212,2022-12,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1315.0,202211,1431.0,0.9189378057302585,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202301,2023-01,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1445.0,202211,1431.0,1.0097833682739343,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202302,2023-02,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1344.0,202211,1431.0,0.939203354297694,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202303,2023-03,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1642.0,202211,1431.0,1.1474493361285814,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202304,2023-04,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1557.0,202211,1431.0,1.0880503144654088,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202305,2023-05,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1460.0,202211,1431.0,1.0202655485674355,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202306,2023-06,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1586.0,202211,1431.0,1.1083158630328442,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202307,2023-07,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1609.0,202211,1431.0,1.1243885394828792,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202308,2023-08,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1603.0,202211,1431.0,1.1201956673654787,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202309,2023-09,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1393.0,202211,1431.0,0.973445143256464,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202310,2023-10,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1630.0,202211,1431.0,1.1390635918937806,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202311,2023-11,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1524.0,202211,1431.0,1.0649895178197064,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202312,2023-12,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1328.0,202211,1431.0,0.9280223619846262,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202401,2024-01,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1482.0,202211,1431.0,1.0356394129979036,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202402,2024-02,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1265.0,202211,1431.0,0.8839972047519218,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202403,2024-03,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1280.0,202211,1431.0,0.8944793850454228,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202404,2024-04,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1272.0,202211,1431.0,0.8888888888888888,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202405,2024-05,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1307.0,202211,1431.0,0.9133473095737247,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202406,2024-06,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1301.0,202211,1431.0,0.9091544374563243,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202407,2024-07,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1314.0,202211,1431.0,0.9182389937106918,True,False,normalized_monthly_trajectory
