case_id,case_label_pt,age_group,outcome,pre_start,pre_end,pre_months_expected,pre_months_observed,pre_admissions,pre_wage_records,wage_record_coverage_pct,pre_mean,pre_standard_deviation,monthly_linear_slope,annualized_log_slope_pct,coefficient_of_variation,diagnostic_type,is_causal_test,has_counterfactual
customer_service,Atendimento ao cliente,age_22_25,admissions,202101,202211,23,23,41130,41039,99.77875030391442,1788.2608695652175,192.06457641191238,-20.452569169960476,-13.01154117830245,0.10740299677787465,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_22_25,real_admission_wage,202101,202211,23,23,41130,41039,99.77875030391442,1517.0614967440663,31.72635276223712,1.0693446307263446,0.8403976934442123,0.020913030111388734,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_26_30,admissions,202101,202211,23,23,33711,33626,99.74785678265255,1465.695652173913,148.66812610720177,-10.68873517786562,-8.452898276707161,0.10143178489115247,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_26_30,real_admission_wage,202101,202211,23,23,33711,33626,99.74785678265255,1556.8824774016905,38.17279204189655,-0.3207875939800826,-0.24492726498136236,0.02451873702477776,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_31_34,admissions,202101,202211,23,23,16943,16907,99.7875228708021,736.6521739130435,76.26248077223146,-8.049407114624508,-12.193273064131423,0.10352576626107085,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_31_34,real_admission_wage,202101,202211,23,23,16943,16907,99.7875228708021,1569.0249193872344,34.37001529086258,-0.2774162879032681,-0.21253692489600368,0.02190533424050742,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_35_40,admissions,202101,202211,23,23,16055,16028,99.8318280909374,698.0434782608696,62.39180427007712,-2.22628458498024,-3.4060027431124045,0.08938097154853775,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_35_40,real_admission_wage,202101,202211,23,23,16055,16028,99.8318280909374,1582.241711929573,42.24575206351805,0.3957531344101489,0.31575736039255464,0.02669993575886618,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_41_49,admissions,202101,202211,23,23,10015,9995,99.80029955067398,435.4347826086956,42.632735010997806,2.9021739130434865,8.893129441866527,0.09790842788346975,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_41_49,real_admission_wage,202101,202211,23,23,10015,9995,99.80029955067398,1579.6297580401288,30.629106705085636,0.7976884006552853,0.6070046967639562,0.01939005425112252,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_50_plus,admissions,202101,202211,23,23,3167,3152,99.5263656457215,137.69565217391303,27.009555125046578,3.3369565217391286,35.46538875900864,0.19615401574868058,descriptive_preperiod,False,False
customer_service,Atendimento ao cliente,age_50_plus,real_admission_wage,202101,202211,23,23,3167,3152,99.5263656457215,1541.6789999563618,42.21982750264582,-0.7989603269322326,-0.5862152121353825,0.02738561497162566,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_22_25,admissions,202101,202211,23,23,25247,25104,99.4335960708203,1097.695652173913,172.3460711532641,9.48814229249012,10.509519328774095,0.15700715477185703,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_22_25,real_admission_wage,202101,202211,23,23,25247,25104,99.4335960708203,2237.795305054093,450.32139628683245,14.652758857770184,7.868926198006757,0.2012344003358015,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_26_30,admissions,202101,202211,23,23,26144,26005,99.46832925336598,1136.695652173913,188.4470712872678,9.149209486166008,10.165130929603427,0.16578498468509636,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_26_30,real_admission_wage,202101,202211,23,23,26144,26005,99.46832925336598,2366.9100173333786,487.10880520395847,11.43560333217576,4.448942997689205,0.20579946074703243,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_31_34,admissions,202101,202211,23,23,19698,19586,99.43141435678749,856.4347826086956,136.24397109500055,5.995059288537561,8.808749466574543,0.15908271576733743,descriptive_preperiod,False,False
