case_id,case_label_pt,age_group,outcome,dictionary_sha256,terminal_mean_index,terminal_observed_months,terminal_change_from_base_pct,terminal_start,terminal_end,baseline_period,is_descriptive,has_counterfactual,analysis_type
health_care_aides,Auxiliares de saúde e cuidado,age_50_plus,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,2.753241491086,12,175.3241491086,202506,202605,202211,True,False,terminal_twelve_month_mean
health_care_aides,Auxiliares de saúde e cuidado,age_50_plus,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.866932488116,12,-13.3067511884,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_22_25,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.983480176211,12,-1.6519823789,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_22_25,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.999922957256,12,-0.0077042744,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_26_30,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.018615170494,12,1.8615170494,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_26_30,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.027572449061,12,2.7572449061,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_31_34,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.033619456366,12,3.3619456366,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_31_34,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.071721906668,12,7.1721906668,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_35_40,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.975675046555,12,-2.4324953445,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_35_40,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.024684448479,12,2.4684448479,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_41_49,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.187203791469,12,18.7203791469,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_41_49,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.074472043215,12,7.4472043215,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_50_plus,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.446056547619,12,44.6056547619,202506,202605,202211,True,False,terminal_twelve_month_mean
marketing_sales_managers,Gerentes de marketing e vendas,age_50_plus,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.165546843139,12,16.5546843139,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_22_25,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.351851851852,12,35.1851851852,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_22_25,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.065663459098,12,6.5663459098,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_26_30,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.235875706215,12,23.5875706215,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_26_30,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.021207096502,12,2.1207096502,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_31_34,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.144584647739,12,14.4584647739,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_31_34,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.033164522125,12,3.3164522125,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_35_40,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.347309573725,12,34.7309573725,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_35_40,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.001119254669,12,0.1119254669,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_41_49,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.410073839662,12,41.0073839662,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_41_49,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.029767499539,12,2.9767499539,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_50_plus,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.429347826087,12,42.9347826087,202506,202605,202211,True,False,terminal_twelve_month_mean
production_supervisors,Supervisores de produção,age_50_plus,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.089912547511,12,8.9912547511,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_22_25,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.026186979931,12,2.6186979931,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_22_25,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.930819069445,12,-6.9180930555,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_26_30,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.019765421373,12,1.9765421373,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_26_30,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.999458677222,12,-0.0541322778,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_31_34,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.033986175115,12,3.3986175115,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_31_34,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.98116497645,12,-1.883502355,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_35_40,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.986693159923,12,-1.3306840077,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_35_40,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.001470116723,12,0.1470116723,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_41_49,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.137693156733,12,13.7693156733,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_41_49,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.01299853277,12,1.299853277,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_50_plus,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.207078313253,12,20.7078313253,202506,202605,202211,True,False,terminal_twelve_month_mean
software_developers,Desenvolvedores de software,age_50_plus,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.94598317688,12,-5.401682312,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_22_25,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,0.982591457608,12,-1.7408542392,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_22_25,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.074697421246,12,7.4697421246,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_26_30,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.087375223957,12,8.7375223957,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_26_30,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.073498186611,12,7.3498186611,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_31_34,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.137135474345,12,13.7135474345,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_31_34,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.073441589598,12,7.3441589598,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_35_40,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.139872480929,12,13.9872480929,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_35_40,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.065492136765,12,6.5492136765,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_41_49,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.321492762071,12,32.1492762071,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_41_49,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.075176434131,12,7.5176434131,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_50_plus,admissions,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.645630505331,12,64.5630505331,202506,202605,202211,True,False,terminal_twelve_month_mean
stock_clerks,Estoquistas e repositores,age_50_plus,real_admission_wage,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,1.057132513385,12,5.7132513385,202506,202605,202211,True,False,terminal_twelve_month_mean
