Resultado,DiD nacional,p DiD,Pretrend,N,CBOs
Saldo líquido / admissões pré,"0,0119<br>(0,0193)","0,537","fail (p=<0,001)",18.299,340
Saldo líquido / fluxo total,"0,0042<br>(0,0088)","0,629",not_available,18.307,341
