### A.5 Idade
**Tabela A.5: Contrastes DDD por idade — duas partições**
**Painel 1 — faixas PNAD/IBGE** · **Família B**, de 30 testes

[TABLE]
Grupo | Resultado | DDD (EP) | p nominal | p BH | Pretrend grupo | Pretrend DDD | MDE 80% | N · CBOs trat./controle · suporte
31–34 | Desligamentos (PPML, nível) | 0,0202 (0,0121) | 0,097 | 0,245 | fail | fail | 0,0706 | 15.935 · 75/266 · adequate
31–34 | Fluxo bruto (PPML, nível) | 0,0231 (0,0115) | 0,046 | 0,139 | fail | fail | 0,0734 | 15.935 · 75/266 · adequate
31–34 | Salário real de admissão (log) | −0,0105 (0,0070) | 0,135 | 0,325 | fail | fail | 0,0329 | 15.561 · 75/266 · adequate
31–34 | Saldo líquido (asinh) | 0,4299 (0,1942) | 0,028 | 0,095 | fail | fail | 0,8533 | 15.935 · 75/266 · adequate
35–40 | Admissões (PPML, nível) | 0,0353 (0,0148) | 0,017 | 0,062 | fail | fail | 0,0930 | 15.926 · 75/265 · adequate
35–40 | Desligamentos (PPML, nível) | 0,0275 (0,0166) | 0,098 | 0,245 | fail | fail | 0,0745 | 15.926 · 75/265 · adequate
35–40 | Fluxo bruto (PPML, nível) | 0,0319 (0,0154) | 0,039 | 0,125 | fail | fail | 0,0790 | 15.926 · 75/265 · adequate
35–40 | Salário real de admissão (log) | 0,0026 (0,0068) | 0,699 | 0,832 | fail | warning | 0,0310 | 15.663 · 75/265 · adequate
35–40 | Saldo líquido (asinh) | 0,2605 (0,2006) | 0,195 | 0,398 | fail | fail | 0,8033 | 15.935 · 75/265 · adequate
41–49 | Admissões (PPML, nível) | **0,0841 (0,0236)** | \< 0,001 | **0,004** | fail | fail | 0,1125 | 15.935 · 75/266 · adequate
41–49 | Desligamentos (PPML, nível) | **0,0699 (0,0245)** | 0,005 | **0,027** | fail | fail | 0,0829 | 15.935 · 75/266 · adequate
41–49 | Fluxo bruto (PPML, nível) | **0,0776 (0,0235)** | 0,001 | **0,009** | fail | fail | 0,0942 | 15.935 · 75/266 · adequate
41–49 | Salário real de admissão (log) | 0,0010 (0,0076) | 0,892 | 0,925 | fail | fail | 0,0383 | 15.646 · 75/266 · adequate
41–49 | Saldo líquido (asinh) | 0,3007 (0,2457) | 0,222 | 0,419 | fail | fail | 0,7140 | 15.935 · 75/266 · adequate
50+ | Admissões (PPML, nível) | 0,0663 (0,0533) | 0,214 | 0,418 | fail | fail | 0,1664 | 15.935 · 75/266 · adequate
50+ | Desligamentos (PPML, nível) | 0,0069 (0,0377) | 0,855 | 0,919 | fail | fail | 0,0994 | 15.935 · 75/266 · adequate
50+ | Fluxo bruto (PPML, nível) | 0,0357 (0,0430) | 0,407 | 0,581 | fail | fail | 0,1265 | 15.935 · 75/266 · adequate
50+ | Salário real de admissão (log) | 0,0136 (0,0103) | 0,189 | 0,394 | fail | fail | 0,0305 | 15.318 · 75/266 · adequate
50+ | Saldo líquido (asinh) | 1,2056 (0,3571) | 0,001 | 0,007 | fail | fail | 0,4846 | 15.935 · 75/266 · adequate
[/TABLE]

> *Notas do Painel 2: contrastes DDD **`pós × exposta × grupo`** sobre as coortes etárias do artigo de referência, com erro-padrão clusterizado por CBO de quatro dígitos. Família A, de 100 testes, com ajuste de Benjamini-Hochberg. Os dois painéis desta tabela pertencem a famílias distintas porque as partições se sobrepõem: testar a faixa de 18 a 24 anos e testar a de 22 a 25 não são hipóteses independentes, e reuni-las num único denominador inflaria a família sem ganho informacional. O contraste que sobrevive ao ajuste é o da faixa de 41 a 49 anos, positivo nos três desfechos de fluxo. Os 30 contrastes têm pretrend **`fail`**. **`MDE 80%`** é o efeito mínimo detectável a 80% de poder. N denota observações CBO-mês, não trabalhadores. Fonte: **`results/diagnostics/ddd_multiplicity_results.csv`**.\\*
