cbo_4d,source_cbo_title,source_cbo_2d_title,source_cbo_3d_title,mte_match_status,target_isco08_codes,target_isco08_titles,target_isco08_2d_codes,target_isco08_2d_titles,candidate_scores_mte_4d,candidate_scores_mte_2d,exposure_score_mte_4d,exposure_score_mte_2d,exposure_score_2d,exposure_score_4d,current_alta_exp,current_alta_exp_4d,stage2_panel_rows,stage2_admissoes,stage3_exposure_score_2d,stage3_exposure_score_4d,stage3_current_alta_exp,stage3_current_alta_exp_4d,stage3_panel_rows,stage3_admissoes,target_isco08_code_list,scored_target_isco08_code_list,missing_score_target_isco08_code_list,target_isco08_2d_code_list,n_target_isco08_4d,n_scored_target_isco08_4d,n_missing_score_target_isco08_4d,n_target_isco08_2d,target_scores_list,target_sds_list,target_score_sd_pairs_list,target_gradient_labels_list,target_gradient_numbers_list,target_isco08_titles_from_ilo,target_scores,target_sds,target_gradients,min_target_score,max_target_score,mean_target_score,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient,cbo_ilo_gradient_number,trat_alta_expo,trat_media_expo,trat_expostos,treatment_rule_source,has_missing_target_score,mte2d_valid,mte2d_top20_treatment,baseline_mte2d_top20_treatment,role__baseline_mte2d_top20_vs_rest,treated__baseline_mte2d_top20_vs_rest,included__baseline_mte2d_top20_vs_rest,role__trat_alta_expo,treated__trat_alta_expo,included__trat_alta_expo,role__trat_media_expo,treated__trat_media_expo,included__trat_media_expo,role__trat_expostos,treated__trat_expostos,included__trat_expostos
6234,Trabalhadores na criação de insetos e animais úteis,TRABALHADORES NA EXPLORAÇÃO AGROPECUÁRIA,TRABALHADORES NA PECUÁRIA,matched_official_mte,6123,Apiarists and Sericulturists,61,Market-oriented Skilled Agricultural Workers,0.220000,0.185556,0.22,0.185556,0.18555555555555556,0.22,0.0,0.0,54,2509,0.18555555555555556,0.22,0.0,0.0,458,1557,6123,6123,,61,1,1,0,1,0.22,[0.11],"[(0.22, 0.11)]",Not Exposed,0,Apiarists and Sericulturists,"0,220000","0,110000",Not Exposed,0.22,0.22,0.22,0.22,0.11,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
6131,Produtores em pecuária de animais de grande porte,PRODUTORES NA EXPLORAÇÃO AGROPECUÁRIA,PRODUTORES EM PECUÁRIA,matched_official_mte,6121,Livestock and Dairy Producers,61,Market-oriented Skilled Agricultural Workers,0.170000,0.185556,0.17,0.185556,0.18555555555555556,0.1699999999999999,0.0,0.0,54,2499,0.18555555555555556,0.1699999999999999,0.0,0.0,374,328,6121,6121,,61,1,1,0,1,0.1699999999999999,[0.1],"[(0.1699999999999999, 0.1)]",Not Exposed,0,Livestock and Dairy Producers,"0,170000","0,100000",Not Exposed,0.1699999999999999,0.1699999999999999,0.1699999999999999,0.1699999999999999,0.1,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
3713,Técnicos em artes gráficas,"TÉCNICOS EM NIVEL MÉDIO DOS SERVIÇOS CULTURAIS, DAS COMUNICAÇÕES E DOS DESPORTOS",TÉCNICOS DE SERVIÇOS CULTURAIS,matched_official_mte,3119,Physical and Engineering Science Technicians Not Elsewhere Classified,31,Science and Engineering Associate Professionals,0.260000,0.292400,0.26,0.2924,0.2924,0.26,0.0,0.0,54,2448,0.2924,0.26,0.0,0.0,1511,1860,3119,3119,,31,1,1,0,1,0.26,[0.05],"[(0.26, 0.05)]",Not Exposed,0,Physical and Engineering Science Technicians Not Elsewhere Classified,"0,260000","0,050000",Not Exposed,0.26,0.26,0.26,0.26,0.05,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
6125,Produtores agrícolas na fruticultura,PRODUTORES NA EXPLORAÇÃO AGROPECUÁRIA,PRODUTORES AGRÍCOLAS,matched_official_mte,6112,Tree and Shrub Crop Growers,61,Market-oriented Skilled Agricultural Workers,0.170000,0.185556,0.17,0.185556,0.18555555555555556,0.17,0.0,0.0,54,2339,0.18555555555555556,0.17,0.0,0.0,205,462,6112,6112,,61,1,1,0,1,0.17,[0.11],"[(0.17, 0.11)]",Not Exposed,0,Tree and Shrub Crop Growers,"0,170000","0,110000",Not Exposed,0.17,0.17,0.17,0.17,0.11,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
3147,Técnicos em siderurgia,"TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS FÍSICAS, QUÍMICAS, ENGENHARIA E AFINS",TÉCNICOS EM METALMECÂNICA,matched_official_mte,3117,Mining and metallurgical technicians,31,Science and Engineering Associate Professionals,0.280000,0.292400,0.28,0.2924,0.2924,0.28,0.0,0.0,54,2308,0.2924,0.28,0.0,0.0,1203,1810,3117,3117,,31,1,1,0,1,0.28,[0.06],"[(0.28, 0.06)]",Not Exposed,0,Mining and metallurgical technicians,"0,280000","0,060000",Not Exposed,0.28,0.28,0.28,0.28,0.06,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
2030,Pesquisadores das ciências biológicas,PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS,PESQUISADORES,matched_official_mte,"2131, 2133","Biologists, Botanists, Zoologists and Related Professionals; Environmental Protection Professionals",21,Science and Engineering Professionals,"0.400000, 0.380000",0.385417,0.39,0.385417,0.3854166666666667,0.39,1.0,1.0,54,2264,0.3854166666666667,0.39,1.0,1.0,1059,1774,2131; 2133,2131; 2133,,21,2,2,0,1,0.4; 0.38,"[0.1, 0.04]","[(0.4, 0.1), (0.38, 0.04)]",Exposed: Gradient 2; Minimal Exposure,2; 0,"Biologists, Botanists, Zoologists and Related Professionals; Environmental Protection Professionals","0,380000; 0,400000","0,040000; 0,100000",Exposed: Gradient 2; Minimal Exposure,0.38,0.4,0.39,0.39,0.07681145747868609,Minimal Exposure,0,False,False,False,ilo_mean_sd_crosswalk,False,True,True,True,treated,1,1,excluded,0,0,excluded,0,0,excluded,0,0
2146,"Engenheiros metalurgistas, de materiais e afins","PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA","ENGENHEIROS, ARQUITETOS E AFINS",matched_official_mte,2146,"Mining Engineers, Metallurgists and Related Professionals",21,Science and Engineering Professionals,0.290000,0.385417,0.29,0.385417,0.3854166666666667,0.29,1.0,0.0,54,2173,0.3854166666666667,0.29,1.0,0.0,1378,1508,2146,2146,,21,1,1,0,1,0.29,[0.05],"[(0.29, 0.05)]",Not Exposed,0,"Mining Engineers, Metallurgists and Related Professionals","0,290000","0,050000",Not Exposed,0.29,0.29,0.29,0.29,0.05,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,True,True,treated,1,1,control,0,1,control,0,1,control,0,1
8115,Operadores de equipamentos de produção e refino de petróleo e gás,TRABALHADORES EM INDÚSTRIAS DE PROCESSOS CONTÍNUOS E OUTRAS INDÚSTRIAS,"OPERADORES DE INSTALAÇÕES EM INDÚSTRIAS QUÍMICAS, PETROQUÍMICAS E AFINS",matched_official_mte,"3134, 8131",Petroleum and Natural Gas Refining Plant Operators; Chemical Products Plant and Machine Operators,"31, 81",Science and Engineering Associate Professionals; Stationary Plant and Machine Operators,"0.290000, 0.240000","0.292400, 0.190400",0.265,0.2414,0.2414,0.265,0.0,0.0,54,2149,0.2414,0.265,0.0,0.0,685,1654,3134; 8131,3134; 8131,,31; 81,2,2,0,2,0.29; 0.24,"[0.11, 0.07]","[(0.29, 0.11), (0.24, 0.07)]",Not Exposed; Not Exposed,0; 0,Chemical Products Plant and Machine Operators; Petroleum and Natural Gas Refining Plant Operators,"0,240000; 0,290000","0,070000; 0,110000",Not Exposed,0.24,0.29,0.265,0.265,0.09552486587271401,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
6228,Trabalhadores agrícolas da cultura de especiarias e de plantas aromáticas e medicinais,TRABALHADORES NA EXPLORAÇÃO AGROPECUÁRIA,TRABALHADORES AGRÍCOLAS,matched_official_mte,6112,Tree and Shrub Crop Growers,61,Market-oriented Skilled Agricultural Workers,0.170000,0.185556,0.17,0.185556,0.18555555555555556,0.17,0.0,0.0,54,2099,0.18555555555555556,0.17,0.0,0.0,222,993,6112,6112,,61,1,1,0,1,0.17,[0.11],"[(0.17, 0.11)]",Not Exposed,0,Tree and Shrub Crop Growers,"0,170000","0,110000",Not Exposed,0.17,0.17,0.17,0.17,0.11,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
3231,Técnicos em pecuária,"TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS BIOLÓGICAS, BIOQUÍMICAS, DA SAÚDE E AFINS",TÉCNICOS DA CIÊNCIA DA SAÚDE ANIMAL,matched_official_mte,"3142, 3143",Agricultural Technicians; Forestry Technicians,31,Science and Engineering Associate Professionals,"0.260000, 0.210000",0.292400,0.235,0.2924,0.2924,0.235,0.0,0.0,54,2083,0.2924,0.235,0.0,0.0,320,628,3142; 3143,3142; 3143,,31,2,2,0,1,0.26; 0.21,"[0.09, 0.07]","[(0.26, 0.09), (0.21, 0.07)]",Not Exposed; Not Exposed,0; 0,Agricultural Technicians; Forestry Technicians,"0,210000; 0,260000","0,070000; 0,090000",Not Exposed,0.21,0.26,0.235,0.235,0.08440971508067066,Not Exposed,0,False,False,False,ilo_mean_sd_crosswalk,False,True,False,False,control,0,1,control,0,1,control,0,1,control,0,1
