subclasse,secao,divisao,periodo_num,treated_cbo_families,control_cbo_families,has_treated_control_coexistence
0113000,A,01,202112,22,73,true
0113000,A,01,202201,22,77,true
0113000,A,01,202202,24,83,true
0113000,A,01,202203,27,86,true
0113000,A,01,202204,26,80,true
0113000,A,01,202205,26,85,true
0113000,A,01,202206,27,84,true
0113000,A,01,202207,19,79,true
0113000,A,01,202208,23,86,true
0113000,A,01,202209,26,87,true
0113000,A,01,202210,26,82,true
0113000,A,01,202211,27,79,true
0113000,A,01,202212,22,70,true
0113000,A,01,202301,20,72,true
0113000,A,01,202302,22,72,true
0113000,A,01,202303,27,80,true
0113000,A,01,202304,26,79,true
0113000,A,01,202305,23,79,true
0113000,A,01,202306,23,70,true
0113000,A,01,202307,25,79,true
0113000,A,01,202308,26,76,true
0113000,A,01,202309,22,74,true
0113000,A,01,202310,20,77,true
0113000,A,01,202311,20,80,true
0113000,A,01,202312,22,73,true
0113000,A,01,202401,21,71,true
0113000,A,01,202402,26,86,true
0113000,A,01,202403,21,75,true
0113000,A,01,202404,23,81,true
0113000,A,01,202405,20,77,true
0113000,A,01,202406,23,75,true
0113000,A,01,202407,31,74,true
0113000,A,01,202408,21,72,true
0113000,A,01,202409,20,68,true
0113000,A,01,202410,26,81,true
0113000,A,01,202411,19,82,true
0113000,A,01,202412,24,70,true
0113000,A,01,202501,23,78,true
0113000,A,01,202502,25,76,true
0113000,A,01,202503,21,73,true
0113000,A,01,202504,28,71,true
0113000,A,01,202505,20,81,true
0113000,A,01,202506,24,70,true
0113000,A,01,202507,21,74,true
0113000,A,01,202508,22,78,true
0113000,A,01,202509,23,86,true
0113000,A,01,202510,20,76,true
0113000,A,01,202511,21,74,true
0113000,A,01,202512,22,67,true
0113000,A,01,202601,22,65,true
0113000,A,01,202602,24,72,true
0113000,A,01,202603,25,82,true
0113000,A,01,202604,27,78,true
0113000,A,01,202605,23,68,true
0114800,A,01,202101,2,9,true
0114800,A,01,202102,3,15,true
0114800,A,01,202103,1,17,true
0114800,A,01,202104,1,11,true
0114800,A,01,202105,3,12,true
0114800,A,01,202106,2,12,true
0114800,A,01,202107,3,9,true
0114800,A,01,202108,3,10,true
0114800,A,01,202109,3,14,true
0114800,A,01,202110,2,18,true
0114800,A,01,202111,2,11,true
0114800,A,01,202112,1,12,true
0114800,A,01,202201,2,17,true
0114800,A,01,202202,4,15,true
0114800,A,01,202203,2,17,true
0114800,A,01,202204,2,11,true
0114800,A,01,202205,2,12,true
0114800,A,01,202206,3,11,true
0114800,A,01,202207,3,16,true
0114800,A,01,202208,6,14,true
0114800,A,01,202209,2,17,true
0114800,A,01,202210,3,15,true
0114800,A,01,202211,3,10,true
0114800,A,01,202212,3,8,true
0114800,A,01,202301,2,9,true
0114800,A,01,202302,3,9,true
0114800,A,01,202303,3,12,true
0114800,A,01,202304,2,11,true
0114800,A,01,202305,3,11,true
0114800,A,01,202306,2,9,true
0114800,A,01,202307,2,10,true
0114800,A,01,202308,2,9,true
0114800,A,01,202309,3,9,true
0114800,A,01,202310,3,13,true
0114800,A,01,202311,2,14,true
0114800,A,01,202312,1,7,true
0114800,A,01,202401,3,10,true
0114800,A,01,202402,2,13,true
0114800,A,01,202403,3,11,true
0114800,A,01,202404,4,9,true
0114800,A,01,202405,2,13,true
0114800,A,01,202406,2,12,true
0114800,A,01,202407,2,13,true
0114800,A,01,202408,3,13,true
0114800,A,01,202409,3,10,true
0114800,A,01,202410,2,15,true
0114800,A,01,202411,2,10,true
0114800,A,01,202412,1,8,true
0114800,A,01,202501,1,10,true
0114800,A,01,202502,1,14,true
0114800,A,01,202503,4,8,true
0114800,A,01,202504,2,12,true
0114800,A,01,202505,2,10,true
0114800,A,01,202506,0,10,false
0114800,A,01,202507,1,7,true
0114800,A,01,202508,4,8,true
0114800,A,01,202509,0,9,false
0114800,A,01,202510,2,10,true
0114800,A,01,202511,2,10,true
