model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,dimension,dimension_kind,group_id,group_label,result_status,error,nominal_p_value,declared_ddd_terms,absorbed_lower_terms,full_formula_contract,bh_adjusted_p_value,family_id,family_size,multiplicity_method,nominal_significant_005,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,ddd_pretrend_status,group_pretrend_pretrend_status,group_mde_80_power,ddd_mde_80_power,group_pretrend_n_obs,ddd_n_obs
race_color__race_pardo__desligamentos,desligamentos,post_treat_group,ppml,-0.0886056999192962,0.029189455101132,-0.1460203578999599,-0.0311910419386325,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-8.479363161601935,race_color,micro,race_pardo,Pardo,estimated,,0.0025863093008602,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0184736378632873,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.1119864397931419,0.0820120189692672,15935,31870
race_color__race_pardo__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.0847809897371441,0.02932626942782,-0.1424647568103354,-0.0270972226639528,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-8.128652995164298,race_color,micro,race_pardo,Pardo,estimated,,0.0040876628883834,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0255478930523966,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.1151056616151027,0.0823964187162556,15935,31870
race_color__race_pardo__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.010153195986511,0.0091815760838681,-0.0282130415284131,0.007906649555391,340,"{""cbo_4d"": 341}",341,43856,44098,43856,242,242,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_pardo,Pardo,estimated,,0.2695850783679598,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.4648018592551032,A,100,Benjamini-Hochberg,False,False,adequate,75,266,pass,fail,0.0275906324775114,0.0257969732339662,15804,31679
race_color__race_pardo__asinh_saldo,asinh_saldo,post_treat_group,ols,0.1655333954946068,0.2834458816828364,-0.39199494124425,0.7230617322334638,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_pardo,Pardo,estimated,,0.5596051855622566,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.7083609943826032,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.7275672175553716,0.7963824245705756,15935,31870
race_color__race_yellow__admissoes,admissoes,post_treat_group,ppml,-0.2769676687354398,0.0576067340997074,-0.3902781407623555,-0.163657196708524,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-24.192099363278903,race_color,micro,race_yellow,Yellow,estimated,,2.294302876792998e-06,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,4.926310348540852e-05,A,100,Benjamini-Hochberg,True,True,adequate,75,264,fail,fail,0.2261643096842041,0.1618544968850589,15832,31767
race_color__race_yellow__desligamentos,desligamentos,post_treat_group,ppml,-0.2179279103257095,0.0364821702760214,-0.2896870891638533,-0.1461687314875657,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-19.581658710272347,race_color,micro,race_yellow,Yellow,estimated,,5.853375562026031e-09,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,5.853375562026031e-07,A,100,Benjamini-Hochberg,True,True,adequate,75,264,fail,fail,0.1563508430211222,0.1025019627927577,15832,31767
race_color__race_yellow__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.2487000253717612,0.0466363769537599,-0.3404321808018769,-0.1569678699416455,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-22.01861373239284,race_color,micro,race_yellow,Yellow,estimated,,1.7680386377172397e-07,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,8.840193188586198e-06,A,100,Benjamini-Hochberg,True,True,adequate,75,264,fail,fail,0.1900664968601642,0.1310316831245447,15879,31814
race_color__race_yellow__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0171031602099995,0.0149717438227558,-0.0465520672889229,0.0123457468689237,340,"{""cbo_4d"": 341}",341,37931,44098,37931,6167,6167,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_yellow,Yellow,estimated,,0.2541071480049233,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.4537627642945058,A,100,Benjamini-Hochberg,False,False,adequate,75,264,warning,fail,0.0485955632975939,0.042065291528763,11300,27207
race_color__race_yellow__asinh_saldo,asinh_saldo,post_treat_group,ols,0.3108358731028275,0.3304999002064608,-0.3392461057231997,0.9609178519288548,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_yellow,Yellow,estimated,,0.3476277429829573,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5517900682269163,A,100,Benjamini-Hochberg,False,False,adequate,75,264,fail,fail,0.2746156923995173,0.9285875324209816,15935,31870
race_color__race_indigenous__admissoes,admissoes,post_treat_group,ppml,-0.1744273367783673,0.1002729392214842,-0.3716607722834415,0.0228060987267069,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-16.006211539548154,race_color,micro,race_indigenous,Indigenous,estimated,,0.0828473351466814,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.2180193030175826,A,100,Benjamini-Hochberg,False,False,adequate,73,259,fail,fail,0.2501541319561643,0.2817314048872952,15040,30975
race_color__race_indigenous__desligamentos,desligamentos,post_treat_group,ppml,-0.1171890440780571,0.1140227851108231,-0.341467955296469,0.1070898671403546,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-11.058296175443704,race_color,micro,race_indigenous,Indigenous,estimated,,0.3047892748653757,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5069783887109974,A,100,Benjamini-Hochberg,False,False,adequate,73,259,fail,fail,0.1925921293299561,0.3203635964781972,15185,31120
race_color__race_indigenous__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,-0.1455153276419042,0.104909667028353,-0.3518690478613882,0.0608383925775795,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-13.54233619487142,race_color,micro,race_indigenous,Indigenous,estimated,,0.1663340309977377,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.3696311799949726,A,100,Benjamini-Hochberg,False,False,adequate,73,259,fail,fail,0.2177822392166092,0.2947589659546309,15420,31355
race_color__race_indigenous__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0036422132882021,0.0177524564216225,-0.0385606867654465,0.0312762601890422,340,"{""cbo_4d"": 341}",341,33908,44098,33908,10190,10190,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_indigenous,Indigenous,estimated,,0.837564643260378,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.910396351369976,A,100,Benjamini-Hochberg,False,False,adequate,73,259,pass,pass,0.0473199617612716,0.0498781079590873,8228,24135
race_color__race_indigenous__asinh_saldo,asinh_saldo,post_treat_group,ols,0.3604553520860053,0.3539756338943944,-0.3358025904867922,1.056713294658803,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_indigenous,Indigenous,estimated,,0.3092568171137084,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.5069783887109974,A,100,Benjamini-Hochberg,False,False,adequate,73,259,fail,fail,0.1848586239726869,0.9945460201646464,15935,31870
race_color__race_unknown__admissoes,admissoes,post_treat_group,ppml,0.0197495829584841,0.0299786210049171,-0.0392173373134362,0.0787165032304045,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,1.9945896210513052,race_color,micro,race_unknown,Unidentified,estimated,,0.510477216690389,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.6806362889205188,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.067523242017848,0.084229295340028,15931,31866
race_color__race_unknown__desligamentos,desligamentos,post_treat_group,ppml,0.0541120191907528,0.0262864689210607,0.002407435552824,0.1058166028286815,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,5.560284330858104,race_color,micro,race_unknown,Unidentified,estimated,,0.0402988814162754,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.1259340044258608,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,0.0789840164231031,0.0738556571309712,15926,31861
race_color__race_unknown__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.0376294141075723,0.0277812696442166,-0.0170153913320959,0.0922742195472405,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,3.834636505526643,race_color,micro,race_unknown,Unidentified,estimated,,0.1764799585479766,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.3754892735063332,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0666267515131672,0.0780555171433625,15935,31870
race_color__race_unknown__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,0.0415139445757328,0.010718243261092,0.0204315273515317,0.0625963617999339,340,"{""cbo_4d"": 341}",341,37155,44098,37155,6943,6943,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_unknown,Unidentified,estimated,,0.0001288398195122,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0018405688501754,A,100,Benjamini-Hochberg,True,True,adequate,75,266,fail,warning,0.0320163350741625,0.0301144631374707,14437,30327
race_color__race_unknown__asinh_saldo,asinh_saldo,post_treat_group,ols,-0.975355851127312,0.4921689087936449,-1.9434352301085125,-0.0072764721461117,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,race_color,micro,race_unknown,Unidentified,estimated,,0.0483122057579472,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.1420947228174919,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,1.099397368624867,1.3828201226854218,15935,31870
race_aggregate__race_negra__admissoes,admissoes,post_treat_group,ppml,-0.1144289450369615,0.0345953313287781,-0.1824767763201327,-0.0463811137537902,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-10.812469166620636,race_aggregate,micro,race_negra,Black or Pardo,estimated,,0.0010414560068947,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0151885921823713,B,30,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.1252538262511952,0.0972006143778204,15935,31870
race_aggregate__race_negra__desligamentos,desligamentos,post_treat_group,ppml,-0.0990087801964513,0.0309690243604905,-0.1599237899317117,-0.0380937704611909,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,-9.426524454044976,race_aggregate,micro,race_negra,Black or Pardo,estimated,,0.0015188592182371,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0151885921823713,B,30,Benjamini-Hochberg,True,True,adequate,75,266,fail,fail,0.1111728005287667,0.0870119775964488,15935,31870
