dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect
race_color,micro,race_yellow,Yellow,desligamentos,ppml,-0.2721935043838631,0.0556464655547244,1.5529454404639154e-06,15832,338,fail,2.5304837823980033e-13,fail,0.1563508430211222,estimated,,A,-0.3816516760718735,-0.1627353326958525,337.0,adequate,75,264,4.03765814520618e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_yellow,Yellow,n_movimentacoes,ppml,-0.3119609243225744,0.067646706766867,5.676043763003236e-06,15879,339,fail,9.216129271956469e-14,fail,0.1900664968601642,estimated,,A,-0.4450224910755657,-0.1788993575695831,338.0,adequate,75,264,9.223571114880258e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_yellow,Yellow,ln_salario_real_adm,ols,-0.0706451573513059,0.0172946237678463,5.5386157252756973e-05,11300,332,fail,0.0300772873741298,warning,0.0485955632975939,estimated,,A,-0.1046663940929365,-0.0366239206096752,331.0,adequate,75,264,0.0004800133628572,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_yellow,Yellow,asinh_saldo,ols,-0.1612228455417618,0.0977403376249744,0.099968448266309,15935,341,fail,1.980914730105203e-06,fail,0.2746156923995173,estimated,,A,-0.3534747404884013,0.0310290494048777,340.0,adequate,75,264,0.199936896532618,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_indigenous,Indigenous,admissoes,ppml,-0.1105076252535524,0.0890171888276151,0.215363069488393,15040,320,fail,3.7257916893353386e-21,fail,0.2501541319561643,estimated,,A,-0.2856425694752518,0.064627318968147,319.0,adequate,73,259,0.3076615278405614,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_indigenous,Indigenous,desligamentos,ppml,-0.0387161417532768,0.0685363907403606,0.572534547840228,15185,324,fail,1.5478884138198283e-09,fail,0.1925921293299561,estimated,,A,-0.1735502236547048,0.0961179401481512,323.0,adequate,73,259,0.6586680638869878,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_indigenous,Indigenous,n_movimentacoes,ppml,-0.0759498581710007,0.0775041955587596,0.3278354423145013,15420,329,fail,6.0414466914602424e-21,fail,0.2177822392166092,estimated,,A,-0.2284178808350573,0.0765181644930559,328.0,adequate,73,259,0.4348837500090323,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_indigenous,Indigenous,ln_salario_real_adm,ols,-0.0549354779320469,0.0168365834252375,0.0012276719080195,8228,307,pass,0.4862450439365383,pass,0.0473199617612716,estimated,,A,-0.0880656100392121,-0.0218053458248816,306.0,adequate,73,259,0.0059110128904642,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_indigenous,Indigenous,asinh_saldo,ols,-0.1829463985480711,0.0657942893288583,0.0057283764405071,15935,341,fail,0.0253513678894736,fail,0.1848586239726869,estimated,,A,-0.3123615111566897,-0.0535312859394524,340.0,adequate,73,259,0.0212768267790263,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_unknown,Unidentified,admissoes,ppml,-0.0505691077198708,0.0240324519907778,0.0360969277801987,15931,340,fail,7.774976035586075e-23,fail,0.067523242017848,estimated,,A,-0.097840615406529,-0.0032976000332125,339.0,adequate,75,266,0.0948141926373284,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_unknown,Unidentified,desligamentos,ppml,-0.0174747586456413,0.0281114994778435,0.534607499493843,15926,340,fail,4.779611233340794e-27,fail,0.0789840164231031,estimated,,A,-0.0727696975124831,0.0378201802212005,339.0,adequate,75,266,0.6318088630381782,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_unknown,Unidentified,n_movimentacoes,ppml,-0.0344115951269286,0.0237135799882778,0.1476643967419777,15935,341,fail,2.0949533573944452e-18,fail,0.0666267515131672,estimated,,A,-0.0810553943964557,0.0122322041425985,340.0,adequate,75,266,0.2461073279032961,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_unknown,Unidentified,ln_salario_real_adm,ols,-0.0264279526902771,0.0113949573769703,0.0209761794059151,14437,339,warning,0.2169228410762686,fail,0.0320163350741625,estimated,,A,-0.0488419171555194,-0.0040139882250347,338.0,adequate,75,266,0.0634163563434642,True,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_unknown,Unidentified,asinh_saldo,ols,-1.1142288881672953,0.3912939899919275,0.0046735894253109,15935,341,fail,4.533701731447122e-05,fail,1.099397368624867,estimated,,A,-1.8838907584364812,-0.3445670178981094,340.0,adequate,75,266,0.0189864570403255,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_aggregate,micro,race_negra,Black or Pardo,admissoes,ppml,-0.0621257172586876,0.0445799406422894,0.1643546974834286,15935,341,fail,8.415571528597894e-49,fail,0.1252538262511952,estimated,,B,-0.1498129329298038,0.0255614984124286,340.0,adequate,75,266,0.2605623252786063,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_aggregate,micro,race_negra,Black or Pardo,desligamentos,ppml,-0.0583683691169408,0.0395682670697033,0.1411027808688132,15935,341,fail,6.467992249070278e-16,fail,0.1111728005287667,estimated,,B,-0.1361977946003395,0.0194610563664579,340.0,adequate,75,266,0.2441470915797153,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_aggregate,micro,race_negra,Black or Pardo,n_movimentacoes,ppml,-0.060387786286088,0.0412149957709337,0.1437932723334656,15935,341,fail,4.901678664183266e-50,fail,0.1157995242896124,estimated,,B,-0.1414562706981482,0.0206806981259722,340.0,adequate,75,266,0.2441470915797153,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_aggregate,micro,race_negra,Black or Pardo,ln_salario_real_adm,ols,-0.0512943750493145,0.0102922444781863,9.963121010425624e-07,15825,340,fail,0.1143094959267645,pass,0.0289178031053229,estimated,,B,-0.0715390805895669,-0.031049669509062,339.0,adequate,75,266,4.0126470358115014e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_aggregate,micro,race_negra,Black or Pardo,asinh_saldo,ols,-0.3264487188039375,0.2625375246664724,0.2145637498547647,15935,341,fail,1.1954132165220192e-13,fail,0.7376373549452179,estimated,,B,-0.8428510337355017,0.1899535961276267,340.0,adequate,75,266,0.3076615278405614,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
