model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,dimension,dimension_kind,group_id,group_label,result_status,error,nominal_p_value,declared_ddd_terms,absorbed_lower_terms,full_formula_contract,bh_adjusted_p_value,family_id,family_size,multiplicity_method,nominal_significant_005,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,ddd_pretrend_status,group_pretrend_pretrend_status,group_mde_80_power,ddd_mde_80_power,group_pretrend_n_obs,ddd_n_obs
age_canaries__age_31_34__admissoes,admissoes,post_treat_group,ppml,0.0252793709525951,0.0121589661549775,0.0013631011638034,0.0491956407413869,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,2.5601603802049784,age_canaries,micro,age_31_34,Age 31-34,estimated,,0.0383599375338521,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.125243261355978,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,0.0888066752354621,0.0341623836242842,15935,31870
age_canaries__age_31_34__desligamentos,desligamentos,post_treat_group,ppml,0.0202077066965514,0.0121406761370398,-0.003672587253681,0.0440880006467839,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,2.0413264685233576,age_canaries,micro,age_31_34,Age 31-34,estimated,,0.096941179774566,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.2453249653619083,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0705782026529237,0.0341109951590711,15935,31870
age_canaries__age_31_34__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.0231427801753398,0.0115428636343556,0.0004383629332972,0.0458471974173824,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,2.3412652153897007,age_canaries,micro,age_31_34,Age 31-34,estimated,,0.0457615222939451,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.1386712796786216,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,0.0733863596505081,0.0324313539961807,15935,31870
age_canaries__age_31_34__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,-0.0104507533275751,0.0069831494865167,-0.0241863690835765,0.0032848624284262,340,"{""cbo_4d"": 341}",341,43505,44098,43505,593,593,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_canaries,micro,age_31_34,Age 31-34,estimated,,0.1354335605453265,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.3246637965807058,A,100,Benjamini-Hochberg,False,False,adequate,75,266,fail,fail,0.0329113853259219,0.0196201740035642,15561,31460
age_canaries__age_31_34__asinh_saldo,asinh_saldo,post_treat_group,ols,0.4299023294744971,0.1942404541491497,0.0478380119891843,0.8119666469598099,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_canaries,micro,age_31_34,Age 31-34,estimated,,0.0275441096740391,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0949796885311696,A,100,Benjamini-Hochberg,True,False,adequate,75,266,fail,fail,0.8532886032403082,0.5457468032577752,15935,31870
age_canaries__age_35_40__admissoes,admissoes,post_treat_group,ppml,0.0352764757125302,0.0147591558230066,0.0062457219445922,0.0643072294804682,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,3.590607208094604,age_canaries,micro,age_35_40,Age 35-40,estimated,,0.0173858228307095,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,admissoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.0620922243953912,A,100,Benjamini-Hochberg,True,False,adequate,75,265,fail,fail,0.0930155578863576,0.0414679946279588,15926,31861
age_canaries__age_35_40__desligamentos,desligamentos,post_treat_group,ppml,0.0274994109532496,0.0165804569898922,-0.0051137798014091,0.0601126017079084,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,2.7881009637105807,age_canaries,micro,age_35_40,Age 35-40,estimated,,0.0981299861447633,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,desligamentos ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.2453249653619083,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.0744768699220872,0.0465852051181806,15926,31861
age_canaries__age_35_40__n_movimentacoes,n_movimentacoes,post_treat_group,ppml,0.0319385214713028,0.0153989869556544,0.001649241789843,0.0622278011527625,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,3.245402959925467,age_canaries,micro,age_35_40,Age 35-40,estimated,,0.0388254110203531,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,n_movimentacoes ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.125243261355978,A,100,Benjamini-Hochberg,True,False,adequate,75,265,fail,fail,0.0790074996587209,0.0432656932422712,15926,31861
age_canaries__age_35_40__ln_salario_real_adm,ln_salario_real_adm,post_treat_group,ols,0.0026466778578738,0.0068460373596417,-0.0108192430428363,0.0161125987585839,340,"{""cbo_4d"": 341}",341,43655,44098,43655,443,443,0,0,True,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_canaries,micro,age_35_40,Age 35-40,estimated,,0.6992942140758296,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,ln_salario_real_adm ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.8324931119950353,A,100,Benjamini-Hochberg,False,False,adequate,75,265,warning,fail,0.0309945618774155,0.019234937543643,15663,31561
age_canaries__age_35_40__asinh_saldo,asinh_saldo,post_treat_group,ols,0.2605167255716356,0.2005963930078457,-0.1340495058566986,0.6550829569999699,340,"{""cbo_4d"": 341}",341,44098,44098,44098,0,0,0,0,True,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,cbo_4d + periodo + subgroup,cbo_4d,post_treat + post_group + treat_group,,age_canaries,micro,age_35_40,Age 35-40,estimated,,0.1949232665731264,"[""post_treat_group"", ""post_treat"", ""post_group"", ""treat_group""]",,asinh_saldo ~ post_treat_group + post_treat + post_group + treat_group | cbo_4d + periodo + subgroup,0.3978025848431151,A,100,Benjamini-Hochberg,False,False,adequate,75,265,fail,fail,0.8033412691050353,0.5636047377906698,15935,31870
