outcome,outcome_label,n_obs,n_cbo,n_pre_coefficients,n_pre_p_lt_005,joint_statistic,joint_p_value,joint_test_method,pretrend_status
asinh_saldo,Saldo líquido (asinh),18307,341,11,11,44.59992716282226,5.7045574566661756e-06,wald_chi2,fail
saldo_per_pre_adm,Saldo líquido / admissões pré,18299,340,11,9,32.46031840025781,0.000643190422487062,wald_chi2,fail
