outcome,outcome_label,t,is_reference,is_pre,n_obs,n_cbo,coef,se,p_value,ci_low,ci_high,coefficient_status
asinh_saldo,Saldo líquido (asinh),-12,False,True,18307,341,-2.563885599345692,0.6329518033418396,6.331118373137379e-05,-3.8044711338956976,-1.3233000647956865,estimated
asinh_saldo,Saldo líquido (asinh),-11,False,True,18307,341,-4.015144042326024,0.8541842275799517,3.7752770638554978e-06,-5.68934512838273,-2.3409429562693185,estimated
asinh_saldo,Saldo líquido (asinh),-10,False,True,18307,341,-3.2582032209959704,0.8242271503952631,9.389307531426638e-05,-4.873688435770686,-1.6427180062212547,estimated
asinh_saldo,Saldo líquido (asinh),-9,False,True,18307,341,-2.7748914956831725,0.8293158119899299,0.0009115130147343553,-4.400350487183435,-1.1494325041829099,estimated
asinh_saldo,Saldo líquido (asinh),-8,False,True,18307,341,-2.615446810371194,0.7320730341023197,0.00040439424088156706,-4.0503099572117405,-1.1805836635306475,estimated
asinh_saldo,Saldo líquido (asinh),-7,False,True,18307,341,-3.586278784936426,0.7073660513515582,6.552358149392035e-07,-4.97271624558548,-2.1998413242873722,estimated
asinh_saldo,Saldo líquido (asinh),-6,False,True,18307,341,-3.3942157347560253,0.7196466482258423,3.5080917761831643e-06,-4.804723165278676,-1.9837083042333743,estimated
asinh_saldo,Saldo líquido (asinh),-5,False,True,18307,341,-3.689226369904904,0.7649935276458945,2.1419955542612e-06,-5.188613684090857,-2.1898390557189513,estimated
asinh_saldo,Saldo líquido (asinh),-4,False,True,18307,341,-3.3324509821002817,0.7919299986570304,3.3004958933657846e-05,-4.884633779468061,-1.7802681847325021,estimated
asinh_saldo,Saldo líquido (asinh),-3,False,True,18307,341,-3.3974517135131967,0.7780245142397634,1.6760443565022598e-05,-4.922379761423133,-1.8725236656032607,estimated
asinh_saldo,Saldo líquido (asinh),-2,False,True,18307,341,-1.9628043476040884,0.6459680721559551,0.0025613039056817666,-3.2289017690297603,-0.6967069261784165,estimated
asinh_saldo,Saldo líquido (asinh),-1,True,False,18307,341,0.0,0.0,,0.0,0.0,reference
asinh_saldo,Saldo líquido (asinh),0,False,False,18307,341,-3.4340311589771493,0.7479719518560387,6.214625120071204e-06,-4.900056184614985,-1.9680061333393135,estimated
asinh_saldo,Saldo líquido (asinh),1,False,False,18307,341,-3.860940777201742,0.7973462859847256,1.952733601040535e-06,-5.423739497731804,-2.2981420566716797,estimated
asinh_saldo,Saldo líquido (asinh),2,False,False,18307,341,-5.8375177807562375,0.8552312962152638,4.0310865756509884e-11,-7.513771121338155,-4.16126444017432,estimated
