dimension,group_id,group_label,outcome,outcome_label,window_rule,scenario_role,role_label,t,path_status,mean_log_change,sd_log_change,se_log_change,n_cbo,path_index,ci_low,ci_high,power_status,treated_cbo,control_cbo
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-12,estimated,-0.22481154213409227,0.25800602926321725,0.029791970089532986,75,79.86667196029457,75.3366233530403,84.66911584451684,adequate,75,266
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-11,estimated,0.04157534592267338,0.2689551038916976,0.03105626032635907,75,104.24517033779779,98.08900312570204,110.7877049665826,adequate,75,266
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-10,estimated,0.08969069788665238,0.23243986986042772,0.026839844286863902,75,109.38359056201156,103.77808165822225,115.29187756275923,adequate,75,266
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-9,estimated,0.11254277467827829,0.1766631811158577,0.020399307034627206,75,111.91201258923229,107.52574624853007,116.4772066108186,adequate,75,266
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-8,estimated,0.058893189125122425,0.2633335863852272,0.030407143397236096,75,106.06619444593923,99.9295436388127,112.57969559939296,adequate,75,266
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-7,estimated,0.04933742470028602,0.16852283563078568,0.019459340903206633,75,105.057478082048,101.12600388695839,109.14179614273654,adequate,75,266
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-6,estimated,0.02206795333698715,0.19138126934665553,0.022098805475028765,75,102.2313251707046,97.89783947437522,106.75663428602991,adequate,75,266
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-5,estimated,-0.02051092871144183,0.2035806873054011,0.02350747292351647,75,97.96979895793834,93.55828493279678,102.58932722797547,adequate,75,266
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-4,estimated,0.11547752714424397,0.2845417126512567,0.03285604687897604,75,112.24092905227674,105.2406740725096,119.7068174025408,adequate,75,266
race_color_b,race_white,Branca,ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-3,estimated,-0.017591179850221406,0.23487671898348553,0.02712122738629829,75,98.25626416660512,93.16959182297427,103.62064767141206,adequate,75,266
