model_id,outcome,term,estimator,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,cluster_counts,minimum_clusters,n_obs,input_cells,complete_case_cells,cells_dropped,cells_dropped_missing,cells_dropped_estimator,separation_dropped,converged,formula,fixed_effects,cluster_variables,controls,effect_percent,cut,falsification,false_event_period,sample_start,sample_end,true_post_rows,lower_order_included,lower_order_absorbed,real_treatment_coefficient_estimated
anatel_stage0_placebo__within_sample__ln_admissoes,ln_admissoes,placebo_triple,ols,0.009607285091005613,0.005574492244444424,-0.0013387144058523218,0.020553284587863548,0.08528076084564429,656,"{""id_municipio"": 657}",657,1533998,1534113,1534113,115,0,115,0,True,ln_admissoes ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,within_sample,december_2021_temporal_placebo,202112,202101,202211,0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False
anatel_stage0_placebo__within_sample__ln_desligamentos,ln_desligamentos,placebo_triple,ols,0.0076691708642856425,0.005011092246668827,-0.0021705438228073314,0.017508885551378618,0.12639016549271975,656,"{""id_municipio"": 657}",657,1533998,1534113,1534113,115,0,115,0,True,ln_desligamentos ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,within_sample,december_2021_temporal_placebo,202112,202101,202211,0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False
anatel_stage0_placebo__within_sample__ln_salario_real_adm,ln_salario_real_adm,placebo_triple,ols,0.001169311733614736,0.0025091078126839423,-0.003757539296193807,0.006096162763423279,0.641350943794073,656,"{""id_municipio"": 657}",657,1231420,1534113,1233285,302693,300828,1865,0,True,ln_salario_real_adm ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,within_sample,december_2021_temporal_placebo,202112,202101,202211,0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False
anatel_stage0_placebo__within_sample__asinh_saldo,asinh_saldo,placebo_triple,ols,-0.013854868710516992,0.015825847124046222,-0.044930293531459636,0.017220556110425653,0.38164503521670556,656,"{""id_municipio"": 657}",657,1533998,1534113,1534113,115,0,115,0,True,asinh_saldo ~ placebo_triple + placebo_post_high | cbo_municipio + cbo_periodo + uf_periodo,cbo_municipio + cbo_periodo + uf_periodo,id_municipio,placebo_post_high,,within_sample,december_2021_temporal_placebo,202112,202101,202211,0,placebo_post_high,placebo_post; placebo_post_treated; placebo_treated_high,False
