specification_id,specification_label,outcome,estimator,sample,event_window,joint_lead_window,joint_lead_count,joint_lead_statistic,joint_lead_df,joint_lead_p_value,lead_covariance_positive_semidefinite,lead_covariance_min_eigenvalue,lead_covariance_dimension,lead_covariance_rank,lead_covariance_full_rank,lead_covariance_condition_number,lead_covariance_rank_tolerance,lead_covariance_psd_tolerance,linear_pretrend_coefficient,linear_pretrend_standard_error,linear_pretrend_p_value,dynamic_pre_coefficients,dynamic_pre_p_lt_005,dynamic_min_p_value,pretrend_status,n_obs,minimum_clusters,cluster_counts,interaction,formula,reference_event_time,reference_period,joint_lead_test_name,linear_pretrend_test_name,dynamic_diagnostic_name,pretrend_classification_name,non_rejection_is_proof,complete_case_input,cut,lower_order_included,lower_order_absorbed,real_post_period_in_model,real_treatment_coefficient_estimated
anatel_stage0_pretrend__within_sample__ln_admissoes,Anatel Stage 0 pre-only triple interaction (within_sample),ln_admissoes,ols,2021-01_to_2022-11_pre_only,-23_to_-1,-23_to_-2,22,55.30645548355244,22,0.00010742507147700591,True,5.2820155639298323e-05,22,22,True,45.75733334996382,1.1806557580941309e-17,-1e-08,0.0014775399631248034,0.00043952377133293593,0.0008196692531405869,22,6,0.000764488605964786,fail,1533998,657,"{""id_municipio"": 657}",pretrend_treated_high,"ln_admissoes ~ i(event_time, pretrend_treated_high, ref=-1) + i(event_time, pretrend_high, ref=-1) | cbo_municipio + cbo_periodo + uf_periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,1534113,within_sample,"i(event_time, pretrend_high)","i(event_time, treated); treated_by_high",False,False
anatel_stage0_pretrend__within_sample__ln_desligamentos,Anatel Stage 0 pre-only triple interaction (within_sample),ln_desligamentos,ols,2021-01_to_2022-11_pre_only,-23_to_-1,-23_to_-2,22,35.65565954456409,22,0.033047112952428695,True,4.848387522913834e-05,22,22,True,42.49025700560231,1.0063512472346961e-17,-1e-08,0.0006801700977122004,0.00038770342661271725,0.07983628935386156,22,1,0.047179955994614664,fail,1533998,657,"{""id_municipio"": 657}",pretrend_treated_high,"ln_desligamentos ~ i(event_time, pretrend_treated_high, ref=-1) + i(event_time, pretrend_high, ref=-1) | cbo_municipio + cbo_periodo + uf_periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,1534113,within_sample,"i(event_time, pretrend_high)","i(event_time, treated); treated_by_high",False,False
anatel_stage0_pretrend__within_sample__ln_salario_real_adm,Anatel Stage 0 pre-only triple interaction (within_sample),ln_salario_real_adm,ols,2021-01_to_2022-11_pre_only,-23_to_-1,-23_to_-2,22,24.01377719960592,22,0.3465076504600299,True,1.841987182306891e-05,22,22,True,40.91408406319152,3.681479133199515e-18,-1e-08,0.000156773739079886,0.00018362292928676864,0.393538082628589,22,0,0.056801888725081406,pass,1231420,657,"{""id_municipio"": 657}",pretrend_treated_high,"ln_salario_real_adm ~ i(event_time, pretrend_treated_high, ref=-1) + i(event_time, pretrend_high, ref=-1) | cbo_municipio + cbo_periodo + uf_periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,1233285,within_sample,"i(event_time, pretrend_high)","i(event_time, treated); treated_by_high",False,False
anatel_stage0_pretrend__within_sample__asinh_saldo,Anatel Stage 0 pre-only triple interaction (within_sample),asinh_saldo,ols,2021-01_to_2022-11_pre_only,-23_to_-1,-23_to_-2,22,87.09390841009144,22,1.0649719911364325e-09,True,0.0006191764618141019,22,22,True,48.098481522121816,1.4548181489825456e-16,-1e-08,0.002849037907215777,0.0011833237556022297,0.016330289876071102,22,12,3.085656397061598e-08,fail,1533998,657,"{""id_municipio"": 657}",pretrend_treated_high,"asinh_saldo ~ i(event_time, pretrend_treated_high, ref=-1) + i(event_time, pretrend_high, ref=-1) | cbo_municipio + cbo_periodo + uf_periodo",-1,2022-12,cluster_robust_joint_wald_all_leads,gls_linear_slope_through_reference,individual_cluster_t_lead_inspection,preregistered_pass_warning_fail,False,1534113,within_sample,"i(event_time, pretrend_high)","i(event_time, treated); treated_by_high",False,False
