analysis_family,model_id,outcome,estimator,joint_lead_count,joint_lead_statistic,joint_lead_p_value,lead_covariance_positive_semidefinite,lead_covariance_min_eigenvalue,lead_covariance_dimension,lead_covariance_rank,lead_covariance_full_rank,lead_covariance_condition_number,lead_covariance_rank_tolerance,lead_covariance_psd_tolerance,linear_pretrend_coefficient,linear_pretrend_standard_error,linear_pretrend_p_value,dynamic_pre_p_lt_005,dynamic_min_p_value,pretrend_status,n_obs,minimum_clusters,sample_id,status,reference_event_time,independent_engine_status,independent_engine_pretrend_status
ddd_pretrend,ddd_pretrend::A::age_canaries::age_31_34::n_movimentacoes,n_movimentacoes,ppml,22,50.997277697492,0.000429262974867774,TRUE,4.42404915259409e-06,22,22,TRUE,523.54472027735,1.13145330158245e-17,-1e-08,0.000650079785914639,0.000283563471067849,0.0224849382999736,2,0.0428744885639568,fail,31870,341,family_A:age_canaries:age_31_34,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_35_40::admissoes,admissoes,ppml,22,84.6908940965068,2.69815008144772e-09,TRUE,8.2335902032611e-06,22,22,TRUE,397.098589332308,1.59716762497411e-17,-1e-08,0.000312183366927779,0.000502852761263678,0.535130977156703,0,0.068892238815198,fail,31861,341,family_A:age_canaries:age_35_40,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_35_40::asinh_saldo,asinh_saldo,ols,22,40.6615128277674,0.00903936394244907,TRUE,0.0576269026875249,22,22,TRUE,79.7026461739861,2.24368004109507e-14,-1e-08,-0.03233575864649,0.0157766972643471,0.041171305739775,6,0.000101692637653184,fail,31870,341,family_A:age_canaries:age_35_40,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_35_40::desligamentos,desligamentos,ppml,22,62.0579598720863,1.10287805830711e-05,TRUE,9.38310722954195e-06,22,22,TRUE,230.087752933311,1.05463720591076e-17,-1e-08,0.00126263315187534,0.000339603330695135,0.00023480466411934,0,0.0567282028487217,fail,31861,341,family_A:age_canaries:age_35_40,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_35_40::ln_salario_real_adm,ln_salario_real_adm,ols,22,30.2891412231128,0.111604415047149,TRUE,4.80390008630166e-05,22,22,TRUE,224.393570694827,5.26583542543451e-17,-1e-08,-0.00102544829107127,0.00052892477948303,0.0533601128061391,1,0.00307542529874803,warning,31561,341,family_A:age_canaries:age_35_40,estimated,-1,estimated,warning
ddd_pretrend,ddd_pretrend::A::age_canaries::age_35_40::n_movimentacoes,n_movimentacoes,ppml,22,111.439638637771,6.10179818070453e-14,TRUE,4.79426117498441e-06,22,22,TRUE,436.719536280472,1.02279174856671e-17,-1e-08,0.000758366307815662,0.000395587778393507,0.0560678855494875,0,0.0851359321271225,fail,31861,341,family_A:age_canaries:age_35_40,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_41_49::admissoes,admissoes,ppml,22,59.7223462113258,2.45635272732842e-05,TRUE,1.03071330734997e-05,22,22,TRUE,836.862431457818,4.21361509673674e-17,-1e-08,0.000359098263811623,0.000585935208733217,0.540376352296435,3,0.005987240060008,fail,31870,341,family_A:age_canaries:age_41_49,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_41_49::asinh_saldo,asinh_saldo,ols,22,49.1168020386209,0.000770905765934315,TRUE,0.0559238001262752,22,22,TRUE,89.2144634940809,2.43722065076277e-14,-1e-08,-0.0417561174036149,0.0161897432001268,0.0103234072906961,8,0.000699797552692384,fail,31870,341,family_A:age_canaries:age_41_49,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_41_49::desligamentos,desligamentos,ppml,22,78.2063884453252,3.1888780951397e-08,TRUE,1.06900837487067e-05,22,22,TRUE,382.859727777199,1.99932639747931e-17,-1e-08,0.00171961619078644,0.000383831129762523,1.02032580920583e-05,10,2.44113661709785e-05,fail,31870,341,family_A:age_canaries:age_41_49,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_41_49::ln_salario_real_adm,ln_salario_real_adm,ols,22,32.8306191178531,0.0642965241742994,TRUE,8.93326189587026e-05,22,22,TRUE,98.123147686898,4.28197812304471e-17,-1e-08,0.000573163684940786,0.000500894768541068,0.253312616111079,0,0.154024149472237,warning,31536,341,family_A:age_canaries:age_41_49,estimated,-1,estimated,warning
