analysis_family_python,model_id,outcome_python,estimator_python,joint_lead_count_python,joint_lead_statistic_python,joint_lead_p_value_python,lead_covariance_min_eigenvalue_python,lead_covariance_rank_tolerance_python,lead_covariance_psd_tolerance_python,linear_pretrend_coefficient_python,linear_pretrend_standard_error_python,linear_pretrend_p_value_python,dynamic_pre_p_lt_005_python,dynamic_min_p_value_python,lead_covariance_positive_semidefinite_python,lead_covariance_dimension_python,lead_covariance_rank_python,lead_covariance_full_rank_python,lead_covariance_condition_number_python,pretrend_status_python,n_obs_python,minimum_clusters_python,sample_id_python,status_python,reference_event_time_python,analysis_family_r,outcome_r,estimator_r,joint_lead_count_r,joint_lead_statistic_r,joint_lead_p_value_r,lead_covariance_positive_semidefinite_r,lead_covariance_min_eigenvalue_r,lead_covariance_dimension_r,lead_covariance_rank_r,lead_covariance_full_rank_r,lead_covariance_condition_number_r,lead_covariance_rank_tolerance_r,lead_covariance_psd_tolerance_r,linear_pretrend_coefficient_r,linear_pretrend_standard_error_r,linear_pretrend_p_value_r,dynamic_pre_p_lt_005_r,dynamic_min_p_value_r,pretrend_status_r,n_obs_r,minimum_clusters_r,sample_id_r,status_r,reference_event_time_r,independent_engine_status,independent_engine_pretrend_status,_merge,joint_lead_count_absolute_difference,joint_lead_count_pass,joint_lead_statistic_absolute_difference,joint_lead_statistic_pass,joint_lead_p_value_absolute_difference,joint_lead_p_value_pass,lead_covariance_min_eigenvalue_absolute_difference,lead_covariance_min_eigenvalue_pass,lead_covariance_rank_tolerance_absolute_difference,lead_covariance_rank_tolerance_pass,lead_covariance_psd_tolerance_absolute_difference,lead_covariance_psd_tolerance_pass,linear_pretrend_coefficient_absolute_difference,linear_pretrend_coefficient_pass,linear_pretrend_standard_error_absolute_difference,linear_pretrend_standard_error_pass,linear_pretrend_p_value_absolute_difference,linear_pretrend_p_value_pass,dynamic_pre_p_lt_005_absolute_difference,dynamic_pre_p_lt_005_pass,dynamic_min_p_value_absolute_difference,dynamic_min_p_value_pass,maximum_numeric_absolute_difference,same_n_obs,same_minimum_clusters,same_sample_id,same_status,same_reference_event_time,same_pretrend_status,same_lead_covariance_positive_semidefinite,same_lead_covariance_dimension,same_lead_covariance_rank,same_lead_covariance_full_rank,comparison_pass
ddd_pretrend,ddd_pretrend::A::race_color::race_pardo::desligamentos,desligamentos,ppml,22,86.22088422685088,1.494107919591241e-09,1.2637210756844408e-05,5.406231326688843e-17,-1e-08,-0.0013506532912389,0.0006040726215026,0.0260059869027757,18,0.0001310185292917,True,22,22,True,875.7506936110555,fail,31870.0,341.0,family_A:race_color:race_pardo,estimated,-1,ddd_pretrend,desligamentos,ppml,22,86.2208844444745,1.4941077936666501e-09,True,1.26372107746295e-05,22,22,True,875.750692848509,5.4062313295898204e-17,-1e-08,-0.0013506532827747,0.0006040726226771,0.0260059881179062,18,0.0001310185272781,fail,31870,341,family_A:race_color:race_pardo,estimated,-1,estimated,fail,both,0,True,2.1762362223398668e-07,True,1.2592459088889975e-16,True,1.7785091501192236e-14,True,2.9009774306799615e-26,True,0.0,True,8.464200043981074e-12,True,1.1744999504209597e-12,True,1.21513049969324e-09,True,0,True,2.013600007219618e-12,True,2.1762362223398668e-07,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_pardo::ln_salario_real_adm,ln_salario_real_adm,ols,22,27.774736472006435,0.183267245311484,7.529356023684795e-05,5.717533815460918e-17,-1e-08,-0.0002236936441046,0.0004700105335642,0.634427588095716,0,0.096460561844597,True,22,22,True,155.449025000453,pass,31679.0,341.0,family_A:race_color:race_pardo,estimated,-1,ddd_pretrend,ln_salario_real_adm,ols,22,27.7747364719978,0.183267245311779,True,7.52935602368616e-05,22,22,True,155.449025000308,5.71753381545661e-17,-1e-08,-0.0002236936441055,0.0004700105335644,0.634427588094531,0,0.0964605618445185,pass,31679,341,family_A:race_color:race_pardo,estimated,-1,estimated,pass,both,0,True,8.633094239485217e-12,True,2.949862576429041e-13,True,1.3647394846161287e-17,True,4.307920099605369e-29,True,0.0,True,8.999962233802172e-16,True,1.999810907149513e-16,True,1.1849410341824296e-12,True,0,True,7.850664562880638e-14,True,8.633094239485217e-12,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_pardo::n_movimentacoes,n_movimentacoes,ppml,22,124.38873677830745,2.7649054753781876e-16,7.679962719203165e-06,3.430080068896194e-17,-1e-08,-0.0032689406920419,0.000567009331447,1.8312773519824077e-08,5,0.0009894634037488,True,22,22,True,914.2863581820958,fail,31870.0,341.0,family_A:race_color:race_pardo,estimated,-1,ddd_pretrend,n_movimentacoes,ppml,22,124.38873694666,2.76490527937356e-16,True,7.67996271928069e-06,22,22,True,914.28637526331,3.4300801330135e-17,-1e-08,-0.0032689406865834,0.0005670093314874,1.83127745705696e-08,5,0.0009894634464709,fail,31870,341,family_A:race_color:race_pardo,estimated,-1,estimated,fail,both,0,True,1.6835255678415706e-07,True,1.9600462754111108e-23,True,7.752553753039709e-17,True,6.411730597659682e-25,True,0.0,True,5.458499971466857e-12,True,4.039997503202386e-14,True,1.0507455225043722e-15,True,0,True,4.272210016309508e-11,True,1.6835255678415706e-07,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_unknown::admissoes,admissoes,ppml,22,64.884241437434,4.114330383747054e-06,1.983888795851952e-05,5.2378506221076394e-17,-1e-08,0.0003868641196436,0.0005617114977785,0.4914667291487546,4,0.0136193720312731,True,22,22,True,540.4715993628258,fail,31866.0,341.0,family_A:race_color:race_unknown,estimated,-1,ddd_pretrend,admissoes,ppml,22,64.8842412433928,4.11433066478129e-06,True,1.98388880279291e-05,22,22,True,540.471592866583,5.23785057747632e-17,-1e-08,0.0003868640513725,0.0005617115032099,0.491466809738262,4,0.0136193715721828,fail,31866,341,family_A:race_color:race_unknown,estimated,-1,estimated,fail,both,0,True,1.94041206214024e-07,True,2.8103423586759227e-13,True,6.940957953793098e-14,True,4.463131933974064e-25,True,0.0,True,6.82710999820764e-11,True,5.43140001290493e-12,True,8.058950740075232e-08,True,0,True,4.590903004975111e-10,True,1.94041206214024e-07,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_unknown::asinh_saldo,asinh_saldo,ols,22,47.22948191736677,0.0013698051327366,0.0586025739683772,4.5054385200810943e-14,-1e-08,0.0023702921557258,0.0168913783433731,0.8884858624699448,14,3.8528481580479834e-05,True,22,22,True,157.38287328104423,fail,31870.0,341.0,family_A:race_color:race_unknown,estimated,-1,ddd_pretrend,asinh_saldo,ols,22,47.2294819174422,0.0013698051327055,True,0.0586025739684056,22,22,True,157.382873279064,4.50543852002657e-14,-1e-08,0.0023702921555112,0.0168913783433611,0.888485862479877,14,3.85284815780979e-05,fail,31870,341,family_A:race_color:race_unknown,estimated,-1,estimated,fail,both,0,True,7.543121682829224e-11,True,3.10999056368777e-14,True,2.839395385478838e-14,True,5.452417250270381e-25,True,0.0,True,2.1460003912787684e-13,True,1.2000817006807551e-14,True,9.932277222901575e-12,True,0,True,2.381931186578451e-15,True,7.543121682829224e-11,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_unknown::desligamentos,desligamentos,ppml,22,54.4619673616267,0.0001415663183708,1.4857014769980722e-05,8.559182795429306e-17,-1e-08,-0.0007007161102758,0.0005758434842429,0.2245046452854084,15,0.0009456332077997,True,22,22,True,1179.3367719768437,fail,31861.0,341.0,family_A:race_color:race_unknown,estimated,-1,ddd_pretrend,desligamentos,ppml,22,54.4619673800182,0.0001415663175232,True,1.48570147772506e-05,22,22,True,1179.33677141365,8.559182795529861e-17,-1e-08,-0.0007007161111378,0.0005758434842503,0.224504644722381,15,0.0009456332074842,fail,31861,341,family_A:race_color:race_unknown,estimated,-1,estimated,fail,both,0,True,1.8391503431303136e-08,True,8.476000120955646e-13,True,7.269878804310424e-15,True,1.0055511351239085e-27,True,0.0,True,8.62000032984811e-13,True,7.400005087865313e-15,True,5.630274024781556e-10,True,0,True,3.154999048474161e-13,True,1.8391503431303136e-08,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_unknown::ln_salario_real_adm,ln_salario_real_adm,ols,22,27.293006091701297,0.2003085499282965,7.26960102542559e-05,5.125293871869259e-17,-1e-08,0.0007618634336581,0.000735375207933,0.3009290805242028,9,0.0029703430678416,True,22,22,True,144.3262372545613,fail,30327.0,341.0,family_A:race_color:race_unknown,estimated,-1,ddd_pretrend,ln_salario_real_adm,ols,22,27.2930061463464,0.200308547931329,True,7.26960108405482e-05,22,22,True,144.326234332393,5.1252938094330304e-17,-1e-08,0.0007618635040111,0.000735375201337,0.300929031629184,9,0.0029703429327649,fail,30327,341,family_A:race_color:race_unknown,estimated,-1,estimated,fail,both,0,True,5.464510266506295e-08,True,1.9969675080222515e-09,True,5.862922994315234e-13,True,6.243622859642887e-25,True,0.0,True,7.035300000988315e-11,True,6.59599989644849e-12,True,4.889501881155667e-08,True,0,True,1.3507669982537607e-10,True,5.464510266506295e-08,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_unknown::n_movimentacoes,n_movimentacoes,ppml,22,90.96497012842484,2.3469393590620014e-10,8.615038436584817e-06,3.595014230637315e-17,-1e-08,-0.0003766471303336,0.0004602216981404,0.4136999316781002,3,0.0272698065105079,True,22,22,True,854.2411499204698,fail,31870.0,341.0,family_A:race_color:race_unknown,estimated,-1,ddd_pretrend,n_movimentacoes,ppml,22,90.9649700664922,2.34693941618041e-10,True,8.61503852577389e-06,22,22,True,854.241139749211,3.59501422505052e-17,-1e-08,-0.0003766471287439,0.0004602217009336,0.41369993647839,3,0.0272698066251707,fail,31870,341,family_A:race_color:race_unknown,estimated,-1,estimated,fail,both,0,True,6.193263857312559e-08,True,5.71184084495869e-18,True,8.918907279387156e-14,True,5.586794898353639e-26,True,0.0,True,1.5896999970739512e-12,True,2.7931999703641186e-12,True,4.800289776785149e-09,True,0,True,1.1466280008809449e-10,True,6.193263857312559e-08,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_white::admissoes,admissoes,ppml,22,107.38895462864336,3.218613531199471e-13,1.6008816553471662e-05,5.668571773282948e-17,-1e-08,0.0011279722719225,0.0005864637978523,0.0552715399530872,4,0.0012436270063329,True,22,22,True,724.8556285051819,fail,31870.0,341.0,family_A:race_color:race_white,estimated,-1,ddd_pretrend,admissoes,ppml,22,107.388954405166,3.2186138253169e-13,True,1.60088166547488e-05,22,22,True,724.855624558471,5.6685717782799e-17,-1e-08,0.0011279722823096,0.0005864637971157,0.0552715374173409,4,0.0012436270262449,fail,31870,341,family_A:race_color:race_white,estimated,-1,estimated,fail,both,0,True,2.234773575082727e-07,True,2.941174292134392e-20,True,1.0127713758237809e-13,True,4.9969518898658263e-26,True,0.0,True,1.0387100034259245e-11,True,7.366000170927478e-13,True,2.5357463004360703e-09,True,0,True,1.9912000000232855e-11,True,2.234773575082727e-07,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_white::asinh_saldo,asinh_saldo,ols,22,39.12704618295904,0.0136463223941515,0.0698333465040658,3.94367098100145e-14,-1e-08,-0.0066025634881167,0.016612652797331,0.691291052095351,1,0.0364479171900256,True,22,22,True,115.60454639269368,fail,31870.0,341.0,family_A:race_color:race_white,estimated,-1,ddd_pretrend,asinh_saldo,ols,22,39.1270461828974,0.013646322394374,True,0.0698333465041003,22,22,True,115.604546391511,3.9436709809630704e-14,-1e-08,-0.0066025634881599,0.0166126527973221,0.691291052093228,1,0.0364479171904922,fail,31870,341,family_A:race_color:race_white,estimated,-1,estimated,fail,both,0,True,6.163958232718869e-11,True,2.2249910247573723e-13,True,3.450018049022674e-14,True,3.8379660760812666e-25,True,0.0,True,4.319981872225043e-14,True,8.89913143176102e-15,True,2.1229684676882243e-12,True,0,True,4.665989816743377e-13,True,6.163958232718869e-11,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_white::desligamentos,desligamentos,ppml,22,83.80710765502968,3.790839928981321e-09,8.85947815618115e-06,7.056256041590245e-17,-1e-08,3.326936023273502e-05,0.0006437397901162,0.9588129242240152,0,0.1238884295145354,True,22,22,True,1630.434224809451,fail,31870.0,341.0,family_A:race_color:race_white,estimated,-1,ddd_pretrend,desligamentos,ppml,22,83.8071076574949,3.7908399253914e-09,True,8.85947821039999e-06,22,22,True,1630.43421500924,7.05625604235992e-17,-1e-08,3.32693416890334e-05,0.0006437397912712,0.958812947234118,0,0.123888429747096,fail,31870,341,family_A:race_color:race_white,estimated,-1,estimated,fail,both,0,True,2.4652138108649524e-09,True,3.589920845088287e-18,True,5.421883983989552e-14,True,7.696755614870039e-27,True,0.0,True,1.8543701621985542e-11,True,1.1550000322477216e-12,True,2.3010102823128875e-08,True,0,True,2.3256060965870518e-10,True,2.3010102823128875e-08,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_white::ln_salario_real_adm,ln_salario_real_adm,ols,22,29.73607730484897,0.1250214673177282,6.319318344847515e-05,5.817141784934424e-17,-1e-08,-0.0010605999459874,0.0005674911715656,0.0624924950073313,2,0.0178048408508417,True,22,22,True,188.44148102225637,fail,31687.0,341.0,family_A:race_color:race_white,estimated,-1,ddd_pretrend,ln_salario_real_adm,ols,22,29.7360773048492,0.125021467317722,True,6.3193183448487e-05,22,22,True,188.441481022018,5.81714178492813e-17,-1e-08,-0.0010605999459875,0.0005674911715656,0.0624924950072674,2,0.0178048408508315,fail,31687,341,family_A:race_color:race_white,estimated,-1,estimated,fail,both,0,True,2.3092638912203256e-13,True,6.189493362285248e-15,True,1.1844908734404136e-17,True,6.293630909466385e-29,True,0.0,True,1.0018028073766061e-16,True,0.0,True,6.390027396108167e-14,True,0,True,1.0200174038743626e-14,True,2.3092638912203256e-13,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_white::n_movimentacoes,n_movimentacoes,ppml,22,119.91474433985113,1.807551150373675e-15,7.465601868403749e-06,5.0192279818878175e-17,-1e-08,0.0014468909145181,0.0008026398311615,0.0723262106095445,2,0.0156966503336444,True,22,22,True,1376.287579132875,fail,31870.0,341.0,family_A:race_color:race_white,estimated,-1,ddd_pretrend,n_movimentacoes,ppml,22,119.914743486027,1.80755179579801e-15,True,7.46560184690849e-06,22,22,True,1376.28758336121,5.01922798285675e-17,-1e-08,0.0014468909200229,0.0008026398297838,0.0723262090421,2,0.0156966501604536,fail,31870,341,family_A:race_color:race_white,estimated,-1,estimated,fail,both,0,True,8.538241189626206e-07,True,6.454243352645399e-22,True,2.1495259287524892e-14,True,9.689325816820984e-27,True,0.0,True,5.5047999578811124e-12,True,1.3777000373860204e-12,True,1.56744449364421e-09,True,0,True,1.7319079850808272e-10,True,8.538241189626206e-07,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_yellow::admissoes,admissoes,ppml,22,49.451144629416035,0.0006953187461065,0.0002815647102571,4.29074757823166e-16,-1e-08,0.0004195924654573,0.0015141221776112,0.7818569141738658,2,0.0177278280334212,True,22,22,True,311.95491884706905,fail,31767.0,341.0,family_A:race_color:race_yellow,estimated,-1,ddd_pretrend,admissoes,ppml,22,49.4511545292442,0.0006953166173897,True,0.0002815646724415,22,22,True,311.954942515891,4.29074732751124e-16,-1e-08,0.0004195921523992,0.0015141219903531,0.781857046502005,2,0.0177278238389423,fail,31767,341,family_A:race_color:race_yellow,estimated,-1,estimated,fail,both,0,True,9.89982816435031e-06,True,2.128716800053887e-09,True,3.781559998949566e-11,True,2.5072042027414986e-23,True,0.0,True,3.1305810000532494e-10,True,1.8725809986831765e-10,True,1.3232813922403608e-07,True,0,True,4.1944788996273186e-09,True,9.89982816435031e-06,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_yellow::asinh_saldo,asinh_saldo,ols,22,59.54116733848706,2.612301899016962e-05,0.0600185613990102,3.8762962966311115e-14,-1e-08,0.0022736861671806,0.0190001968185395,0.9048180525053436,21,5.87959941622529e-07,True,22,22,True,132.21127045126946,fail,31870.0,341.0,family_A:race_color:race_yellow,estimated,-1,ddd_pretrend,asinh_saldo,ols,22,59.5411673384308,2.6123018990669e-05,True,0.0600185613990581,22,22,True,132.211270449657,3.87629629658691e-14,-1e-08,0.0022736861669948,0.0190001968185284,0.904818052513025,21,5.87959941607658e-07,fail,31870,341,family_A:race_color:race_yellow,estimated,-1,estimated,fail,both,0,True,5.625366839012713e-11,True,4.993801325150343e-16,True,4.78991846186716e-14,True,4.420145424134373e-25,True,0.0,True,1.858001599797099e-13,True,1.1102230246251565e-14,True,7.681411062776533e-12,True,0,True,1.4870933938470124e-17,True,5.625366839012713e-11,True,True,True,True,True,True,True,True,True,True,True
ddd_pretrend,ddd_pretrend::A::race_color::race_yellow::desligamentos,desligamentos,ppml,22,93.88912267238727,7.402623126551202e-11,0.0002274918267262,2.827489221636553e-15,-1e-08,-0.0040595282381156,0.0014268758845295,0.0047095933479948,0,0.0908303497115659,True,22,22,True,2544.323057908001,fail,31767.0,341.0,family_A:race_color:race_yellow,estimated,-1,ddd_pretrend,desligamentos,ppml,22,93.8889756837151,7.403054240730119e-11,True,0.0002274921169866,22,22,True,2544.32091128996,2.82749044374885e-15,-1e-08,-0.0040595262008696,0.0014268766113958,0.0047096348822086,0,0.0908304245993343,fail,31767,341,family_A:race_color:race_yellow,estimated,-1,estimated,fail,both,0,True,0.00014698867217077805,True,4.3111417891748836e-15,True,2.902603999982347e-10,True,1.2221122971275192e-21,True,0.0,True,2.037245999501891e-09,True,7.268663000051939e-10,True,4.1534213800036024e-08,True,0,True,7.488776840314237e-08,True,0.00014698867217077805,True,True,True,True,True,True,True,True,True,True,True
