outcome,row_position,column_position,row_event_time,column_event_time,covariance_python,covariance_r,_merge,covariance_absolute_difference,comparison_pass
asinh_saldo,0,0,-23,-23,0.7895856021327874,0.789585602135404,both,2.616573624436569e-12,True
asinh_saldo,0,1,-23,-22,0.5658931195100821,0.565893119512401,both,2.318811809232102e-12,True
asinh_saldo,0,2,-23,-21,0.61484191189441,0.614841911896866,both,2.4560353750757713e-12,True
asinh_saldo,0,3,-23,-20,0.5530917563373012,0.553091756339631,both,2.329803017175891e-12,True
asinh_saldo,0,4,-23,-19,0.4774982156645106,0.477498215666859,both,2.3483992528383624e-12,True
asinh_saldo,0,5,-23,-18,0.4374298570373588,0.437429857039606,both,2.2472024241437794e-12,True
asinh_saldo,0,6,-23,-17,0.4752359618510963,0.475235961853312,both,2.215727601395656e-12,True
asinh_saldo,0,7,-23,-16,0.4235475273072292,0.423547527309432,both,2.202793503158773e-12,True
asinh_saldo,0,8,-23,-15,0.4141054648136723,0.414105464815835,both,2.162714451969805e-12,True
asinh_saldo,0,9,-23,-14,0.3866630709280053,0.386663070930057,both,2.0516921495072893e-12,True
asinh_saldo,0,10,-23,-13,0.3709616959902377,0.370961695992329,both,2.091271600335176e-12,True
asinh_saldo,0,11,-23,-12,0.2744854323285439,0.274485432330347,both,1.8031132142937167e-12,True
asinh_saldo,0,12,-23,-11,0.5450685693763144,0.545068569378691,both,2.37654340651261e-12,True
asinh_saldo,0,13,-23,-10,0.5190850356192467,0.51908503562162,both,2.373323759741197e-12,True
asinh_saldo,0,14,-23,-9,0.4522280156356333,0.452228015637969,both,2.3356871992064043e-12,True
asinh_saldo,0,15,-23,-8,0.337378850301701,0.337378850303794,both,2.092992446023345e-12,True
asinh_saldo,0,16,-23,-7,0.3530216512515963,0.353021651253732,both,2.1357360324714136e-12,True
asinh_saldo,0,17,-23,-6,0.3823999544181288,0.3823999544203,both,2.1712076581081874e-12,True
asinh_saldo,0,18,-23,-5,0.4027156327869568,0.402715632789127,both,2.1701529462347935e-12,True
asinh_saldo,0,19,-23,-4,0.406483786400961,0.406483786403225,both,2.2640223029668505e-12,True
asinh_saldo,0,20,-23,-3,0.3846733729706135,0.384673372972862,both,2.2485346917733295e-12,True
asinh_saldo,0,21,-23,-2,0.2823151316194048,0.282315131621276,both,1.87122539685447e-12,True
asinh_saldo,0,22,-23,0,0.2760490463670638,0.276049046368847,both,1.7831847110016952e-12,True
asinh_saldo,0,23,-23,1,0.4401677490849395,0.440167749087187,both,2.2474799798999356e-12,True
asinh_saldo,0,24,-23,2,0.4243054637933592,0.424305463795548,both,2.188804693048496e-12,True
asinh_saldo,0,25,-23,3,0.3834902184675758,0.383490218469807,both,2.231215212589177e-12,True
asinh_saldo,0,26,-23,4,0.3838559186746629,0.38385591867684,both,2.1770918401387007e-12,True
asinh_saldo,0,27,-23,5,0.3739182040950697,0.373918204097225,both,2.1552759577048164e-12,True
asinh_saldo,0,28,-23,6,0.4712698955105815,0.471269895512871,both,2.289501921381998e-12,True
asinh_saldo,0,29,-23,7,0.430236963908048,0.430236963910267,both,2.2190027593183004e-12,True
asinh_saldo,0,30,-23,8,0.4040796145525217,0.404079614554784,both,2.2622459461274502e-12,True
asinh_saldo,0,31,-23,9,0.4811268072545908,0.481126807256913,both,2.3221979894572087e-12,True
asinh_saldo,0,32,-23,10,0.4063347441277199,0.406334744129735,both,2.0151103008458904e-12,True
asinh_saldo,0,33,-23,11,0.3550979634427523,0.355097963444648,both,1.8957058145474548e-12,True
asinh_saldo,0,34,-23,12,0.3320874877543899,0.332087487756133,both,1.743105659812727e-12,True
asinh_saldo,0,35,-23,13,0.5983652619179198,0.598365261920283,both,2.3632207302171082e-12,True
asinh_saldo,0,36,-23,14,0.5028420023695256,0.502842002371769,both,2.243427665860054e-12,True
asinh_saldo,0,37,-23,15,0.4185568054518281,0.418556805453948,both,2.119915354370505e-12,True
asinh_saldo,0,38,-23,16,0.4337409095637505,0.433740909565939,both,2.18852713729234e-12,True
asinh_saldo,0,39,-23,17,0.3979218039296171,0.397921803931699,both,2.0818902157770935e-12,True
asinh_saldo,0,40,-23,18,0.4465092521201101,0.446509252122199,both,2.088884620832232e-12,True
asinh_saldo,0,41,-23,19,0.4541665277173844,0.454166527719499,both,2.1145862838523044e-12,True
asinh_saldo,0,42,-23,20,0.4339971308344433,0.433997130836428,both,1.984690189971161e-12,True
asinh_saldo,0,43,-23,21,0.4178195701445816,0.417819570146758,both,2.1764257063239256e-12,True
asinh_saldo,0,44,-23,22,0.3802070747388562,0.380207074740672,both,1.8158252679256748e-12,True
asinh_saldo,0,45,-23,23,0.3649579761597828,0.364957976161617,both,1.834199458983221e-12,True
asinh_saldo,1,0,-22,-23,0.5658931195100834,0.565893119512401,both,2.3175905639050143e-12,True
asinh_saldo,1,1,-22,-22,0.6483200510054589,0.648320051007699,both,2.2400969967861784e-12,True
asinh_saldo,1,2,-22,-21,0.5686105098972801,0.568610509899567,both,2.2868373861228974e-12,True
asinh_saldo,1,3,-22,-20,0.4782359656493106,0.478235965651455,both,2.14439577206349e-12,True
