outcome,row_position,column_position,row_event_time,column_event_time,covariance
asinh_saldo,2,16,-21,-7,0.382259163884602
asinh_saldo,2,17,-21,-6,0.384487141362873
asinh_saldo,2,18,-21,-5,0.379422788847119
asinh_saldo,2,19,-21,-4,0.429490738502817
asinh_saldo,2,20,-21,-3,0.41455497642812
asinh_saldo,2,21,-21,-2,0.297243618901289
asinh_saldo,2,22,-21,0,0.221871086967025
asinh_saldo,2,23,-21,1,0.461548817729411
asinh_saldo,2,24,-21,2,0.453564587503775
asinh_saldo,2,25,-21,3,0.404130112604874
asinh_saldo,2,26,-21,4,0.412164727132876
asinh_saldo,2,27,-21,5,0.376314931331334
asinh_saldo,2,28,-21,6,0.462590402486444
asinh_saldo,2,29,-21,7,0.444507430750492
asinh_saldo,2,30,-21,8,0.428309106315396
asinh_saldo,2,31,-21,9,0.484635441591063
asinh_saldo,2,32,-21,10,0.411478793017498
asinh_saldo,2,33,-21,11,0.317800495844488
asinh_saldo,2,34,-21,12,0.272284457240952
asinh_saldo,2,35,-21,13,0.560811510283545
asinh_saldo,2,36,-21,14,0.528520878673678
asinh_saldo,2,37,-21,15,0.418043850629729
asinh_saldo,2,38,-21,16,0.443336247523925
asinh_saldo,2,39,-21,17,0.420048416475436
asinh_saldo,2,40,-21,18,0.440245067396725
asinh_saldo,2,41,-21,19,0.463731579458144
asinh_saldo,2,42,-21,20,0.470963277337898
asinh_saldo,2,43,-21,21,0.446546550857766
asinh_saldo,2,44,-21,22,0.397639609828958
asinh_saldo,2,45,-21,23,0.328253749965885
asinh_saldo,3,0,-20,-23,0.553091756339631
asinh_saldo,3,1,-20,-22,0.478235965651455
asinh_saldo,3,2,-20,-21,0.617543848598035
asinh_saldo,3,3,-20,-20,0.738164134346879
asinh_saldo,3,4,-20,-19,0.478411063846232
asinh_saldo,3,5,-20,-18,0.405351611883476
asinh_saldo,3,6,-20,-17,0.365519563102023
asinh_saldo,3,7,-20,-16,0.373912085326997
asinh_saldo,3,8,-20,-15,0.343144441303934
asinh_saldo,3,9,-20,-14,0.329326971472588
