outcome,estimator,coefficient,standard_error,ci_low,ci_high,p_value,pretrend_status,n_obs,source
admissoes,ppml,-0.0537723981585714,0.0385602106882426,-0.129619011281607,0.022074214964464,0.1640757055204185,fail,22049,results/models/specification_ladder.csv
desligamentos,ppml,-0.042014072599854,0.0347015248522746,-0.110270782904925,0.026242637705217,0.2268409951592573,fail,22049,results/models/specification_ladder.csv
ln_salario_real_adm,ols,-0.0507404538197659,0.0103323620988367,-0.0710638560203803,-0.0304170516191515,1.411223007563578e-06,fail,22012,results/models/specification_ladder.csv
asinh_saldo,ols,-0.5512668862460224,0.3783166056230572,-1.295402686143535,0.1928689136514901,0.1459958387457991,fail,22049,results/models/specification_ladder.csv
