outcome,outcome_label,t,is_reference,is_pre,n_obs,n_cbo,coef,se,p_value,ci_low,ci_high,coefficient_status
ln_admissoes,Admissões (log),-12,False,True,18307,341,-0.06514496186048906,0.03731916980990945,0.0817809047700293,-0.13829053468791158,0.008000610966933469,estimated
ln_admissoes,Admissões (log),-11,False,True,18307,341,-0.05229914848183326,0.04432608571127722,0.23887562132625817,-0.1391782764759366,0.034579979512270084,estimated
ln_admissoes,Admissões (log),-10,False,True,18307,341,-0.13291950748870035,0.04914947219488506,0.007187210689048484,-0.22925247299067508,-0.03658654198672563,estimated
ln_admissoes,Admissões (log),-9,False,True,18307,341,-0.06648136409187223,0.041648503531456695,0.11136231434247645,-0.14811243101352733,0.015149702829782882,estimated
ln_admissoes,Admissões (log),-8,False,True,18307,341,-0.0402642902204517,0.038234801402809174,0.29305231443308455,-0.11520450096995768,0.03467592052905428,estimated
ln_admissoes,Admissões (log),-7,False,True,18307,341,-0.15512508676640077,0.037889684723088214,5.299542618919517e-05,-0.22938886882365367,-0.08086130470914787,estimated
ln_admissoes,Admissões (log),-6,False,True,18307,341,-0.1439407796520878,0.0397941524892829,0.00034304545782126716,-0.22193731853108228,-0.06594424077309331,estimated
ln_admissoes,Admissões (log),-5,False,True,18307,341,-0.10611927849939785,0.036542567596641776,0.003925286055995514,-0.17774271098881572,-0.03449584600997997,estimated
ln_admissoes,Admissões (log),-4,False,True,18307,341,-0.08143980329380271,0.04751057763949515,0.08741428374883431,-0.1745605354672132,0.011680928879607783,estimated
ln_admissoes,Admissões (log),-3,False,True,18307,341,-0.08407084353944087,0.038383008373765244,0.02918018433451608,-0.15930153995202073,-0.008840147126861,estimated
ln_admissoes,Admissões (log),-2,False,True,18307,341,-0.10349302282925185,0.03737981321171973,0.005936838274722689,-0.17675745672422252,-0.03022858893428118,estimated
ln_admissoes,Admissões (log),-1,True,False,18307,341,0.0,0.0,,0.0,0.0,reference
ln_admissoes,Admissões (log),0,False,False,18307,341,0.030441401911041326,0.03705048214123962,0.41186919471481165,-0.042177543085788326,0.10306034690787097,estimated
ln_admissoes,Admissões (log),1,False,False,18307,341,-0.11250689619285338,0.0372154779084331,0.002691885440090358,-0.18544923289338228,-0.0395645594923245,estimated
ln_admissoes,Admissões (log),2,False,False,18307,341,-0.21309621900483888,0.045747658152536425,4.586297812192441e-06,-0.30276162898381026,-0.12343080902586749,estimated
ln_admissoes,Admissões (log),3,False,False,18307,341,-0.1933827581713715,0.039990254662633604,2.0133041167547105e-06,-0.27176365731013336,-0.11500185903260962,estimated
ln_admissoes,Admissões (log),4,False,False,18307,341,-0.1274107486191177,0.040120639948001385,0.001631581073303856,-0.2060472029172004,-0.04877429432103497,estimated
ln_admissoes,Admissões (log),5,False,False,18307,341,-0.17398161451018967,0.044638821846630324,0.000117058605299869,-0.26147370532958514,-0.08648952369079424,estimated
ln_admissoes,Admissões (log),6,False,False,18307,341,-0.19301357249238157,0.03971236732022538,1.7934037654931956e-06,-0.2708498124400233,-0.11517733254473983,estimated
ln_admissoes,Admissões (log),7,False,False,18307,341,-0.14234919488630635,0.038147349741084406,0.0002229578512429331,-0.21711800037883178,-0.06758038939378092,estimated
ln_admissoes,Admissões (log),8,False,False,18307,341,-0.13665429641661223,0.041318504193150404,0.0010425454005300594,-0.21763856463518702,-0.05567002819803743,estimated
ln_admissoes,Admissões (log),9,False,False,18307,341,-0.1349466722504749,0.037782342321290796,0.00040584354817019275,-0.20900006320020487,-0.06089328130074495,estimated
ln_admissoes,Admissões (log),10,False,False,18307,341,-0.15002568471643302,0.03918777354855716,0.00015353322214828324,-0.22683372087160505,-0.07321764856126098,estimated
ln_admissoes,Admissões (log),11,False,False,18307,341,-0.03906333851641184,0.03889462330968883,0.3159300747239593,-0.11529680020340194,0.037170123170578266,estimated
ln_admissoes,Admissões (log),12,False,False,18307,341,0.09967783553641385,0.04883261996463206,0.04200127362965067,0.0039659004057350095,0.19538977066709268,estimated
ln_admissoes,Admissões (log),13,False,False,18307,341,-0.1212988247997069,0.039607863368745236,0.002370081292052406,-0.19893023700244755,-0.04366741259696624,estimated
