citation_key	date	title	doi	pdf_path	sha256	bytes
de_chaisemartin_two-way_2020	2020	Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects	10.1257/aer.20181169	pdfs/de_chaisemartin_two-way_2020.pdf	ddc65e7599d8364181fd84d388ec543d57bfa51c2e66d50777af7ebac2aba3c4	987638
dellacqua_navigating_2023	2023	Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of AI on Knowledge Worker Productivity and Quality	10.2139/ssrn.4573321	pdfs/dellacqua_navigating_2023.pdf	81614bb0eedad198ebce811c521a6ef303db56a2698660d68b2e70d0293eeb42	3342427
eloundou_gpts_2023	2023-08-21	GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models	10.48550/arXiv.2303.10130	pdfs/eloundou_gpts_2023.pdf	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	2119311
felten_occupational_2021	2021-12	Occupational, industry, and geographic exposure to artificial intelligence: A novel dataset and its potential uses	10.1002/smj.3286	pdfs/felten_occupational_2021.pdf	4f51aa7e175bcb2c72b5b470cb0b985bcc31e241a0ee5ba282dd3567000a3472	6300565
gmyrek_generative_2025	2025-05-20	Generative AI and jobs: A refined global index of occupational exposure	10.54394/HETP0387	pdfs/gmyrek_generative_2025.pdf	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	4211233
goodman_bacon_difference_2021	2021	Difference-in-Differences with Variation in Treatment Timing	10.1016/j.jeconom.2021.03.014	pdfs/goodman_bacon_difference_2021.pdf	4f877146cba18f2d19781e2e5ea0be9275d698ef1295f166f7d1778bfc1e17fc	502707
goos_lousy_2007	2007-02	Lousy and Lovely Jobs: The Rising Polarization of Work in Britain	10.1162/rest.89.1.118	pdfs/goos_lousy_2007.pdf	27252a8def85c132ee0d64066be7e664f3ca38f8a40e93bd60c9c782e4528088	2409815
hosseini_maasoum_generative_2025	2026-06-06	Generative AI as seniority-biased technological change: Evidence from U.S. résumé and job posting data	10.2139/ssrn.5425555	pdfs/hosseini_maasoum_generative_2025.pdf	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	3116070
hui_short-term_2024	2024-11	The short-term effects of generative artificial intelligence on employment: Evidence from an online labor market	10.1287/orsc.2023.18441	pdfs/hui_short-term_2024.pdf	9052925ad9bcf118a313dc0bcb9c75b2ea476d1bb152f719b9abc4b291d94de2	574431
humlum_still_2025	2025-05	Still waters, rapid currents: Early labor market transformation under generative AI	10.3386/w33777	pdfs/humlum_still_2025.pdf	eb5765a77d38f7e0d66e906252ecb721aaa888f6ba3540913e3cb31edcb91807	2078444
klein_teeselink_generative_2025	2025-12-21	Generative AI and labor market outcomes: Evidence from the United Kingdom	10.2139/ssrn.5516798	pdfs/klein_teeselink_generative_2025.pdf	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	578267
osorio_o_2003	2003-11	O sistema classificatório de “cor ou raça” do IBGE		pdfs/osorio_o_2003.pdf	a079112c1d4c560fe7c8ba01a49bf4feee1360e6d0d4d8a6158ee1a69722d80d	200253
rambachan_more_2023	2023	A More Credible Approach to Parallel Trends	10.1093/restud/rdad018	pdfs/rambachan_more_2023.pdf	2ef3448e51bb946478ad323b8e00fc5de80fcc1b274ec26aa01dfaa9e458b7dc	916176
santos_silva_log_2006	2006	The Log of Gravity	10.1162/rest.88.4.641	pdfs/santos_silva_log_2006.pdf	1085f4f7a368d8ae68202bcc0b9bafce2de8dc58ec1f1cbbad0f4a2fed88ae9e	469459
stanford_institute_for_human-centered_artificial_intelligence_ai_2026	2026	AI Index Report 2026		pdfs/stanford_institute_for_human-centered_artificial_intelligence_ai_2026.pdf	fff5ac1df971cee7daf847fa5ed00dd7444db693092821c3e691debc1eaada09	37885501
sun_estimating_2021	2021	Estimating Dynamic Treatment Effects in Event Studies with Heterogeneous Treatment Effects	10.1016/j.jeconom.2020.09.006	pdfs/sun_estimating_2021.pdf	4562d82bed76a712e3a1fe1831beb8a38962062524fa36483875ba5fe059bc9c	681004
teutloff_winners_2025	2025-07	Winners and losers of generative AI: Early Evidence of Shifts in Freelancer Demand	10.1016/j.jebo.2024.106845	pdfs/teutloff_winners_2025.pdf	a64350970c9252167ef65c3fa693d47c8e5eb84c4ae22841f8c2006db0d24802	2765187
